Model,makespan,throughput,avg_abs_start_dev,avg_duration_diff,levenshtein_seq,leven_a3_0_seq,toolchange_perc,seed,instance,priority_rule
LogNormalDistributionModel,-14.0,3.1,13.2,4.54,8.0,24,40.913,86,2000,fcfs
NormalDistributionModel,-61.0,7.4,19.1,4.54,7.333,22,40.913,86,2000,fcfs
HistoDistributionModel,-1.0,-0.8,13.2,4.54,6.333,19,40.913,86,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19632.0,4.4,0.3,4.39,1300.0,1950,51.863,81,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.39,0.0,0,44.793,81,2000,fcfs
CausalContinousSmallLogCopyModel,-2.0,1.2,10.0,4.39,7.0,21,46.127,81,2000,fcfs
AverageOperationModel,-4.0,-7.2,8.0,4.39,3.333,10,42.127,81,2000,fcfs
LogNormalDistributionModel,51.0,-2.4,22.6,4.39,9.667,29,43.46,81,2000,fcfs
NormalDistributionModel,19.0,-1.9,21.9,4.39,5.0,15,39.46,81,2000,fcfs
HistoDistributionModel,22.0,-4.5,26.4,4.39,8.333,25,44.793,81,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19697.0,19.3,1.2,4.65,1300.0,1950,51.19,84,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.65,0.0,0,47.087,84,2000,fcfs
CausalContinousSmallLogCopyModel,-9.0,2.0,6.9,4.65,5.0,15,46.42,84,2000,fcfs
AverageOperationModel,-2.0,0.9,12.0,4.65,7.667,23,45.087,84,2000,fcfs
LogNormalDistributionModel,23.0,1.9,24.6,4.65,8.667,26,33.753,84,2000,fcfs
NormalDistributionModel,54.0,3.0,25.3,4.65,6.0,18,42.42,84,2000,fcfs
HistoDistributionModel,15.0,0.9,14.9,4.65,6.0,18,42.42,84,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19860.0,17.8,0.4,4.38,1300.0,1950,52.993,82,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.38,0.0,0,44.75,82,2000,fcfs
CausalContinousSmallLogCopyModel,-7.0,1.5,8.6,4.38,7.0,21,44.083,82,2000,fcfs
AverageOperationModel,6.0,-1.5,14.6,4.38,8.667,26,41.417,82,2000,fcfs
LogNormalDistributionModel,27.0,8.9,15.0,4.38,5.0,15,42.083,82,2000,fcfs
NormalDistributionModel,-5.0,4.7,22.6,4.38,9.333,28,42.75,82,2000,fcfs
HistoDistributionModel,5.0,3.1,13.1,4.38,7.0,21,40.75,82,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19626.0,11.2,3.6,4.37,1300.0,1950,52.94,96,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.37,0.0,0,65.203,96,2000,fcfs
CausalContinousSmallLogCopyModel,-5.0,1.2,5.8,4.37,5.0,15,61.203,96,2000,fcfs
AverageOperationModel,4.0,-4.0,11.2,4.37,5.333,16,59.203,96,2000,fcfs
LogNormalDistributionModel,11.0,-0.5,11.1,4.37,4.0,12,61.87,96,2000,fcfs
NormalDistributionModel,21.0,-0.6,12.8,4.37,6.0,18,60.537,96,2000,fcfs
HistoDistributionModel,-20.0,-0.3,24.0,4.37,7.333,22,59.203,96,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19478.0,20.2,2.9,4.58,1300.0,1950,53.407,77,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.58,0.0,0,57.437,77,2000,fcfs
CausalContinousSmallLogCopyModel,-2.0,0.2,15.0,4.58,7.667,23,58.77,77,2000,fcfs
AverageOperationModel,1.0,-3.2,10.4,4.58,7.0,21,54.77,77,2000,fcfs
LogNormalDistributionModel,47.0,-1.0,32.5,4.58,5.333,16,56.103,77,2000,fcfs
NormalDistributionModel,15.0,3.8,14.0,4.58,5.667,17,57.437,77,2000,fcfs
HistoDistributionModel,-60.0,1.0,31.9,4.58,10.333,31,56.103,77,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19668.0,22.7,0.6,4.67,1300.0,1950,53.13,90,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.67,0.0,0,52.32,90,2000,fcfs
CausalContinousSmallLogCopyModel,-22.0,10.7,9.7,4.67,6.333,19,48.987,90,2000,fcfs
AverageOperationModel,3.0,-1.7,9.4,4.67,7.0,21,50.32,90,2000,fcfs
LogNormalDistributionModel,43.0,1.7,14.4,4.67,8.333,25,50.32,90,2000,fcfs
NormalDistributionModel,-59.0,23.4,27.6,4.67,10.333,31,46.32,90,2000,fcfs
HistoDistributionModel,-29.0,24.3,17.3,4.67,8.333,25,48.32,90,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19737.0,21.0,0.0,4.44,1300.0,1950,51.333,106,2000,fcfs
