Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,overall_tool_changes,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,45.653,154,550,fcfs
CausalModel,49.0,118.2,0.0,3.0,2,7,0,46.003,154,550,fcfs
AverageOperationModel,3.0,9.4,0.0,3.667,4,7,0,46.003,154,550,fcfs
LogNormalDistributionModel,3.0,7.6,0.1,7.333,10,12,0,45.75,154,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,48.04,155,550,fcfs
CausalModel,63.0,92.7,0.0,34.667,0,90,14,48.213,155,550,fcfs
AverageOperationModel,11.0,18.5,0.0,35.0,0,81,24,48.04,155,550,fcfs
LogNormalDistributionModel,11.0,12.8,0.1,33.333,0,74,26,48.04,155,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,55.75,156,550,fcfs
CausalModel,70.0,118.8,0.1,24.333,44,29,0,56.01,156,550,fcfs
AverageOperationModel,9.0,13.6,0.0,20.667,55,7,0,56.527,156,550,fcfs
LogNormalDistributionModel,7.0,12.2,0.2,25.0,55,20,0,55.16,156,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,39.903,157,550,fcfs
CausalModel,47.0,103.3,0.0,2.0,6,0,0,39.703,157,550,fcfs
AverageOperationModel,2.0,6.9,0.0,1.333,4,0,0,39.903,157,550,fcfs
LogNormalDistributionModel,1.0,10.6,0.1,2.667,8,0,0,39.703,157,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,48.017,158,550,fcfs
CausalModel,34.0,90.2,0.2,14.333,0,26,17,48.177,158,550,fcfs
AverageOperationModel,3.0,8.0,0.1,5.333,0,14,2,48.06,158,550,fcfs
LogNormalDistributionModel,2.0,7.8,0.1,8.667,0,23,3,48.217,158,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,37.483,159,550,fcfs
CausalModel,42.0,90.3,0.2,2.333,0,0,7,37.287,159,550,fcfs
AverageOperationModel,2.0,6.9,0.1,2.0,0,0,6,37.09,159,550,fcfs
LogNormalDistributionModel,5.0,14.0,0.1,2.0,0,0,6,37.483,159,550,fcfs
