Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,1.0,1410,2000,fcfs
AverageOperationModel,-4.0,6.7,-0.2,0.999,1410,2000,fcfs
LogNormalDistributionModel,-2.0,18.3,-0.4,0.996,1410,2000,fcfs
CausalModel,2.0,59.6,0.0,0.998,1410,2000,fcfs
CausalContinousModel,2.0,55.4,0.6,0.997,1410,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1411,2000,fcfs
AverageOperationModel,-8.0,7.8,0.2,0.999,1411,2000,fcfs
LogNormalDistributionModel,-3.0,10.2,0.5,0.998,1411,2000,fcfs
CausalModel,5.0,52.0,0.0,0.998,1411,2000,fcfs
CausalContinousModel,0.0,54.6,-0.3,0.999,1411,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1412,2000,fcfs
AverageOperationModel,7.0,6.7,0.1,0.999,1412,2000,fcfs
LogNormalDistributionModel,5.0,11.5,0.6,0.999,1412,2000,fcfs
CausalModel,-2.0,68.6,0.1,0.998,1412,2000,fcfs
CausalContinousModel,-5.0,68.0,0.3,0.999,1412,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1413,2000,fcfs
AverageOperationModel,-25.0,14.3,0.1,0.999,1413,2000,fcfs
LogNormalDistributionModel,4.0,9.8,0.1,0.998,1413,2000,fcfs
CausalModel,-23.0,63.3,0.2,0.999,1413,2000,fcfs
CausalContinousModel,-20.0,60.8,0.3,0.999,1413,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1414,2000,fcfs
AverageOperationModel,-3.0,11.4,0.0,0.997,1414,2000,fcfs
LogNormalDistributionModel,1.0,19.4,-0.3,0.996,1414,2000,fcfs
CausalModel,6.0,36.5,-0.3,0.998,1414,2000,fcfs
CausalContinousModel,11.0,59.5,0.0,0.999,1414,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1415,2000,fcfs
AverageOperationModel,-1.0,9.4,0.2,0.998,1415,2000,fcfs
LogNormalDistributionModel,-1.0,19.8,0.3,0.997,1415,2000,fcfs
CausalModel,6.0,64.7,0.8,0.997,1415,2000,fcfs
CausalContinousModel,2.0,50.9,0.0,0.997,1415,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1416,2000,fcfs
AverageOperationModel,4.0,11.1,0.5,0.998,1416,2000,fcfs
LogNormalDistributionModel,5.0,10.1,0.5,0.999,1416,2000,fcfs
CausalModel,4.0,67.3,0.6,0.998,1416,2000,fcfs
CausalContinousModel,12.0,63.6,0.6,0.999,1416,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1417,2000,fcfs
AverageOperationModel,-10.0,13.1,0.3,0.997,1417,2000,fcfs
LogNormalDistributionModel,-5.0,12.1,0.2,0.998,1417,2000,fcfs
CausalModel,5.0,46.8,0.2,0.999,1417,2000,fcfs
CausalContinousModel,-1.0,61.5,0.1,0.999,1417,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1418,2000,fcfs
AverageOperationModel,14.0,12.6,0.1,0.998,1418,2000,fcfs
LogNormalDistributionModel,-3.0,12.6,0.3,0.998,1418,2000,fcfs
CausalModel,-0.0,52.7,0.0,0.996,1418,2000,fcfs
CausalContinousModel,-4.0,48.8,-0.1,0.995,1418,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1419,2000,fcfs
AverageOperationModel,-6.0,11.1,0.2,0.998,1419,2000,fcfs
LogNormalDistributionModel,0.0,13.9,0.3,0.997,1419,2000,fcfs
CausalModel,1.0,47.6,0.4,0.999,1419,2000,fcfs
CausalContinousModel,9.0,54.2,0.2,0.997,1419,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1420,2000,fcfs
AverageOperationModel,-14.0,11.4,0.6,0.999,1420,2000,fcfs
LogNormalDistributionModel,3.0,12.8,-0.2,0.998,1420,2000,fcfs
CausalModel,2.0,62.2,0.4,0.998,1420,2000,fcfs
CausalContinousModel,-3.0,72.6,1.0,0.999,1420,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1421,2000,fcfs
AverageOperationModel,0.0,7.3,0.3,0.998,1421,2000,fcfs
LogNormalDistributionModel,1.0,12.1,0.1,0.998,1421,2000,fcfs
CausalModel,10.0,47.2,0.1,0.999,1421,2000,fcfs
CausalContinousModel,15.0,68.1,0.4,0.999,1421,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1422,2000,fcfs
AverageOperationModel,-12.0,11.5,0.3,0.998,1422,2000,fcfs
LogNormalDistributionModel,-9.0,15.6,0.7,0.997,1422,2000,fcfs
CausalModel,-7.0,74.7,0.5,0.998,1422,2000,fcfs
CausalContinousModel,-7.0,63.6,0.4,0.998,1422,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1423,2000,fcfs
AverageOperationModel,-2.0,12.9,0.2,0.997,1423,2000,fcfs
LogNormalDistributionModel,-1.0,8.5,0.0,0.999,1423,2000,fcfs
CausalModel,24.0,46.3,0.2,0.998,1423,2000,fcfs
CausalContinousModel,3.0,44.1,0.3,0.998,1423,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1424,2000,fcfs
AverageOperationModel,-2.0,5.0,-0.7,1.0,1424,2000,fcfs
LogNormalDistributionModel,0.0,11.9,-0.4,0.998,1424,2000,fcfs
CausalModel,4.0,45.7,-0.8,0.999,1424,2000,fcfs
CausalContinousModel,7.0,52.4,-0.6,0.998,1424,2000,fcfs
