Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,overall_tool_changes,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,42.313,154,550,dynamic
CausalContinousModel,15.0,20.5,0.2,16.0,0,40,8,42.763,154,550,dynamic
AverageOperationModel,4.0,8.1,0.0,16.0,0,48,0,42.763,154,550,dynamic
LogNormalDistributionModel,4.0,14.6,-0.1,23.333,0,58,12,42.99,154,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,27.837,155,550,dynamic
CausalContinousModel,6.0,14.9,0.0,32.667,22,62,14,28.933,155,550,dynamic
AverageOperationModel,-1.0,11.7,0.0,29.667,20,59,10,28.487,155,550,dynamic
LogNormalDistributionModel,3.0,22.8,0.0,30.667,23,50,19,28.457,155,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,31.657,156,550,dynamic
CausalContinousModel,2.0,11.0,0.2,3.0,0,9,0,31.657,156,550,dynamic
AverageOperationModel,2.0,7.3,0.1,2.333,0,7,0,31.657,156,550,dynamic
LogNormalDistributionModel,8.0,21.3,0.2,3.333,0,10,0,31.657,156,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,29.633,157,550,dynamic
CausalContinousModel,2.0,5.8,0.0,4.0,0,0,12,29.633,157,550,dynamic
AverageOperationModel,-0.0,4.7,0.1,7.667,0,0,23,29.633,157,550,dynamic
LogNormalDistributionModel,-5.0,11.3,0.1,10.333,0,0,31,29.633,157,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,30.553,158,550,dynamic
CausalContinousModel,8.0,19.8,-0.1,10.0,0,30,0,30.15,158,550,dynamic
AverageOperationModel,1.0,4.6,-0.1,7.667,0,23,0,30.553,158,550,dynamic
LogNormalDistributionModel,-0.0,10.7,-0.1,15.667,0,47,0,29.75,158,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,30.863,159,550,dynamic
CausalContinousModel,4.0,12.1,-0.2,27.667,22,41,20,31.15,159,550,dynamic
AverageOperationModel,-3.0,8.5,-0.1,14.333,10,24,9,31.113,159,550,dynamic
LogNormalDistributionModel,-1.0,10.9,-0.1,24.0,22,25,25,30.077,159,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,22.213,160,550,dynamic
CausalContinousModel,6.0,10.5,0.2,5.667,5,0,12,21.993,160,550,dynamic
AverageOperationModel,6.0,8.2,0.1,6.333,8,0,11,21.773,160,550,dynamic
LogNormalDistributionModel,3.0,17.5,0.0,12.0,13,0,23,21.993,160,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,39.8,161,550,dynamic
CausalContinousModel,0.0,9.0,-0.1,4.667,14,0,0,39.8,161,550,dynamic
AverageOperationModel,4.0,9.2,0.0,1.333,4,0,0,39.8,161,550,dynamic
LogNormalDistributionModel,-2.0,13.5,-0.1,4.667,14,0,0,39.8,161,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,43.187,162,550,dynamic
CausalContinousModel,-6.0,16.2,0.1,39.333,0,18,100,43.473,162,550,dynamic
AverageOperationModel,-10.0,12.4,0.0,28.667,0,11,75,44.19,162,550,dynamic
LogNormalDistributionModel,-7.0,13.0,-0.1,32.667,0,16,82,43.33,162,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,45.13,163,550,dynamic
CausalContinousModel,-10.0,17.5,0.0,14.0,0,0,42,45.13,163,550,dynamic
AverageOperationModel,-3.0,12.6,0.0,10.667,0,0,32,45.293,163,550,dynamic
LogNormalDistributionModel,2.0,14.7,0.0,20.0,0,0,60,45.293,163,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,36.397,164,550,dynamic
CausalContinousModel,-3.0,11.9,-0.1,10.667,24,0,8,36.923,164,550,dynamic
AverageOperationModel,3.0,8.7,0.0,12.0,24,0,12,36.397,164,550,dynamic
LogNormalDistributionModel,-5.0,10.4,-0.1,13.667,26,0,15,36.573,164,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,39.607,165,550,dynamic
CausalContinousModel,-12.0,22.9,0.1,41.333,50,33,41,40.26,165,550,dynamic
AverageOperationModel,-5.0,12.9,0.1,39.333,48,33,37,39.857,165,550,dynamic
LogNormalDistributionModel,2.0,13.2,0.3,39.0,51,25,41,40.553,165,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,45.447,166,550,dynamic
CausalContinousModel,-9.0,18.2,0.0,45.333,42,25,69,45.62,166,550,dynamic
AverageOperationModel,-0.0,6.7,0.0,14.333,11,7,25,45.247,166,550,dynamic
LogNormalDistributionModel,-2.0,11.7,0.0,19.667,8,12,39,44.767,166,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,43.65,167,550,dynamic
CausalContinousModel,-1.0,11.0,-0.1,18.667,19,0,37,43.58,167,550,dynamic
AverageOperationModel,3.0,11.3,0.0,26.333,20,0,59,43.58,167,550,dynamic
LogNormalDistributionModel,5.0,10.2,-0.1,25.667,29,0,48,43.51,167,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,37.13,168,550,dynamic
CausalContinousModel,2.0,15.7,0.0,33.333,14,0,86,37.13,168,550,dynamic
AverageOperationModel,2.0,7.8,0.0,26.333,8,0,71,36.957,168,550,dynamic
LogNormalDistributionModel,2.0,13.4,-0.1,47.0,19,0,122,38.517,168,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,32.043,169,550,dynamic
CausalContinousModel,-1.0,13.5,0.0,2.667,8,0,0,31.727,169,550,dynamic
AverageOperationModel,2.0,12.5,0.0,2.667,8,0,0,31.727,169,550,dynamic
LogNormalDistributionModel,-2.0,12.9,0.1,5.0,15,0,0,32.36,169,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,36.82,170,550,dynamic
CausalContinousModel,-4.0,8.1,0.1,9.667,23,0,6,37.933,170,550,dynamic
AverageOperationModel,1.0,8.2,0.1,11.667,19,8,8,38.21,170,550,dynamic
LogNormalDistributionModel,-2.0,15.5,0.0,16.0,34,4,10,37.653,170,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,38.153,171,550,dynamic
CausalContinousModel,-3.0,13.1,0.2,25.667,0,40,37,38.377,171,550,dynamic
AverageOperationModel,3.0,14.6,0.2,16.333,0,25,24,38.563,171,550,dynamic
LogNormalDistributionModel,8.0,17.2,0.3,21.0,0,40,23,38.34,171,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,48.67,172,550,dynamic
CausalContinousModel,-9.0,21.0,-0.1,24.333,73,0,0,48.253,172,550,dynamic
AverageOperationModel,-8.0,19.1,-0.1,18.667,56,0,0,48.253,172,550,dynamic
LogNormalDistributionModel,4.0,12.1,-0.2,18.333,55,0,0,48.253,172,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,35.87,173,550,dynamic
CausalContinousModel,22.0,20.2,0.1,31.667,21,0,74,37.017,173,550,dynamic
AverageOperationModel,5.0,11.2,0.0,30.0,23,0,67,37.397,173,550,dynamic
LogNormalDistributionModel,4.0,8.4,0.0,18.667,11,0,45,36.443,173,550,dynamic
