Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,1.0,5609,1000,dynamic
AverageOperationModel,18.0,31.1,0.1,1.0,5609,1000,dynamic
LogNormalDistributionModel,12.0,43.9,-0.1,0.999,5609,1000,dynamic
CausalModel,-51.0,98.8,-0.2,0.999,5609,1000,dynamic
CausalContinousModel,-39.0,116.8,0.2,0.998,5609,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,5610,1000,dynamic
AverageOperationModel,-18.0,25.5,-0.3,1.0,5610,1000,dynamic
LogNormalDistributionModel,18.0,47.9,-0.2,0.999,5610,1000,dynamic
CausalModel,-77.0,75.3,-0.2,0.999,5610,1000,dynamic
CausalContinousModel,26.0,56.2,-0.1,0.999,5610,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,5611,1000,dynamic
AverageOperationModel,17.0,21.4,-0.2,1.0,5611,1000,dynamic
LogNormalDistributionModel,60.0,45.6,-0.2,0.999,5611,1000,dynamic
CausalModel,-36.0,47.6,-0.2,1.0,5611,1000,dynamic
CausalContinousModel,-67.0,93.4,-0.1,0.999,5611,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,5612,1000,dynamic
AverageOperationModel,21.0,28.8,0.4,0.999,5612,1000,dynamic
LogNormalDistributionModel,39.0,60.0,0.6,0.999,5612,1000,dynamic
CausalModel,4.0,19.4,0.4,1.0,5612,1000,dynamic
CausalContinousModel,-8.0,38.6,0.3,0.999,5612,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,5613,1000,dynamic
AverageOperationModel,2.0,37.6,0.0,0.999,5613,1000,dynamic
LogNormalDistributionModel,62.0,57.5,0.1,1.0,5613,1000,dynamic
CausalModel,-71.0,77.5,-0.1,0.999,5613,1000,dynamic
CausalContinousModel,-56.0,55.9,-0.0,0.999,5613,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,5614,1000,dynamic
AverageOperationModel,1.0,23.7,0.1,1.0,5614,1000,dynamic
LogNormalDistributionModel,-8.0,34.3,0.0,0.999,5614,1000,dynamic
CausalModel,-19.0,34.3,0.1,0.999,5614,1000,dynamic
CausalContinousModel,-18.0,41.6,0.0,0.999,5614,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,5615,1000,dynamic
AverageOperationModel,-36.0,26.5,0.0,1.0,5615,1000,dynamic
LogNormalDistributionModel,-81.0,66.8,-0.3,0.999,5615,1000,dynamic
CausalModel,-40.0,62.5,0.2,0.998,5615,1000,dynamic
CausalContinousModel,-103.0,84.9,-0.1,0.999,5615,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,5616,1000,dynamic
AverageOperationModel,-28.0,24.3,0.0,1.0,5616,1000,dynamic
LogNormalDistributionModel,-27.0,30.4,-0.2,1.0,5616,1000,dynamic
CausalModel,-29.0,63.8,-0.1,0.999,5616,1000,dynamic
CausalContinousModel,0.0,49.7,0.1,0.999,5616,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,5617,1000,dynamic
AverageOperationModel,-4.0,34.7,0.1,1.0,5617,1000,dynamic
LogNormalDistributionModel,15.0,56.7,-0.1,0.999,5617,1000,dynamic
CausalModel,15.0,78.6,0.0,0.999,5617,1000,dynamic
CausalContinousModel,-16.0,73.6,0.0,0.999,5617,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,5618,1000,dynamic
AverageOperationModel,1.0,25.4,0.0,1.0,5618,1000,dynamic
LogNormalDistributionModel,51.0,78.8,0.1,0.999,5618,1000,dynamic
CausalModel,-25.0,42.0,0.0,0.999,5618,1000,dynamic
CausalContinousModel,1.0,36.5,0.1,0.999,5618,1000,dynamic
