Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,7,550,fcfs
CausalContinousModel,0.0,5.7,0.1,20.333,0,0,61,7,550,fcfs
AverageOperationModel,-1.0,6.3,0.1,24.667,0,0,74,7,550,fcfs
LogNormalDistributionModel,-1.0,6.3,0.0,19.0,0,0,57,7,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,8,550,fcfs
CausalContinousModel,2.0,7.5,-0.4,19.333,0,0,58,8,550,fcfs
AverageOperationModel,-1.0,9.0,-0.1,19.667,0,0,59,8,550,fcfs
LogNormalDistributionModel,5.0,6.5,0.1,15.667,0,0,47,8,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,9,550,fcfs
CausalContinousModel,4.0,5.6,0.0,18.0,0,0,54,9,550,fcfs
AverageOperationModel,-1.0,6.9,0.2,25.0,0,0,75,9,550,fcfs
LogNormalDistributionModel,-1.0,5.1,0.1,14.0,0,0,42,9,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,10,550,fcfs
CausalContinousModel,1.0,5.7,0.2,19.667,0,0,59,10,550,fcfs
AverageOperationModel,-1.0,10.9,0.0,24.667,0,0,74,10,550,fcfs
LogNormalDistributionModel,2.0,4.2,-0.2,9.667,0,0,29,10,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,11,550,fcfs
CausalContinousModel,-4.0,4.1,-0.2,9.0,0,0,27,11,550,fcfs
AverageOperationModel,-5.0,4.3,0.0,16.333,0,0,49,11,550,fcfs
LogNormalDistributionModel,4.0,6.4,-0.1,12.667,0,0,38,11,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,12,550,fcfs
CausalContinousModel,2.0,11.3,0.2,24.0,0,0,72,12,550,fcfs
AverageOperationModel,-4.0,9.6,0.0,19.667,0,0,59,12,550,fcfs
LogNormalDistributionModel,-5.0,9.6,0.4,18.0,0,0,54,12,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,13,550,fcfs
CausalContinousModel,-0.0,13.0,-0.1,22.333,0,0,67,13,550,fcfs
AverageOperationModel,-1.0,5.7,-0.4,12.667,0,0,38,13,550,fcfs
LogNormalDistributionModel,0.0,5.3,-0.3,20.0,0,0,60,13,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,14,550,fcfs
CausalContinousModel,-2.0,4.0,-0.3,15.667,0,0,47,14,550,fcfs
AverageOperationModel,-2.0,6.2,-0.2,8.667,0,0,26,14,550,fcfs
LogNormalDistributionModel,-0.0,7.1,0.1,25.333,0,0,76,14,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,15,550,fcfs
CausalContinousModel,3.0,3.7,0.4,14.667,0,0,44,15,550,fcfs
AverageOperationModel,-0.0,3.7,0.3,10.667,0,0,32,15,550,fcfs
LogNormalDistributionModel,5.0,12.4,0.2,25.333,0,0,76,15,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,16,550,fcfs
CausalContinousModel,4.0,14.3,0.2,24.667,0,0,74,16,550,fcfs
AverageOperationModel,-3.0,8.8,0.2,25.0,0,0,75,16,550,fcfs
LogNormalDistributionModel,1.0,8.3,0.1,18.0,0,0,54,16,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,17,550,fcfs
CausalContinousModel,4.0,14.2,0.0,24.333,0,0,73,17,550,fcfs
