Model,makespan (over all),avg abs start deviation,avg duration deviation,kendall_sequ_sim,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4487,550,fcfs
CausalContinousModel,-1.0,11.3,0.0,0.995,0.656,1.0,1.0,0.985,4487,550,fcfs
AverageOperationModel,-1.0,6.6,-0.1,0.997,0.698,1.0,1.0,0.99,4487,550,fcfs
LogNormalDistributionModel,4.0,7.6,-0.2,0.998,0.736,1.0,1.0,0.994,4487,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4488,550,fcfs
CausalContinousModel,-2.0,9.9,0.1,0.997,0.711,1.0,1.0,0.991,4488,550,fcfs
AverageOperationModel,-7.0,5.5,0.1,0.999,0.798,1.0,1.0,0.996,4488,550,fcfs
LogNormalDistributionModel,-1.0,5.8,0.1,0.998,0.764,1.0,1.0,0.995,4488,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4489,550,fcfs
CausalContinousModel,4.0,7.4,0.2,0.998,0.729,1.0,1.0,0.993,4489,550,fcfs
AverageOperationModel,-0.0,4.9,-0.1,0.999,0.804,1.0,1.0,0.997,4489,550,fcfs
LogNormalDistributionModel,0.0,3.8,0.1,0.999,0.8,1.0,1.0,0.996,4489,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4490,550,fcfs
CausalContinousModel,2.0,4.1,-0.1,0.999,0.842,1.0,1.0,0.998,4490,550,fcfs
AverageOperationModel,-5.0,5.9,-0.1,0.999,0.849,1.0,1.0,0.998,4490,550,fcfs
LogNormalDistributionModel,-2.0,5.2,-0.2,0.999,0.773,1.0,1.0,0.996,4490,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4491,550,fcfs
CausalContinousModel,9.0,6.5,0.1,0.999,0.822,1.0,1.0,0.996,4491,550,fcfs
AverageOperationModel,-0.0,6.3,0.0,0.999,0.842,1.0,1.0,0.996,4491,550,fcfs
LogNormalDistributionModel,10.0,7.5,0.0,0.998,0.782,1.0,1.0,0.994,4491,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4492,550,fcfs
CausalContinousModel,7.0,11.5,-0.7,0.998,0.789,1.0,1.0,0.995,4492,550,fcfs
AverageOperationModel,-1.0,9.4,-0.4,0.999,0.876,1.0,1.0,0.998,4492,550,fcfs
LogNormalDistributionModel,-1.0,3.8,-0.5,0.999,0.8,1.0,1.0,0.996,4492,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4493,550,fcfs
CausalContinousModel,0.0,4.1,-0.1,0.998,0.756,1.0,1.0,0.995,4493,550,fcfs
AverageOperationModel,-2.0,5.6,-0.1,0.998,0.762,1.0,1.0,0.994,4493,550,fcfs
LogNormalDistributionModel,0.0,5.3,-0.1,0.998,0.729,1.0,1.0,0.994,4493,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4494,550,fcfs
CausalContinousModel,1.0,4.4,-0.1,0.999,0.813,1.0,1.0,0.997,4494,550,fcfs
AverageOperationModel,-1.0,4.1,0.0,0.999,0.847,1.0,1.0,0.997,4494,550,fcfs
LogNormalDistributionModel,2.0,7.9,0.1,0.997,0.673,1.0,1.0,0.99,4494,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4495,550,fcfs
CausalContinousModel,-4.0,7.5,0.3,0.999,0.831,1.0,1.0,0.996,4495,550,fcfs
AverageOperationModel,3.0,6.1,0.2,0.999,0.856,1.0,1.0,0.997,4495,550,fcfs
LogNormalDistributionModel,8.0,6.8,0.1,0.999,0.756,1.0,1.0,0.996,4495,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4496,550,fcfs
CausalContinousModel,2.0,7.4,0.4,0.998,0.718,1.0,1.0,0.993,4496,550,fcfs
AverageOperationModel,-0.0,3.5,0.2,0.999,0.824,1.0,1.0,0.996,4496,550,fcfs
LogNormalDistributionModel,-0.0,11.5,0.2,0.996,0.66,1.0,1.0,0.987,4496,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4497,550,fcfs
CausalContinousModel,-2.0,7.1,0.0,0.997,0.733,1.0,1.0,0.992,4497,550,fcfs
AverageOperationModel,-4.0,9.1,0.0,0.996,0.676,1.0,1.0,0.988,4497,550,fcfs
LogNormalDistributionModel,1.0,6.6,-0.1,0.998,0.72,1.0,1.0,0.994,4497,550,fcfs
