Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,overall_tool_changes,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,45.653,154,550,fcfs
CausalContinousModel,5.0,18.5,0.0,14.0,16,26,0,45.927,154,550,fcfs
AverageOperationModel,3.0,9.4,0.0,3.667,4,7,0,46.003,154,550,fcfs
LogNormalDistributionModel,3.0,7.6,0.1,7.333,10,12,0,45.75,154,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,48.04,155,550,fcfs
CausalContinousModel,0.0,13.2,0.1,32.667,0,80,18,47.813,155,550,fcfs
AverageOperationModel,11.0,18.5,0.0,35.0,0,81,24,48.04,155,550,fcfs
LogNormalDistributionModel,11.0,12.8,0.1,33.333,0,74,26,48.04,155,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,55.75,156,550,fcfs
CausalContinousModel,10.0,17.4,0.1,23.667,31,40,0,55.567,156,550,fcfs
AverageOperationModel,9.0,13.6,0.0,20.667,55,7,0,56.527,156,550,fcfs
LogNormalDistributionModel,7.0,12.2,0.2,25.0,55,20,0,55.16,156,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,39.903,157,550,fcfs
CausalContinousModel,1.0,9.1,0.1,2.667,8,0,0,39.703,157,550,fcfs
AverageOperationModel,2.0,6.9,0.0,1.333,4,0,0,39.903,157,550,fcfs
LogNormalDistributionModel,1.0,10.6,0.1,2.667,8,0,0,39.703,157,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,48.017,158,550,fcfs
CausalContinousModel,4.0,15.3,0.2,12.0,0,26,10,48.377,158,550,fcfs
AverageOperationModel,3.0,8.0,0.1,5.333,0,14,2,48.06,158,550,fcfs
LogNormalDistributionModel,2.0,7.8,0.1,8.667,0,23,3,48.217,158,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,37.483,159,550,fcfs
CausalContinousModel,11.0,16.3,0.2,2.667,0,0,8,37.287,159,550,fcfs
AverageOperationModel,2.0,6.9,0.1,2.0,0,0,6,37.09,159,550,fcfs
LogNormalDistributionModel,5.0,14.0,0.1,2.0,0,0,6,37.483,159,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,50.87,160,550,fcfs
CausalContinousModel,5.0,23.0,0.2,16.333,18,31,0,50.093,160,550,fcfs
AverageOperationModel,0.0,21.5,0.1,11.667,14,21,0,49.877,160,550,fcfs
LogNormalDistributionModel,1.0,15.6,0.1,15.667,21,26,0,50.207,160,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,49.33,161,550,fcfs
CausalContinousModel,10.0,18.5,0.1,16.667,32,4,14,49.33,161,550,fcfs
AverageOperationModel,1.0,11.7,0.0,19.667,30,9,20,49.257,161,550,fcfs
LogNormalDistributionModel,4.0,9.1,0.1,12.333,15,4,18,48.717,161,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,59.87,162,550,fcfs
CausalContinousModel,18.0,25.2,0.0,22.0,0,0,66,60.19,162,550,fcfs
AverageOperationModel,10.0,22.9,0.0,18.0,0,0,54,59.6,162,550,fcfs
LogNormalDistributionModel,12.0,23.3,0.2,24.333,0,0,73,59.817,162,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,45.873,163,550,fcfs
CausalContinousModel,2.0,9.7,0.1,17.0,0,0,51,45.873,163,550,fcfs
AverageOperationModel,2.0,8.5,0.1,7.667,0,0,23,45.873,163,550,fcfs
LogNormalDistributionModel,2.0,10.4,0.1,11.333,0,0,34,45.873,163,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,50.713,164,550,fcfs
CausalContinousModel,15.0,18.4,0.1,11.333,34,0,0,50.3,164,550,fcfs
AverageOperationModel,5.0,8.9,0.0,11.667,35,0,0,50.097,164,550,fcfs
LogNormalDistributionModel,5.0,13.4,0.1,18.0,54,0,0,49.89,164,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,49.507,165,550,fcfs
CausalContinousModel,6.0,12.2,0.1,28.667,12,23,51,50.057,165,550,fcfs
AverageOperationModel,6.0,12.4,0.1,34.0,13,32,57,48.817,165,550,fcfs
LogNormalDistributionModel,7.0,13.5,0.2,37.667,11,37,65,48.903,165,550,fcfs
