Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,overall_tool_changes,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,48.273,154,550,dynamic
CausalContinousModel,0.0,7.5,0.0,87.0,127,86,47,47.09,154,550,dynamic
AverageOperationModel,0.0,5.5,0.0,75.833,122,88,18,48.632,154,550,dynamic
LogNormalDistributionModel,-2.0,9.3,-0.1,89.667,143,93,37,45.072,154,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,49.68,155,550,dynamic
CausalContinousModel,0.0,12.6,-0.1,108.167,116,143,66,48.493,155,550,dynamic
AverageOperationModel,1.0,7.3,0.0,99.5,109,118,68,51.017,155,550,dynamic
LogNormalDistributionModel,4.0,7.9,0.0,118.5,114,145,91,49.985,155,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,54.768,156,550,dynamic
CausalContinousModel,-0.0,11.7,0.1,107.167,132,126,67,55.883,156,550,dynamic
AverageOperationModel,1.0,8.4,0.0,95.333,111,120,56,55.165,156,550,dynamic
LogNormalDistributionModel,2.0,8.8,0.2,100.167,119,114,70,54.405,156,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,41.692,157,550,dynamic
CausalContinousModel,-3.0,10.1,0.0,101.333,100,103,98,42.435,157,550,dynamic
AverageOperationModel,-2.0,8.1,0.0,93.167,124,78,79,41.237,157,550,dynamic
LogNormalDistributionModel,-1.0,8.8,0.0,107.0,136,85,103,41.032,157,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,49.387,158,550,dynamic
CausalContinousModel,-3.0,7.0,-0.1,85.5,104,89,60,49.42,158,550,dynamic
AverageOperationModel,-2.0,6.9,0.0,84.5,87,104,60,48.79,158,550,dynamic
LogNormalDistributionModel,0.0,8.4,-0.0,86.667,84,113,64,47.622,158,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,37.89,159,550,dynamic
CausalContinousModel,3.0,10.1,-0.1,90.167,91,51,128,36.793,159,550,dynamic
AverageOperationModel,-4.0,10.4,-0.1,83.333,86,52,108,37.685,159,550,dynamic
LogNormalDistributionModel,-1.0,10.3,-0.1,81.5,101,48,93,38.53,159,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,50.257,160,550,dynamic
CausalContinousModel,-4.0,21.6,0.2,93.167,89,62,119,50.215,160,550,dynamic
AverageOperationModel,-0.0,9.2,0.1,105.833,74,60,177,48.307,160,550,dynamic
LogNormalDistributionModel,-1.0,6.3,0.1,92.167,78,60,136,48.223,160,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,51.542,161,550,dynamic
CausalContinousModel,-4.0,13.3,-0.2,100.833,138,64,97,52.408,161,550,dynamic
AverageOperationModel,-0.0,7.0,0.0,80.0,110,40,88,52.573,161,550,dynamic
LogNormalDistributionModel,-1.0,7.2,-0.1,96.0,138,49,97,50.375,161,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,59.573,162,550,dynamic
CausalContinousModel,-3.0,12.3,0.0,89.667,51,7,211,59.278,162,550,dynamic
AverageOperationModel,-10.0,19.0,0.0,91.667,65,6,209,61.443,162,550,dynamic
LogNormalDistributionModel,2.0,9.8,-0.1,92.667,55,6,215,58.895,162,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,47.268,163,550,dynamic
CausalContinousModel,-1.0,17.0,-0.1,96.0,124,46,121,45.952,163,550,dynamic
AverageOperationModel,2.0,10.9,0.0,93.5,112,53,119,46.792,163,550,dynamic
LogNormalDistributionModel,-1.0,13.2,0.0,93.333,122,39,124,45.657,163,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,49.35,164,550,dynamic
CausalContinousModel,-6.0,9.9,-0.3,89.0,119,90,59,48.843,164,550,dynamic
AverageOperationModel,2.0,8.3,-0.1,86.833,109,87,64,50.125,164,550,dynamic
LogNormalDistributionModel,5.0,9.7,-0.2,85.667,110,84,56,48.795,164,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,50.768,165,550,dynamic
CausalContinousModel,-2.0,8.1,0.1,111.333,123,97,109,50.823,165,550,dynamic
AverageOperationModel,2.0,9.7,0.1,104.333,120,87,108,50.315,165,550,dynamic
LogNormalDistributionModel,0.0,12.4,0.3,114.333,126,119,99,50.51,165,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,58.547,166,550,dynamic
CausalContinousModel,-4.0,14.8,0.0,111.667,137,103,99,61.208,166,550,dynamic
AverageOperationModel,-3.0,7.9,0.0,97.333,115,89,89,61.837,166,550,dynamic
LogNormalDistributionModel,-4.0,10.8,0.0,99.0,120,84,100,57.552,166,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,54.982,167,550,dynamic
CausalContinousModel,0.0,8.2,0.0,110.167,87,126,116,57.933,167,550,dynamic
AverageOperationModel,2.0,8.5,0.0,110.667,86,122,125,57.008,167,550,dynamic
LogNormalDistributionModel,3.0,11.6,-0.1,114.5,90,148,104,57.393,167,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,43.55,168,550,dynamic
CausalContinousModel,-2.0,10.5,0.0,88.5,63,55,147,42.592,168,550,dynamic
AverageOperationModel,0.0,6.9,0.0,81.0,64,49,127,41.938,168,550,dynamic
LogNormalDistributionModel,-1.0,7.4,0.0,91.667,79,75,120,43.215,168,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,54.882,169,550,dynamic
CausalContinousModel,0.0,9.8,0.1,88.667,88,108,65,52.377,169,550,dynamic
AverageOperationModel,1.0,7.4,0.1,81.667,71,109,63,55.02,169,550,dynamic
LogNormalDistributionModel,-1.0,14.5,0.1,88.833,89,106,70,52.582,169,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,43.66,170,550,dynamic
CausalContinousModel,-2.0,13.2,0.1,97.167,124,97,71,44.033,170,550,dynamic
AverageOperationModel,0.0,6.4,0.1,85.0,137,76,40,43.838,170,550,dynamic
LogNormalDistributionModel,-5.0,9.9,0.0,97.0,137,91,58,42.283,170,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,42.673,171,550,dynamic
CausalContinousModel,-3.0,9.0,0.2,102.0,113,70,127,41.972,171,550,dynamic
AverageOperationModel,-3.0,10.0,0.2,97.333,110,78,107,42.183,171,550,dynamic
LogNormalDistributionModel,1.0,7.7,0.2,89.667,109,54,102,41.543,171,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,43.882,172,550,dynamic
CausalContinousModel,1.0,10.9,-0.1,106.833,98,142,84,45.007,172,550,dynamic
AverageOperationModel,-0.0,7.6,0.0,97.833,88,117,83,44.758,172,550,dynamic
LogNormalDistributionModel,-4.0,8.1,0.0,103.333,105,132,73,43.542,172,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,45.783,173,550,dynamic
CausalContinousModel,2.0,8.7,0.1,80.0,57,93,77,44.5,173,550,dynamic
AverageOperationModel,-1.0,8.5,0.0,83.5,84,101,68,45.528,173,550,dynamic
LogNormalDistributionModel,-1.0,10.6,0.0,85.167,81,102,68,44.96,173,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,48.903,174,550,dynamic
CausalContinousModel,2.0,8.8,0.1,111.5,125,125,77,51.447,174,550,dynamic
AverageOperationModel,2.0,8.0,0.1,110.333,130,122,74,49.887,174,550,dynamic
LogNormalDistributionModel,1.0,11.6,0.2,113.333,151,119,65,50.035,174,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,40.245,175,550,dynamic
CausalContinousModel,0.0,11.1,0.1,93.167,70,93,117,41.258,175,550,dynamic
AverageOperationModel,3.0,7.9,0.0,74.333,45,76,97,41.138,175,550,dynamic
LogNormalDistributionModel,1.0,7.8,0.0,90.833,63,105,104,40.515,175,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,44.273,176,550,dynamic
CausalContinousModel,1.0,10.9,-0.1,83.667,35,116,101,43.352,176,550,dynamic
AverageOperationModel,0.0,9.1,0.0,67.167,19,90,94,41.688,176,550,dynamic
LogNormalDistributionModel,-1.0,8.8,-0.1,67.5,32,90,82,40.688,176,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,56.103,177,550,dynamic
CausalContinousModel,-6.0,11.8,-0.1,97.5,84,115,99,56.357,177,550,dynamic
