Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,overall_tool_changes,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,46.0,154,550,dynamic
CausalContinousModel,8.0,18.9,-0.3,24.667,0,0,74,48.667,154,550,dynamic
AverageOperationModel,-2.0,7.2,-0.2,11.333,0,0,34,46.0,154,550,dynamic
LogNormalDistributionModel,-4.0,12.3,0.1,22.667,0,0,68,47.333,154,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,46.0,155,550,dynamic
CausalContinousModel,-2.0,14.0,0.3,22.333,0,0,67,48.0,155,550,dynamic
AverageOperationModel,7.0,9.8,0.3,21.667,0,0,65,46.667,155,550,dynamic
LogNormalDistributionModel,-14.0,11.9,0.3,23.0,0,0,69,46.667,155,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,48.667,156,550,dynamic
CausalContinousModel,16.0,11.9,0.1,23.667,0,0,71,49.333,156,550,dynamic
AverageOperationModel,4.0,4.9,0.0,4.333,0,0,13,48.0,156,550,dynamic
LogNormalDistributionModel,4.0,7.3,0.1,14.333,0,0,43,45.333,156,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,48.0,157,550,dynamic
CausalContinousModel,-30.0,15.8,0.0,14.333,0,0,43,48.0,157,550,dynamic
AverageOperationModel,-12.0,7.5,0.0,10.333,0,0,31,48.0,157,550,dynamic
LogNormalDistributionModel,-1.0,10.0,-0.3,14.0,0,0,42,48.667,157,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,48.0,158,550,dynamic
CausalContinousModel,2.0,11.2,-0.2,18.0,0,0,54,47.333,158,550,dynamic
AverageOperationModel,16.0,9.8,-0.1,18.667,0,0,56,48.0,158,550,dynamic
LogNormalDistributionModel,-4.0,14.6,-0.1,24.667,0,0,74,46.667,158,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,45.333,159,550,dynamic
CausalContinousModel,-1.0,10.6,0.2,16.333,0,0,49,47.333,159,550,dynamic
AverageOperationModel,-3.0,10.7,-0.2,20.667,0,0,62,48.0,159,550,dynamic
LogNormalDistributionModel,-10.0,16.1,-0.7,19.0,0,0,57,46.667,159,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,48.667,160,550,dynamic
CausalContinousModel,-21.0,13.2,-0.4,21.0,0,0,63,48.667,160,550,dynamic
AverageOperationModel,0.0,7.1,-0.1,19.667,0,0,59,48.0,160,550,dynamic
LogNormalDistributionModel,14.0,14.4,0.0,10.333,0,0,31,49.333,160,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,45.333,161,550,dynamic
CausalContinousModel,-1.0,8.7,-0.3,14.0,0,0,42,48.0,161,550,dynamic
AverageOperationModel,0.0,8.6,-0.1,16.667,0,0,50,48.0,161,550,dynamic
LogNormalDistributionModel,-3.0,7.9,0.3,12.0,0,0,36,45.333,161,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,47.333,162,550,dynamic
CausalContinousModel,-13.0,19.1,0.4,26.0,0,0,78,46.667,162,550,dynamic
AverageOperationModel,-10.0,7.3,-0.2,11.0,0,0,33,50.0,162,550,dynamic
LogNormalDistributionModel,-5.0,11.3,0.0,12.333,0,0,37,52.0,162,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,48.0,163,550,dynamic
CausalContinousModel,-22.0,16.4,-0.1,23.667,0,0,71,50.0,163,550,dynamic
AverageOperationModel,-19.0,11.2,-0.3,16.333,0,0,49,48.0,163,550,dynamic
LogNormalDistributionModel,11.0,10.7,-0.2,17.333,0,0,52,47.333,163,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,46.667,164,550,dynamic
CausalContinousModel,-41.0,24.2,0.7,26.667,0,0,80,48.0,164,550,dynamic
AverageOperationModel,14.0,12.0,0.4,10.667,0,0,32,46.0,164,550,dynamic
LogNormalDistributionModel,-14.0,19.8,0.2,26.0,0,0,78,49.333,164,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,48.667,165,550,dynamic
CausalContinousModel,3.0,8.4,-0.1,17.667,0,0,53,46.0,165,550,dynamic
AverageOperationModel,17.0,10.0,0.0,16.0,0,0,48,48.0,165,550,dynamic
LogNormalDistributionModel,-5.0,11.3,0.3,19.667,0,0,59,49.333,165,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,45.333,166,550,dynamic
CausalContinousModel,24.0,14.4,-0.2,20.0,0,0,60,48.0,166,550,dynamic
AverageOperationModel,10.0,6.0,-0.2,6.667,0,0,20,44.667,166,550,dynamic
LogNormalDistributionModel,-1.0,7.0,-0.3,15.0,0,0,45,45.333,166,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,48.667,167,550,dynamic
CausalContinousModel,-11.0,7.2,-0.1,10.667,0,0,32,47.333,167,550,dynamic
AverageOperationModel,-7.0,6.0,0.0,15.0,0,0,45,48.0,167,550,dynamic
LogNormalDistributionModel,-2.0,6.3,0.3,9.333,0,0,28,46.667,167,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,48.667,168,550,dynamic
CausalContinousModel,-28.0,14.6,0.0,12.0,0,0,36,47.333,168,550,dynamic
AverageOperationModel,-20.0,10.7,0.5,16.0,0,0,48,48.0,168,550,dynamic
LogNormalDistributionModel,6.0,8.4,0.3,18.333,0,0,55,48.0,168,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,45.333,169,550,dynamic
CausalContinousModel,-3.0,7.9,-0.2,19.0,0,0,57,50.0,169,550,dynamic
AverageOperationModel,-1.0,4.4,-0.5,9.333,0,0,28,48.0,169,550,dynamic
LogNormalDistributionModel,18.0,15.0,-0.6,25.667,0,0,77,50.667,169,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,47.333,170,550,dynamic
CausalContinousModel,15.0,19.4,0.6,25.333,0,0,76,50.0,170,550,dynamic
AverageOperationModel,5.0,10.0,0.4,17.667,0,0,53,48.0,170,550,dynamic
LogNormalDistributionModel,13.0,26.4,0.7,26.0,0,0,78,48.667,170,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,47.333,171,550,dynamic
CausalContinousModel,-8.0,21.1,0.4,26.333,0,0,79,48.0,171,550,dynamic
AverageOperationModel,6.0,12.4,0.1,22.333,0,0,67,48.0,171,550,dynamic
LogNormalDistributionModel,23.0,16.4,-0.1,23.0,0,0,69,44.667,171,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,48.667,172,550,dynamic
CausalContinousModel,-3.0,6.9,0.0,13.333,0,0,40,49.333,172,550,dynamic
AverageOperationModel,8.0,10.9,0.3,24.333,0,0,73,48.667,172,550,dynamic
LogNormalDistributionModel,-11.0,11.2,0.1,18.0,0,0,54,48.0,172,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,45.333,173,550,dynamic
CausalContinousModel,-15.0,17.4,0.7,25.333,0,0,76,47.333,173,550,dynamic
AverageOperationModel,-10.0,14.4,0.3,20.333,0,0,61,48.0,173,550,dynamic
LogNormalDistributionModel,8.0,14.1,0.2,25.333,0,0,76,46.667,173,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,45.333,174,550,dynamic
CausalContinousModel,-2.0,10.9,-0.6,10.333,0,0,31,46.667,174,550,dynamic
AverageOperationModel,3.0,7.2,-0.3,16.0,0,0,48,48.0,174,550,dynamic
LogNormalDistributionModel,-1.0,8.2,-0.2,18.667,0,0,56,47.333,174,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,49.333,175,550,dynamic
CausalContinousModel,-3.0,8.0,-0.1,10.333,0,0,31,48.0,175,550,dynamic
AverageOperationModel,-2.0,5.8,-0.1,8.667,0,0,26,48.0,175,550,dynamic
LogNormalDistributionModel,-20.0,12.6,-0.2,18.667,0,0,56,48.667,175,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,47.333,176,550,dynamic
CausalContinousModel,9.0,11.2,-0.1,22.667,0,0,68,51.333,176,550,dynamic
AverageOperationModel,6.0,13.2,-0.2,20.667,0,0,62,48.0,176,550,dynamic
LogNormalDistributionModel,-17.0,11.1,-0.3,20.333,0,0,61,46.667,176,550,dynamic
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,48.667,177,550,dynamic
