Model,makespan (over all),avg abs start deviation,avg duration deviation,kendall_sequ_sim,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,554,2000,fcfs
AverageOperationModel,-7.0,64.5,0.0,1.0,0.255,1.0,1.0,0.999,554,2000,fcfs
LogNormalDistributionModel,-89.0,51.3,-0.2,1.0,0.34,1.0,1.0,1.0,554,2000,fcfs
CausalModel,2093.0,1609.9,-0.3,1.0,0.262,1.0,1.0,0.999,554,2000,fcfs
CausalContinousModel,2111.0,1627.7,-0.2,1.0,0.183,1.0,1.0,0.999,554,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,555,2000,fcfs
AverageOperationModel,9.0,42.8,0.1,1.0,0.562,1.0,1.0,1.0,555,2000,fcfs
LogNormalDistributionModel,39.0,57.4,0.3,1.0,0.466,1.0,1.0,1.0,555,2000,fcfs
CausalModel,1551.0,1405.7,-0.2,1.0,0.505,1.0,1.0,1.0,555,2000,fcfs
CausalContinousModel,1595.0,1494.7,0.0,1.0,0.426,1.0,1.0,1.0,555,2000,fcfs
