Model,makespan (over all),avg abs start deviation,avg duration deviation,kendall_sequ_sim,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4487,250,fcfs
CausalContinousModel,0.0,28.7,0.0,0.999,0.503,0.999,0.998,0.999,4487,250,fcfs
AverageOperationModel,33.0,31.5,-0.3,0.999,0.691,1.0,0.999,1.0,4487,250,fcfs
LogNormalDistributionModel,2.0,21.1,-0.2,0.999,0.648,1.0,0.998,0.999,4487,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4488,250,fcfs
CausalContinousModel,-6.0,14.9,0.4,0.999,0.6,0.999,0.999,1.0,4488,250,fcfs
AverageOperationModel,-14.0,12.8,0.1,0.999,0.612,0.999,0.999,1.0,4488,250,fcfs
LogNormalDistributionModel,12.0,14.2,0.2,0.999,0.572,0.999,0.998,1.0,4488,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4489,250,fcfs
CausalContinousModel,-18.0,16.2,0.0,0.999,0.7,0.999,0.999,0.999,4489,250,fcfs
AverageOperationModel,1.0,15.5,0.2,0.999,0.6,0.999,0.999,0.999,4489,250,fcfs
LogNormalDistributionModel,-4.0,12.3,0.6,0.999,0.682,0.999,0.999,1.0,4489,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4490,250,fcfs
CausalContinousModel,-12.0,12.9,-0.2,1.0,0.679,1.0,1.0,0.999,4490,250,fcfs
AverageOperationModel,15.0,15.3,0.0,1.0,0.757,1.0,1.0,1.0,4490,250,fcfs
LogNormalDistributionModel,37.0,33.3,-0.2,0.999,0.475,1.0,0.999,0.999,4490,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4491,250,fcfs
CausalContinousModel,37.0,29.2,1.5,0.999,0.642,1.0,0.999,0.999,4491,250,fcfs
AverageOperationModel,15.0,9.0,0.8,1.0,0.802,1.0,1.0,1.0,4491,250,fcfs
LogNormalDistributionModel,-1.0,16.4,1.4,0.999,0.573,1.0,0.999,0.999,4491,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4492,250,fcfs
CausalContinousModel,-22.0,18.9,0.5,0.999,0.684,0.999,0.999,1.0,4492,250,fcfs
AverageOperationModel,-16.0,11.5,0.3,1.0,0.806,1.0,1.0,1.0,4492,250,fcfs
LogNormalDistributionModel,5.0,14.0,0.6,1.0,0.821,1.0,1.0,1.0,4492,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4493,250,fcfs
CausalContinousModel,-10.0,18.1,0.0,1.0,0.724,0.999,1.0,1.0,4493,250,fcfs
AverageOperationModel,4.0,13.9,-0.1,1.0,0.77,0.999,1.0,1.0,4493,250,fcfs
LogNormalDistributionModel,13.0,11.8,0.3,1.0,0.858,1.0,1.0,1.0,4493,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4494,250,fcfs
CausalContinousModel,2.0,20.6,-0.7,0.999,0.59,1.0,0.999,0.999,4494,250,fcfs
AverageOperationModel,-1.0,7.1,-0.2,1.0,0.812,1.0,1.0,1.0,4494,250,fcfs
LogNormalDistributionModel,-9.0,11.7,0.0,1.0,0.669,1.0,1.0,0.999,4494,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4495,250,fcfs
CausalContinousModel,-4.0,15.9,0.0,0.999,0.713,1.0,1.0,0.998,4495,250,fcfs
AverageOperationModel,-7.0,9.0,0.0,1.0,0.859,1.0,1.0,1.0,4495,250,fcfs
LogNormalDistributionModel,1.0,15.1,0.0,0.999,0.757,1.0,1.0,0.999,4495,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4496,250,fcfs
CausalContinousModel,13.0,15.5,0.6,1.0,0.774,1.0,1.0,1.0,4496,250,fcfs
AverageOperationModel,22.0,15.2,1.0,1.0,0.739,1.0,0.999,1.0,4496,250,fcfs
LogNormalDistributionModel,13.0,18.1,1.1,0.999,0.638,0.999,0.999,0.999,4496,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4497,250,fcfs
CausalContinousModel,-1.0,12.3,-0.1,0.999,0.656,1.0,1.0,0.999,4497,250,fcfs
AverageOperationModel,3.0,10.2,-0.3,1.0,0.666,1.0,0.999,0.999,4497,250,fcfs
LogNormalDistributionModel,6.0,12.8,-0.1,0.999,0.584,1.0,0.999,0.999,4497,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4498,250,fcfs
CausalContinousModel,-28.0,30.8,0.4,0.999,0.551,0.999,0.999,0.998,4498,250,fcfs
AverageOperationModel,0.0,9.6,0.0,1.0,0.851,1.0,1.0,1.0,4498,250,fcfs
LogNormalDistributionModel,-19.0,18.3,-0.1,0.999,0.679,1.0,1.0,0.999,4498,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4499,250,fcfs
CausalContinousModel,-52.0,23.1,0.4,1.0,0.853,1.0,1.0,1.0,4499,250,fcfs
AverageOperationModel,-2.0,13.9,0.3,1.0,0.771,1.0,1.0,1.0,4499,250,fcfs
LogNormalDistributionModel,15.0,25.2,0.0,1.0,0.754,1.0,1.0,1.0,4499,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4500,250,fcfs
CausalContinousModel,-7.0,17.2,0.0,1.0,0.775,1.0,1.0,0.999,4500,250,fcfs
AverageOperationModel,0.0,12.9,0.0,1.0,0.776,0.999,1.0,1.0,4500,250,fcfs
LogNormalDistributionModel,9.0,19.3,0.0,0.999,0.668,0.999,1.0,0.999,4500,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4501,250,fcfs
CausalContinousModel,-8.0,21.3,-0.6,0.998,0.535,0.999,0.997,0.999,4501,250,fcfs
AverageOperationModel,-14.0,10.9,-0.2,1.0,0.809,1.0,0.999,1.0,4501,250,fcfs
LogNormalDistributionModel,-2.0,13.4,-0.3,1.0,0.796,1.0,0.999,1.0,4501,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4502,250,fcfs
CausalContinousModel,-10.0,30.6,-0.2,0.998,0.396,0.996,0.999,0.999,4502,250,fcfs
AverageOperationModel,-7.0,21.2,-0.2,0.999,0.694,0.999,1.0,0.999,4502,250,fcfs
LogNormalDistributionModel,9.0,11.0,-0.3,1.0,0.759,0.999,1.0,1.0,4502,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4503,250,fcfs
CausalContinousModel,6.0,26.0,0.2,0.999,0.522,0.999,0.999,0.998,4503,250,fcfs
AverageOperationModel,-8.0,9.8,0.4,1.0,0.744,1.0,1.0,1.0,4503,250,fcfs
LogNormalDistributionModel,-21.0,16.2,0.0,1.0,0.781,1.0,1.0,0.999,4503,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4504,250,fcfs
CausalContinousModel,-17.0,18.1,-0.6,0.999,0.494,0.999,0.998,1.0,4504,250,fcfs
AverageOperationModel,-3.0,11.8,-0.3,1.0,0.633,0.999,0.999,1.0,4504,250,fcfs
LogNormalDistributionModel,-27.0,27.6,-0.4,0.999,0.413,0.998,0.998,1.0,4504,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4505,250,fcfs
CausalContinousModel,10.0,13.1,0.2,0.999,0.686,1.0,1.0,0.999,4505,250,fcfs
AverageOperationModel,-4.0,10.1,0.0,1.0,0.734,1.0,1.0,0.999,4505,250,fcfs
LogNormalDistributionModel,-2.0,21.8,-0.1,0.999,0.641,1.0,0.999,0.999,4505,250,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4506,250,fcfs
CausalContinousModel,37.0,34.4,0.5,0.999,0.554,0.997,0.999,1.0,4506,250,fcfs
AverageOperationModel,18.0,17.9,-0.1,0.999,0.652,0.999,1.0,1.0,4506,250,fcfs
LogNormalDistributionModel,18.0,21.1,0.4,1.0,0.694,0.999,1.0,1.0,4506,250,fcfs
