Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,154,550,dynamic
CausalContinousSmallModel,13.0,15.1,0.5,23.333,0,0,70,154,550,dynamic
AverageOperationModel,30.0,16.2,0.6,21.333,0,0,64,154,550,dynamic
LogNormalDistributionModel,10.0,9.7,0.9,19.0,0,0,57,154,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,155,550,dynamic
CausalContinousSmallModel,-14.0,20.8,0.0,18.333,0,0,55,155,550,dynamic
AverageOperationModel,-13.0,10.4,-0.2,19.667,0,0,59,155,550,dynamic
LogNormalDistributionModel,-5.0,10.5,-0.3,17.0,0,0,51,155,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,156,550,dynamic
CausalContinousSmallModel,13.0,18.0,1.0,17.333,0,0,52,156,550,dynamic
AverageOperationModel,13.0,9.2,0.3,15.0,0,0,45,156,550,dynamic
LogNormalDistributionModel,26.0,14.4,0.4,20.667,0,0,62,156,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,157,550,dynamic
CausalContinousSmallModel,1.0,7.3,0.3,17.667,0,0,53,157,550,dynamic
AverageOperationModel,2.0,8.6,0.1,16.333,0,0,49,157,550,dynamic
LogNormalDistributionModel,10.0,15.3,-0.2,24.667,0,0,74,157,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,158,550,dynamic
CausalContinousSmallModel,-12.0,24.9,-0.4,25.667,0,0,77,158,550,dynamic
AverageOperationModel,-17.0,10.0,-0.1,12.333,0,0,37,158,550,dynamic
LogNormalDistributionModel,-24.0,12.8,-0.1,11.333,0,0,34,158,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,159,550,dynamic
CausalContinousSmallModel,-12.0,10.7,0.1,20.333,0,0,61,159,550,dynamic
AverageOperationModel,-8.0,7.6,0.1,11.667,0,0,35,159,550,dynamic
LogNormalDistributionModel,-7.0,11.6,-0.4,24.333,0,0,73,159,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,160,550,dynamic
CausalContinousSmallModel,9.0,10.7,0.3,21.667,0,0,65,160,550,dynamic
AverageOperationModel,4.0,11.5,0.5,24.0,0,0,72,160,550,dynamic
LogNormalDistributionModel,-16.0,14.3,0.7,14.0,0,0,42,160,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,161,550,dynamic
CausalContinousSmallModel,-3.0,12.7,-0.8,14.333,0,0,43,161,550,dynamic
AverageOperationModel,-18.0,15.9,-0.7,11.0,0,0,33,161,550,dynamic
LogNormalDistributionModel,-43.0,21.7,-0.2,17.333,0,0,52,161,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,162,550,dynamic
CausalContinousSmallModel,-6.0,11.4,-0.4,21.333,0,0,64,162,550,dynamic
AverageOperationModel,7.0,13.0,-0.2,20.667,0,0,62,162,550,dynamic
LogNormalDistributionModel,1.0,15.7,0.0,24.667,0,0,74,162,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,163,550,dynamic
CausalContinousSmallModel,-4.0,15.5,0.2,21.667,0,0,65,163,550,dynamic
AverageOperationModel,19.0,12.4,-0.1,19.667,0,0,59,163,550,dynamic
LogNormalDistributionModel,20.0,14.9,0.0,14.0,0,0,42,163,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,164,550,dynamic
CausalContinousSmallModel,-10.0,12.1,0.7,21.667,0,0,65,164,550,dynamic
AverageOperationModel,14.0,8.9,0.6,12.333,0,0,37,164,550,dynamic
LogNormalDistributionModel,-3.0,7.9,0.4,15.333,0,0,46,164,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,165,550,dynamic
CausalContinousSmallModel,6.0,13.3,-0.4,26.0,0,0,78,165,550,dynamic
AverageOperationModel,-17.0,10.0,-0.3,11.333,0,0,34,165,550,dynamic
LogNormalDistributionModel,10.0,12.3,0.1,20.333,0,0,61,165,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,166,550,dynamic
CausalContinousSmallModel,-1.0,14.4,0.2,24.0,0,0,72,166,550,dynamic
AverageOperationModel,-11.0,9.1,0.1,13.333,0,0,40,166,550,dynamic
LogNormalDistributionModel,2.0,15.1,0.1,25.0,0,0,75,166,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,167,550,dynamic
CausalContinousSmallModel,-1.0,10.0,0.5,13.667,0,0,41,167,550,dynamic
AverageOperationModel,17.0,9.6,0.1,21.0,0,0,63,167,550,dynamic
LogNormalDistributionModel,23.0,13.3,0.3,21.667,0,0,65,167,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,168,550,dynamic
CausalContinousSmallModel,7.0,11.2,0.5,14.0,0,0,42,168,550,dynamic
AverageOperationModel,13.0,8.4,0.4,12.667,0,0,38,168,550,dynamic
LogNormalDistributionModel,-3.0,9.4,0.4,14.333,0,0,43,168,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,169,550,dynamic
CausalContinousSmallModel,-48.0,24.4,0.1,14.667,0,0,44,169,550,dynamic
AverageOperationModel,-13.0,8.4,-0.2,15.0,0,0,45,169,550,dynamic
LogNormalDistributionModel,9.0,12.8,-0.3,22.0,0,0,66,169,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,170,550,dynamic
CausalContinousSmallModel,2.0,15.8,0.6,24.333,0,0,73,170,550,dynamic
AverageOperationModel,25.0,13.1,0.2,13.0,0,0,39,170,550,dynamic
LogNormalDistributionModel,24.0,15.5,0.5,19.333,0,0,58,170,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,171,550,dynamic
CausalContinousSmallModel,-16.0,10.1,0.3,17.333,0,0,52,171,550,dynamic
AverageOperationModel,-2.0,8.5,0.0,9.667,0,0,29,171,550,dynamic
LogNormalDistributionModel,6.0,10.6,-0.1,21.667,0,0,65,171,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,172,550,dynamic
CausalContinousSmallModel,-15.0,9.7,0.1,21.667,0,0,65,172,550,dynamic
AverageOperationModel,-6.0,8.7,0.2,24.0,0,0,72,172,550,dynamic
LogNormalDistributionModel,-3.0,7.2,0.0,9.333,0,0,28,172,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,173,550,dynamic
CausalContinousSmallModel,29.0,30.2,-0.1,26.667,0,0,80,173,550,dynamic
AverageOperationModel,9.0,7.3,-0.2,12.0,0,0,36,173,550,dynamic
LogNormalDistributionModel,28.0,32.8,-0.4,27.0,0,0,81,173,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,174,550,dynamic
CausalContinousSmallModel,7.0,8.5,-0.3,15.333,0,0,46,174,550,dynamic
AverageOperationModel,-10.0,7.6,-0.6,11.333,0,0,34,174,550,dynamic
LogNormalDistributionModel,-4.0,17.1,-0.5,25.667,0,0,77,174,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,175,550,dynamic
CausalContinousSmallModel,18.0,12.4,-0.7,17.667,0,0,53,175,550,dynamic
AverageOperationModel,22.0,12.5,-0.3,23.667,0,0,71,175,550,dynamic
LogNormalDistributionModel,22.0,13.1,-0.5,18.0,0,0,54,175,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,176,550,dynamic
CausalContinousSmallModel,20.0,13.1,0.1,13.0,0,0,39,176,550,dynamic
AverageOperationModel,7.0,8.5,-0.1,17.333,0,0,52,176,550,dynamic
LogNormalDistributionModel,6.0,8.2,-0.3,19.667,0,0,59,176,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,177,550,dynamic
CausalContinousSmallModel,24.0,16.2,-0.8,18.667,0,0,56,177,550,dynamic
AverageOperationModel,10.0,6.4,-0.4,9.667,0,0,29,177,550,dynamic
LogNormalDistributionModel,-6.0,10.2,-0.7,20.333,0,0,61,177,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,178,550,dynamic
CausalContinousSmallModel,2.0,16.5,0.8,20.667,0,0,62,178,550,dynamic
AverageOperationModel,-7.0,6.7,0.3,17.0,0,0,51,178,550,dynamic
LogNormalDistributionModel,4.0,11.7,0.2,22.0,0,0,66,178,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,179,550,dynamic
CausalContinousSmallModel,-4.0,10.1,-0.2,22.333,0,0,67,179,550,dynamic
AverageOperationModel,-9.0,5.8,0.0,13.333,0,0,40,179,550,dynamic
LogNormalDistributionModel,-13.0,15.8,-0.0,25.0,0,0,75,179,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,180,550,dynamic
CausalContinousSmallModel,-23.0,15.9,0.0,21.333,0,0,64,180,550,dynamic
AverageOperationModel,-5.0,10.0,0.2,23.667,0,0,71,180,550,dynamic
LogNormalDistributionModel,-12.0,13.2,0.3,22.0,0,0,66,180,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,181,550,dynamic
CausalContinousSmallModel,3.0,11.3,0.0,21.667,0,0,65,181,550,dynamic
