Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,1.0,1510,2000,fcfs
AverageOperationModel,-2.0,7.9,0.1,0.999,1510,2000,fcfs
LogNormalDistributionModel,3.0,18.2,0.2,0.996,1510,2000,fcfs
CausalModel,4.0,55.2,0.2,0.999,1510,2000,fcfs
CausalContinousModel,8.0,57.4,0.5,0.999,1510,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1511,2000,fcfs
AverageOperationModel,7.0,9.0,0.2,1.0,1511,2000,fcfs
LogNormalDistributionModel,2.0,8.4,0.0,0.999,1511,2000,fcfs
CausalModel,8.0,64.0,0.7,0.996,1511,2000,fcfs
CausalContinousModel,6.0,65.5,0.4,0.999,1511,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1512,2000,fcfs
AverageOperationModel,-3.0,6.9,-0.7,1.0,1512,2000,fcfs
LogNormalDistributionModel,0.0,16.0,-0.3,0.997,1512,2000,fcfs
CausalModel,4.0,40.4,-0.7,0.994,1512,2000,fcfs
CausalContinousModel,10.0,36.6,-0.8,0.997,1512,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1513,2000,fcfs
AverageOperationModel,-7.0,11.1,-0.4,0.999,1513,2000,fcfs
LogNormalDistributionModel,-3.0,21.6,-1.1,0.995,1513,2000,fcfs
CausalModel,10.0,47.5,-0.5,0.998,1513,2000,fcfs
CausalContinousModel,-2.0,49.4,-0.1,0.997,1513,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1514,2000,fcfs
AverageOperationModel,-4.0,7.9,0.2,0.999,1514,2000,fcfs
LogNormalDistributionModel,1.0,10.2,0.1,0.998,1514,2000,fcfs
CausalModel,10.0,44.8,0.1,0.995,1514,2000,fcfs
CausalContinousModel,15.0,45.0,-0.1,0.999,1514,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1515,2000,fcfs
AverageOperationModel,-14.0,11.5,0.1,0.999,1515,2000,fcfs
LogNormalDistributionModel,9.0,13.0,-0.1,0.998,1515,2000,fcfs
CausalModel,-8.0,44.9,-0.1,0.997,1515,2000,fcfs
CausalContinousModel,-3.0,59.9,0.6,0.997,1515,2000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1516,2000,fcfs
AverageOperationModel,-2.0,11.0,0.2,0.998,1516,2000,fcfs
