Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,overall_tool_changes,seed,instance,priority_rule
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,46.003,154,550,dynamic
CausalSmallModel,14.0,44.2,-0.1,12.0,17,19,0,46.527,154,550,dynamic
AverageOperationModel,2.0,12.4,-0.1,13.333,15,25,0,46.003,154,550,dynamic
LogNormalDistributionModel,0.0,8.8,-0.1,15.667,19,28,0,46.003,154,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,48.73,155,550,dynamic
CausalSmallModel,21.0,26.8,0.0,31.333,0,70,24,47.87,155,550,dynamic
AverageOperationModel,1.0,12.4,0.1,26.0,0,49,29,48.04,155,550,dynamic
LogNormalDistributionModel,1.0,18.1,0.1,39.667,0,85,34,46.84,155,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,56.567,156,550,dynamic
CausalSmallModel,31.0,41.9,0.3,21.0,49,14,0,55.9,156,550,dynamic
AverageOperationModel,2.0,9.8,0.1,14.667,32,12,0,56.123,156,550,dynamic
LogNormalDistributionModel,13.0,14.3,0.3,34.0,65,37,0,55.307,156,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,39.5,157,550,dynamic
CausalSmallModel,19.0,35.3,0.1,6.0,18,0,0,40.107,157,550,dynamic
AverageOperationModel,3.0,11.6,0.0,4.667,14,0,0,39.903,157,550,dynamic
LogNormalDistributionModel,-2.0,9.0,0.0,2.667,8,0,0,39.703,157,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,48.377,158,550,dynamic
CausalSmallModel,11.0,32.8,0.0,12.0,0,22,14,48.06,158,550,dynamic
AverageOperationModel,-2.0,10.0,-0.1,8.667,0,17,9,48.377,158,550,dynamic
LogNormalDistributionModel,-1.0,9.1,-0.1,6.0,0,12,6,47.413,158,550,dynamic
TruthContinousSmallModel,0.0,0.0,0.0,0.0,0,0,0,37.483,159,550,dynamic
CausalSmallModel,12.0,32.8,-0.1,2.667,0,0,8,37.483,159,550,dynamic
AverageOperationModel,4.0,9.8,0.0,2.667,0,0,8,37.483,159,550,dynamic
LogNormalDistributionModel,-7.0,16.3,0.0,2.0,0,0,6,37.09,159,550,dynamic
