Model,makespan (over all),avg abs start deviation,avg duration deviation,kendall_sequ_sim,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4487,100,fcfs
CausalContinousModel,4.0,12.3,0.9,0.998,0.683,0.998,0.999,0.998,4487,100,fcfs
AverageOperationModel,7.0,7.2,-0.4,0.999,0.771,0.999,0.999,0.999,4487,100,fcfs
LogNormalDistributionModel,0.0,8.5,0.4,1.0,0.884,1.0,0.999,1.0,4487,100,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4488,100,fcfs
CausalContinousModel,-4.0,18.8,-0.4,0.997,0.493,0.998,0.996,0.999,4488,100,fcfs
AverageOperationModel,-4.0,6.1,-0.4,0.999,0.715,0.999,0.998,1.0,4488,100,fcfs
LogNormalDistributionModel,0.0,6.8,0.2,0.999,0.729,0.999,0.999,0.999,4488,100,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4489,100,fcfs
CausalContinousModel,-3.0,12.9,0.6,0.998,0.716,0.999,0.997,0.999,4489,100,fcfs
AverageOperationModel,-5.0,6.2,0.0,0.999,0.808,0.999,0.998,1.0,4489,100,fcfs
LogNormalDistributionModel,-4.0,10.0,0.4,0.998,0.693,0.998,0.997,0.999,4489,100,fcfs
