Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,1.0,2946,2000,fcfs
AverageOperationModel,71.0,86.0,0.1,1.0,2946,2000,fcfs
LogNormalDistributionModel,-32.0,37.0,0.1,1.0,2946,2000,fcfs
CausalModel,43.0,47.7,0.0,1.0,2946,2000,fcfs
CausalContinousModel,-32.0,74.1,0.0,1.0,2946,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,2947,2000,fcfs
AverageOperationModel,3.0,102.2,0.0,1.0,2947,2000,fcfs
LogNormalDistributionModel,43.0,79.2,0.1,1.0,2947,2000,fcfs
CausalModel,-3.0,43.7,-0.0,1.0,2947,2000,fcfs
CausalContinousModel,14.0,29.8,-0.0,1.0,2947,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,2948,2000,fcfs
AverageOperationModel,-16.0,110.1,0.0,1.0,2948,2000,fcfs
LogNormalDistributionModel,14.0,31.8,-0.0,1.0,2948,2000,fcfs
CausalModel,-4.0,66.9,0.1,1.0,2948,2000,fcfs
CausalContinousModel,-2.0,74.6,0.0,1.0,2948,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,2949,2000,fcfs
AverageOperationModel,-63.0,88.1,0.1,1.0,2949,2000,fcfs
LogNormalDistributionModel,-16.0,22.3,0.1,1.0,2949,2000,fcfs
CausalModel,-5.0,22.5,0.0,1.0,2949,2000,fcfs
CausalContinousModel,-31.0,35.1,0.0,1.0,2949,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,2950,2000,fcfs
AverageOperationModel,54.0,104.5,0.2,1.0,2950,2000,fcfs
LogNormalDistributionModel,42.0,71.1,0.3,1.0,2950,2000,fcfs
CausalModel,32.0,86.5,0.2,0.999,2950,2000,fcfs
CausalContinousModel,-1.0,43.8,0.1,1.0,2950,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,2951,2000,fcfs
AverageOperationModel,-22.0,42.3,0.1,1.0,2951,2000,fcfs
LogNormalDistributionModel,-26.0,31.7,0.1,1.0,2951,2000,fcfs
CausalModel,-17.0,65.3,0.0,1.0,2951,2000,fcfs
CausalContinousModel,5.0,60.4,0.1,1.0,2951,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,2952,2000,fcfs
AverageOperationModel,-3.0,61.4,0.0,1.0,2952,2000,fcfs
LogNormalDistributionModel,-41.0,82.7,0.1,0.999,2952,2000,fcfs
CausalModel,1.0,94.8,0.0,1.0,2952,2000,fcfs
CausalContinousModel,1.0,50.8,0.0,1.0,2952,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,2953,2000,fcfs
AverageOperationModel,-35.0,49.6,0.1,1.0,2953,2000,fcfs
LogNormalDistributionModel,-5.0,31.3,0.0,1.0,2953,2000,fcfs
CausalModel,29.0,58.5,0.0,1.0,2953,2000,fcfs
CausalContinousModel,7.0,54.5,0.1,1.0,2953,2000,fcfs
