Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,1.0,10,1000,fcfs
AverageOperationModel,-5.0,10.9,-0.1,0.999,10,1000,fcfs
LogNormalDistributionModel,-2.0,8.0,-0.3,0.999,10,1000,fcfs
CausalModel,-1.0,55.1,-0.1,0.996,10,1000,fcfs
CausalContinousModel,1.0,54.7,0.2,0.998,10,1000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,11,1000,fcfs
AverageOperationModel,-8.0,7.1,0.0,0.999,11,1000,fcfs
LogNormalDistributionModel,13.0,17.3,-0.2,0.996,11,1000,fcfs
CausalModel,17.0,60.4,0.0,0.998,11,1000,fcfs
CausalContinousModel,13.0,52.2,-0.3,0.997,11,1000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,12,1000,fcfs
AverageOperationModel,-0.0,8.4,0.1,0.999,12,1000,fcfs
LogNormalDistributionModel,-6.0,17.9,0.8,0.999,12,1000,fcfs
CausalModel,-3.0,57.4,-0.3,0.998,12,1000,fcfs
CausalContinousModel,-2.0,73.9,0.5,0.997,12,1000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,13,1000,fcfs
AverageOperationModel,-6.0,15.4,-0.5,0.997,13,1000,fcfs
LogNormalDistributionModel,-9.0,9.9,-0.4,0.999,13,1000,fcfs
CausalModel,-2.0,61.7,-0.6,0.996,13,1000,fcfs
CausalContinousModel,-12.0,67.7,-0.2,0.997,13,1000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,14,1000,fcfs
AverageOperationModel,-3.0,14.7,-0.3,0.998,14,1000,fcfs
LogNormalDistributionModel,-1.0,12.1,0.1,0.998,14,1000,fcfs
CausalModel,2.0,46.0,-0.3,0.999,14,1000,fcfs
CausalContinousModel,9.0,43.9,-0.6,0.999,14,1000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,15,1000,fcfs
AverageOperationModel,-7.0,10.3,0.6,0.999,15,1000,fcfs
LogNormalDistributionModel,2.0,10.4,0.6,0.999,15,1000,fcfs
CausalModel,11.0,61.4,0.7,0.999,15,1000,fcfs
CausalContinousModel,6.0,58.7,0.6,0.997,15,1000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,16,1000,fcfs
AverageOperationModel,1.0,13.8,0.5,0.999,16,1000,fcfs
LogNormalDistributionModel,4.0,22.5,0.0,0.996,16,1000,fcfs
CausalModel,-4.0,53.9,0.7,0.995,16,1000,fcfs
CausalContinousModel,10.0,51.5,0.6,0.994,16,1000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,17,1000,fcfs
AverageOperationModel,-3.0,14.1,-0.4,0.998,17,1000,fcfs
LogNormalDistributionModel,8.0,9.7,-0.4,0.999,17,1000,fcfs
CausalModel,6.0,37.2,-0.3,0.999,17,1000,fcfs
CausalContinousModel,13.0,36.2,-0.3,0.998,17,1000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,18,1000,fcfs
AverageOperationModel,-2.0,9.1,-0.1,0.998,18,1000,fcfs
LogNormalDistributionModel,14.0,16.3,-0.6,0.997,18,1000,fcfs
CausalModel,2.0,57.6,0.0,0.999,18,1000,fcfs
CausalContinousModel,10.0,47.4,-0.3,0.998,18,1000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,19,1000,fcfs
AverageOperationModel,-8.0,11.8,-0.7,0.998,19,1000,fcfs
LogNormalDistributionModel,4.0,8.6,-0.8,0.999,19,1000,fcfs
CausalModel,0.0,47.7,-0.8,0.995,19,1000,fcfs
CausalContinousModel,0.0,48.7,-0.9,0.997,19,1000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,20,1000,fcfs
AverageOperationModel,-8.0,10.6,-0.2,0.997,20,1000,fcfs
LogNormalDistributionModel,-3.0,8.5,-0.2,0.999,20,1000,fcfs
CausalModel,16.0,45.2,-0.4,0.999,20,1000,fcfs
CausalContinousModel,6.0,43.9,-0.5,0.999,20,1000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,21,1000,fcfs
AverageOperationModel,-7.0,7.0,-0.2,0.999,21,1000,fcfs
LogNormalDistributionModel,10.0,14.8,-0.4,0.997,21,1000,fcfs
CausalModel,4.0,46.2,-0.4,0.999,21,1000,fcfs
CausalContinousModel,-5.0,55.8,-0.3,0.998,21,1000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,22,1000,fcfs
AverageOperationModel,-8.0,6.9,-0.1,0.999,22,1000,fcfs
LogNormalDistributionModel,11.0,20.4,-0.2,0.996,22,1000,fcfs
CausalModel,-1.0,56.4,0.0,0.999,22,1000,fcfs
CausalContinousModel,0.0,57.8,-0.3,0.999,22,1000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,23,1000,fcfs
AverageOperationModel,-5.0,6.7,-0.5,0.999,23,1000,fcfs
LogNormalDistributionModel,-2.0,11.5,-0.9,0.998,23,1000,fcfs
CausalModel,6.0,45.9,-0.6,0.994,23,1000,fcfs
CausalContinousModel,11.0,46.4,-0.3,0.998,23,1000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,24,1000,fcfs
AverageOperationModel,-1.0,6.7,0.4,0.999,24,1000,fcfs
LogNormalDistributionModel,3.0,8.3,0.3,0.999,24,1000,fcfs
CausalModel,8.0,54.6,0.2,0.999,24,1000,fcfs
CausalContinousModel,17.0,60.7,0.5,0.999,24,1000,fcfs
