Model,makespan (over all),avg abs start deviation,avg duration deviation,kendall_sequ_sim,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4487,550,fcfs
CausalModel,4.0,8.4,0.0,0.997,0.68,1.0,1.0,0.991,4487,550,fcfs
AverageOperationModel,-3.0,11.6,0.0,0.998,0.793,1.0,1.0,0.995,4487,550,fcfs
LogNormalDistributionModel,2.0,6.8,-0.1,0.998,0.744,1.0,1.0,0.994,4487,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4488,550,fcfs
CausalModel,-1.0,7.2,0.0,0.997,0.713,1.0,1.0,0.992,4488,550,fcfs
AverageOperationModel,-3.0,5.3,0.0,0.999,0.822,1.0,1.0,0.996,4488,550,fcfs
LogNormalDistributionModel,-2.0,6.1,0.1,0.999,0.816,1.0,1.0,0.997,4488,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4489,550,fcfs
CausalModel,-4.0,5.7,-0.1,0.998,0.724,1.0,1.0,0.994,4489,550,fcfs
AverageOperationModel,-5.0,7.5,-0.1,0.998,0.731,1.0,1.0,0.993,4489,550,fcfs
LogNormalDistributionModel,-3.0,7.5,0.2,0.998,0.727,1.0,1.0,0.993,4489,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4490,550,fcfs
CausalModel,-6.0,5.4,0.1,0.999,0.773,1.0,1.0,0.997,4490,550,fcfs
AverageOperationModel,-7.0,10.1,0.0,0.996,0.676,1.0,1.0,0.989,4490,550,fcfs
LogNormalDistributionModel,18.0,10.2,-0.1,0.998,0.74,1.0,1.0,0.994,4490,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4491,550,fcfs
CausalModel,9.0,12.5,-0.2,0.999,0.873,1.0,1.0,0.998,4491,550,fcfs
AverageOperationModel,-0.0,2.6,0.0,0.999,0.844,1.0,1.0,0.997,4491,550,fcfs
LogNormalDistributionModel,0.0,13.2,0.1,0.995,0.647,1.0,1.0,0.985,4491,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4492,550,fcfs
CausalModel,-6.0,9.1,0.0,0.997,0.691,1.0,1.0,0.992,4492,550,fcfs
AverageOperationModel,-6.0,4.7,-0.2,0.999,0.858,1.0,1.0,0.998,4492,550,fcfs
LogNormalDistributionModel,9.0,6.6,-0.4,0.999,0.78,1.0,1.0,0.996,4492,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4493,550,fcfs
CausalModel,1.0,10.5,-0.3,0.998,0.756,1.0,1.0,0.995,4493,550,fcfs
AverageOperationModel,2.0,5.0,-0.1,0.999,0.84,1.0,1.0,0.998,4493,550,fcfs
LogNormalDistributionModel,1.0,3.6,-0.2,0.999,0.789,1.0,1.0,0.997,4493,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4494,550,fcfs
CausalModel,1.0,7.4,-0.3,0.999,0.816,1.0,1.0,0.996,4494,550,fcfs
AverageOperationModel,-2.0,7.5,-0.1,0.999,0.822,1.0,1.0,0.997,4494,550,fcfs
LogNormalDistributionModel,1.0,5.1,0.0,0.998,0.753,1.0,1.0,0.995,4494,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4495,550,fcfs
CausalModel,-13.0,13.2,0.2,0.998,0.749,1.0,1.0,0.995,4495,550,fcfs
AverageOperationModel,-13.0,8.7,0.2,0.999,0.8,1.0,1.0,0.997,4495,550,fcfs
LogNormalDistributionModel,2.0,6.1,0.0,0.998,0.724,1.0,1.0,0.994,4495,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4496,550,fcfs
CausalModel,0.0,8.0,0.3,0.997,0.689,1.0,1.0,0.99,4496,550,fcfs
AverageOperationModel,-5.0,4.5,0.2,0.998,0.742,1.0,1.0,0.995,4496,550,fcfs
LogNormalDistributionModel,-2.0,8.5,0.3,0.998,0.753,1.0,1.0,0.995,4496,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4497,550,fcfs
CausalModel,-5.0,5.2,0.1,0.999,0.849,1.0,1.0,0.998,4497,550,fcfs
AverageOperationModel,-9.0,11.7,0.0,0.996,0.682,1.0,1.0,0.988,4497,550,fcfs
LogNormalDistributionModel,-4.0,9.1,-0.0,0.997,0.718,1.0,1.0,0.992,4497,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4498,550,fcfs
CausalModel,2.0,11.0,0.0,0.998,0.74,1.0,1.0,0.994,4498,550,fcfs
AverageOperationModel,-2.0,9.3,0.1,0.997,0.742,1.0,1.0,0.992,4498,550,fcfs
LogNormalDistributionModel,0.0,9.6,-0.1,0.997,0.722,1.0,1.0,0.992,4498,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4499,550,fcfs
CausalModel,3.0,4.9,0.2,0.999,0.744,1.0,1.0,0.996,4499,550,fcfs
AverageOperationModel,-3.0,8.6,0.3,0.997,0.696,1.0,1.0,0.992,4499,550,fcfs
LogNormalDistributionModel,2.0,9.6,0.3,0.997,0.716,1.0,1.0,0.991,4499,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4500,550,fcfs
CausalModel,-2.0,9.4,-0.3,0.997,0.707,1.0,1.0,0.99,4500,550,fcfs
AverageOperationModel,25.0,13.5,-0.3,0.997,0.698,1.0,1.0,0.991,4500,550,fcfs
LogNormalDistributionModel,-1.0,5.4,-0.5,0.998,0.771,1.0,1.0,0.995,4500,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4501,550,fcfs
CausalModel,-2.0,9.1,-0.1,0.997,0.671,1.0,1.0,0.99,4501,550,fcfs
AverageOperationModel,-7.0,5.1,0.1,0.999,0.749,1.0,1.0,0.996,4501,550,fcfs
LogNormalDistributionModel,8.0,10.9,-0.2,0.996,0.658,1.0,1.0,0.988,4501,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4502,550,fcfs
CausalModel,-11.0,5.9,0.3,0.999,0.804,1.0,1.0,0.997,4502,550,fcfs
AverageOperationModel,-4.0,5.8,0.3,0.998,0.789,1.0,1.0,0.994,4502,550,fcfs
LogNormalDistributionModel,8.0,6.4,0.0,0.998,0.72,1.0,1.0,0.994,4502,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4503,550,fcfs
CausalModel,-3.0,12.3,-0.2,0.998,0.771,1.0,1.0,0.995,4503,550,fcfs
AverageOperationModel,-3.0,5.8,-0.4,0.999,0.816,1.0,1.0,0.997,4503,550,fcfs
LogNormalDistributionModel,-2.0,5.5,-0.3,0.999,0.802,1.0,1.0,0.996,4503,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4504,550,fcfs
CausalModel,-4.0,7.8,0.1,0.998,0.709,1.0,1.0,0.993,4504,550,fcfs
AverageOperationModel,-5.0,9.6,0.2,0.998,0.782,1.0,1.0,0.995,4504,550,fcfs
LogNormalDistributionModel,4.0,6.5,0.2,0.998,0.742,1.0,1.0,0.993,4504,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4505,550,fcfs
CausalModel,-2.0,4.1,0.1,0.999,0.896,1.0,1.0,0.998,4505,550,fcfs
AverageOperationModel,14.0,15.7,0.0,0.998,0.822,1.0,1.0,0.995,4505,550,fcfs
LogNormalDistributionModel,-4.0,10.0,0.3,0.997,0.711,1.0,1.0,0.991,4505,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4506,550,fcfs
CausalModel,-10.0,9.4,0.0,0.997,0.727,1.0,1.0,0.992,4506,550,fcfs
