Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthSmallModel,-44.0,44.3,-1.0,1.0,4467,1000,dynamic
CausalSmallModel,-25.0,53.5,-1.1,1.0,4467,1000,dynamic
AverageOperationModel,-51.0,74.1,-1.0,0.999,4467,1000,dynamic
LogNormalDistributionModel,-27.0,53.3,-1.1,0.999,4467,1000,dynamic
TruthSmallModel,-23.0,42.3,-0.6,1.0,4468,1000,dynamic
CausalSmallModel,12.0,33.7,-0.6,0.999,4468,1000,dynamic
AverageOperationModel,-15.0,37.2,-0.6,0.999,4468,1000,dynamic
LogNormalDistributionModel,11.0,46.4,-0.6,0.999,4468,1000,dynamic
TruthSmallModel,-37.0,48.0,-0.9,1.0,4469,1000,dynamic
CausalSmallModel,-48.0,73.8,-0.8,1.0,4469,1000,dynamic
AverageOperationModel,-46.0,60.0,-0.8,0.999,4469,1000,dynamic
LogNormalDistributionModel,-22.0,44.3,-1.0,0.999,4469,1000,dynamic
TruthSmallModel,-22.0,27.2,-0.7,1.0,4470,1000,dynamic
CausalSmallModel,-25.0,39.2,-0.7,1.0,4470,1000,dynamic
AverageOperationModel,-17.0,25.5,-0.7,1.0,4470,1000,dynamic
LogNormalDistributionModel,-17.0,30.1,-0.8,0.999,4470,1000,dynamic
TruthSmallModel,-6.0,29.8,-0.8,1.0,4471,1000,dynamic
CausalSmallModel,9.0,47.3,-0.7,1.0,4471,1000,dynamic
AverageOperationModel,-35.0,66.8,-0.5,1.0,4471,1000,dynamic
LogNormalDistributionModel,-6.0,43.1,-0.6,1.0,4471,1000,dynamic
TruthSmallModel,-40.0,30.3,-0.8,1.0,4472,1000,dynamic
CausalSmallModel,-30.0,32.8,-0.7,1.0,4472,1000,dynamic
AverageOperationModel,-72.0,71.8,-0.5,1.0,4472,1000,dynamic
LogNormalDistributionModel,-30.0,42.2,-0.8,1.0,4472,1000,dynamic
TruthSmallModel,-13.0,30.8,-0.8,1.0,4473,1000,dynamic
CausalSmallModel,-53.0,56.7,-0.6,0.999,4473,1000,dynamic
AverageOperationModel,-65.0,93.6,-0.5,0.999,4473,1000,dynamic
LogNormalDistributionModel,-47.0,61.5,-0.7,0.999,4473,1000,dynamic
TruthSmallModel,-37.0,47.0,-0.9,1.0,4474,1000,dynamic
CausalSmallModel,-4.0,82.1,-0.7,0.999,4474,1000,dynamic
AverageOperationModel,-46.0,77.0,-0.6,0.999,4474,1000,dynamic
LogNormalDistributionModel,17.0,70.4,-0.9,0.998,4474,1000,dynamic
TruthSmallModel,-47.0,54.9,-0.6,1.0,4475,1000,dynamic
CausalSmallModel,-46.0,46.0,-0.6,1.0,4475,1000,dynamic
AverageOperationModel,-21.0,63.1,-0.5,0.998,4475,1000,dynamic
LogNormalDistributionModel,-17.0,32.6,-0.6,0.999,4475,1000,dynamic
TruthSmallModel,-8.0,27.6,-0.7,1.0,4476,1000,dynamic
CausalSmallModel,-0.0,55.5,-0.5,0.999,4476,1000,dynamic
AverageOperationModel,-48.0,66.8,-0.3,0.999,4476,1000,dynamic
LogNormalDistributionModel,-29.0,66.8,-0.4,0.999,4476,1000,dynamic
TruthSmallModel,-24.0,41.3,-0.8,1.0,4477,1000,dynamic
CausalSmallModel,16.0,34.1,-1.1,1.0,4477,1000,dynamic
AverageOperationModel,-28.0,77.3,-0.8,0.999,4477,1000,dynamic
LogNormalDistributionModel,-18.0,39.8,-0.9,1.0,4477,1000,dynamic
TruthSmallModel,-53.0,49.1,-0.9,1.0,4478,1000,dynamic
CausalSmallModel,-49.0,64.0,-0.9,1.0,4478,1000,dynamic
AverageOperationModel,-51.0,85.8,-1.0,0.999,4478,1000,dynamic
LogNormalDistributionModel,-44.0,64.8,-1.0,0.999,4478,1000,dynamic
TruthSmallModel,-8.0,24.5,-0.8,1.0,4479,1000,dynamic
CausalSmallModel,16.0,42.0,-0.9,0.999,4479,1000,dynamic
AverageOperationModel,-42.0,62.6,-0.6,0.999,4479,1000,dynamic
LogNormalDistributionModel,18.0,43.3,-0.8,0.999,4479,1000,dynamic
TruthSmallModel,-21.0,24.5,-0.5,1.0,4480,1000,dynamic
CausalSmallModel,-12.0,39.7,-0.5,1.0,4480,1000,dynamic
AverageOperationModel,-79.0,82.1,-0.1,1.0,4480,1000,dynamic
LogNormalDistributionModel,-71.0,67.8,-0.3,1.0,4480,1000,dynamic
TruthSmallModel,-42.0,42.4,-0.9,1.0,4481,1000,dynamic
CausalSmallModel,-14.0,74.8,-1.0,0.999,4481,1000,dynamic
AverageOperationModel,-51.0,73.2,-0.7,0.999,4481,1000,dynamic
LogNormalDistributionModel,-3.0,32.6,-1.0,1.0,4481,1000,dynamic
