Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,overall_tool_changes,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,0.0,0,0,0,33.297,1547,550,fcfs
CausalModel,40.0,21.9,0.0,21.667,0,0,65,35.963,1547,550,fcfs
AverageOperationModel,14.0,11.1,0.3,12.0,0,0,36,34.187,1547,550,fcfs
LogNormalDistributionModel,1.0,8.6,0.5,17.0,0,0,51,35.52,1547,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,33.74,1548,550,fcfs
CausalModel,0.0,7.5,0.4,4.667,0,0,14,33.74,1548,550,fcfs
AverageOperationModel,12.0,6.8,0.2,5.333,0,0,16,34.187,1548,550,fcfs
LogNormalDistributionModel,9.0,10.2,0.3,14.0,0,0,42,34.63,1548,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,33.74,1549,550,fcfs
CausalModel,13.0,11.4,0.6,13.0,0,0,39,34.63,1549,550,fcfs
AverageOperationModel,9.0,8.5,0.1,21.0,0,0,63,35.52,1549,550,fcfs
LogNormalDistributionModel,6.0,12.7,0.2,22.0,0,0,66,35.963,1549,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,35.073,1550,550,fcfs
CausalModel,8.0,8.2,0.1,16.0,0,0,48,34.187,1550,550,fcfs
AverageOperationModel,27.0,14.7,0.0,7.0,0,0,21,35.52,1550,550,fcfs
LogNormalDistributionModel,3.0,5.8,0.1,10.333,0,0,31,35.963,1550,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,34.187,1551,550,fcfs
CausalModel,6.0,20.4,0.7,18.333,0,0,55,35.963,1551,550,fcfs
AverageOperationModel,22.0,11.6,0.4,5.333,0,0,16,34.187,1551,550,fcfs
LogNormalDistributionModel,2.0,13.3,0.7,18.667,0,0,56,35.963,1551,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,35.52,1552,550,fcfs
CausalModel,5.0,19.6,0.3,22.0,0,0,66,35.963,1552,550,fcfs
