Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,overall_tool_changes,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,45.073,154,550,fcfs
CausalContinousModel,15.0,15.6,0.1,21.667,0,0,65,46.85,154,550,fcfs
AverageOperationModel,2.0,7.2,0.2,11.333,0,0,34,45.073,154,550,fcfs
LogNormalDistributionModel,4.0,12.3,0.1,22.667,0,0,68,45.96,154,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,45.073,155,550,fcfs
CausalContinousModel,19.0,15.2,0.2,18.333,0,0,55,47.74,155,550,fcfs
AverageOperationModel,7.0,9.8,0.2,21.667,0,0,65,45.517,155,550,fcfs
LogNormalDistributionModel,14.0,11.9,0.2,23.0,0,0,69,45.517,155,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,46.85,156,550,fcfs
CausalContinousModel,16.0,10.5,0.0,15.667,0,0,47,45.96,156,550,fcfs
AverageOperationModel,4.0,4.9,0.1,4.333,0,0,13,46.407,156,550,fcfs
LogNormalDistributionModel,4.0,7.3,0.2,14.333,0,0,43,44.627,156,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,46.407,157,550,fcfs
CausalContinousModel,11.0,11.7,0.0,23.667,0,0,71,47.74,157,550,fcfs
AverageOperationModel,12.0,7.5,0.1,10.333,0,0,31,46.407,157,550,fcfs
LogNormalDistributionModel,1.0,10.0,0.2,14.0,0,0,42,46.85,157,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,46.407,158,550,fcfs
CausalContinousModel,16.0,12.0,0.0,19.333,0,0,58,45.517,158,550,fcfs
AverageOperationModel,16.0,9.8,0.1,18.667,0,0,56,46.407,158,550,fcfs
LogNormalDistributionModel,4.0,14.6,0.1,24.667,0,0,74,45.517,158,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,44.627,159,550,fcfs
