Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,1.0,4776,1000,fcfs
AverageOperationModel,10.0,47.4,0.0,1.0,4776,1000,fcfs
LogNormalDistributionModel,3.0,25.5,0.1,1.0,4776,1000,fcfs
CausalModel,38.0,53.9,0.0,1.0,4776,1000,fcfs
CausalContinousModel,14.0,25.7,0.0,1.0,4776,1000,fcfs
TruthModel,0.0,0.0,0.0,1.0,4777,1000,fcfs
AverageOperationModel,41.0,88.9,0.1,1.0,4777,1000,fcfs
LogNormalDistributionModel,-11.0,30.3,0.1,1.0,4777,1000,fcfs
CausalModel,24.0,34.1,0.2,1.0,4777,1000,fcfs
CausalContinousModel,20.0,53.0,0.0,1.0,4777,1000,fcfs
TruthModel,0.0,0.0,0.0,1.0,4778,1000,fcfs
AverageOperationModel,-81.0,84.2,0.6,1.0,4778,1000,fcfs
LogNormalDistributionModel,-65.0,136.4,0.6,1.0,4778,1000,fcfs
CausalModel,33.0,133.2,0.2,1.0,4778,1000,fcfs
CausalContinousModel,-69.0,219.0,0.7,1.0,4778,1000,fcfs
TruthModel,0.0,0.0,0.0,1.0,4779,1000,fcfs
AverageOperationModel,22.0,122.0,0.1,1.0,4779,1000,fcfs
LogNormalDistributionModel,5.0,43.7,0.3,1.0,4779,1000,fcfs
CausalModel,-34.0,79.3,-0.1,1.0,4779,1000,fcfs
CausalContinousModel,-21.0,63.0,0.1,1.0,4779,1000,fcfs
TruthModel,0.0,0.0,0.0,1.0,4780,1000,fcfs
AverageOperationModel,20.0,52.4,0.0,1.0,4780,1000,fcfs
LogNormalDistributionModel,0.0,13.4,0.0,1.0,4780,1000,fcfs
CausalModel,-3.0,37.5,-0.0,1.0,4780,1000,fcfs
CausalContinousModel,-1.0,45.5,0.0,1.0,4780,1000,fcfs
TruthModel,0.0,0.0,0.0,1.0,4781,1000,fcfs
AverageOperationModel,23.0,98.1,0.0,1.0,4781,1000,fcfs
LogNormalDistributionModel,1.0,23.3,0.0,1.0,4781,1000,fcfs
CausalModel,25.0,42.0,0.2,1.0,4781,1000,fcfs
CausalContinousModel,92.0,74.7,0.3,1.0,4781,1000,fcfs
TruthModel,0.0,0.0,0.0,1.0,4782,1000,fcfs
AverageOperationModel,-0.0,27.9,-0.2,1.0,4782,1000,fcfs
LogNormalDistributionModel,0.0,14.6,-0.1,1.0,4782,1000,fcfs
CausalModel,-0.0,76.2,-0.2,1.0,4782,1000,fcfs
CausalContinousModel,-0.0,41.5,-0.2,1.0,4782,1000,fcfs
TruthModel,0.0,0.0,0.0,1.0,4783,1000,fcfs
AverageOperationModel,21.0,25.9,0.4,1.0,4783,1000,fcfs
LogNormalDistributionModel,40.0,39.8,0.7,1.0,4783,1000,fcfs
CausalModel,-16.0,53.1,0.2,1.0,4783,1000,fcfs
CausalContinousModel,1.0,46.1,0.2,1.0,4783,1000,fcfs
TruthModel,0.0,0.0,0.0,1.0,4784,1000,fcfs
AverageOperationModel,-2.0,46.7,0.0,1.0,4784,1000,fcfs
LogNormalDistributionModel,-7.0,29.8,0.0,1.0,4784,1000,fcfs
CausalModel,-24.0,50.9,0.1,1.0,4784,1000,fcfs
CausalContinousModel,-18.0,32.8,0.0,1.0,4784,1000,fcfs
TruthModel,0.0,0.0,0.0,1.0,4785,1000,fcfs
AverageOperationModel,21.0,32.2,0.2,1.0,4785,1000,fcfs
LogNormalDistributionModel,30.0,41.4,0.3,1.0,4785,1000,fcfs
CausalModel,-12.0,38.2,-0.1,1.0,4785,1000,fcfs
CausalContinousModel,8.0,21.5,0.2,1.0,4785,1000,fcfs
