Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,1.0,6709,2000,fcfs
AverageOperationModel,-33.0,45.4,0.1,1.0,6709,2000,fcfs
LogNormalDistributionModel,-63.0,60.3,-0.3,1.0,6709,2000,fcfs
CausalModel,-93.0,90.2,-0.3,0.999,6709,2000,fcfs
CausalContinousModel,-50.0,59.3,0.0,1.0,6709,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,6710,2000,fcfs
AverageOperationModel,-19.0,40.7,-0.1,1.0,6710,2000,fcfs
LogNormalDistributionModel,12.0,47.9,-0.1,1.0,6710,2000,fcfs
CausalModel,-8.0,38.3,-0.2,1.0,6710,2000,fcfs
CausalContinousModel,-25.0,86.6,-0.2,1.0,6710,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,6711,2000,fcfs
AverageOperationModel,-12.0,51.3,-0.1,1.0,6711,2000,fcfs
LogNormalDistributionModel,9.0,44.1,-0.1,1.0,6711,2000,fcfs
CausalModel,-21.0,55.0,-0.3,1.0,6711,2000,fcfs
CausalContinousModel,33.0,49.1,-0.1,1.0,6711,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,6712,2000,fcfs
AverageOperationModel,-29.0,51.2,0.2,1.0,6712,2000,fcfs
LogNormalDistributionModel,7.0,47.2,0.1,1.0,6712,2000,fcfs
CausalModel,57.0,43.9,0.3,1.0,6712,2000,fcfs
CausalContinousModel,5.0,21.0,0.2,1.0,6712,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,6713,2000,fcfs
AverageOperationModel,-87.0,74.0,0.2,1.0,6713,2000,fcfs
LogNormalDistributionModel,25.0,60.7,0.1,0.999,6713,2000,fcfs
CausalModel,41.0,79.8,0.3,0.999,6713,2000,fcfs
CausalContinousModel,-42.0,61.1,0.2,1.0,6713,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,6714,2000,fcfs
AverageOperationModel,-62.0,77.7,0.3,1.0,6714,2000,fcfs
LogNormalDistributionModel,-24.0,48.9,0.3,1.0,6714,2000,fcfs
CausalModel,36.0,104.6,0.1,0.999,6714,2000,fcfs
CausalContinousModel,-30.0,92.9,0.2,0.999,6714,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,6715,2000,fcfs
AverageOperationModel,-37.0,48.9,0.1,1.0,6715,2000,fcfs
LogNormalDistributionModel,-1.0,30.6,0.0,1.0,6715,2000,fcfs
CausalModel,18.0,61.5,0.1,1.0,6715,2000,fcfs
CausalContinousModel,-3.0,70.6,0.1,1.0,6715,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,6716,2000,fcfs
AverageOperationModel,-50.0,100.9,-0.1,0.999,6716,2000,fcfs
LogNormalDistributionModel,13.0,54.9,-0.1,1.0,6716,2000,fcfs
CausalModel,-26.0,61.5,-0.1,1.0,6716,2000,fcfs
CausalContinousModel,-19.0,31.9,0.0,1.0,6716,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,6717,2000,fcfs
AverageOperationModel,-65.0,77.8,0.1,1.0,6717,2000,fcfs
LogNormalDistributionModel,-14.0,33.2,0.2,1.0,6717,2000,fcfs
CausalModel,-18.0,38.1,0.0,1.0,6717,2000,fcfs
CausalContinousModel,-37.0,74.4,0.0,1.0,6717,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,6718,2000,fcfs
AverageOperationModel,-55.0,36.8,0.2,1.0,6718,2000,fcfs
LogNormalDistributionModel,57.0,86.8,0.4,1.0,6718,2000,fcfs
CausalModel,-4.0,65.6,0.0,1.0,6718,2000,fcfs
CausalContinousModel,-36.0,42.6,0.1,1.0,6718,2000,fcfs
