Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,7,550,fcfs
CausalContinousModel,-2.0,11.7,0.0,89.0,83,95,99,7,550,fcfs
AverageOperationModel,-2.0,6.9,0.0,81.5,77,91,85,7,550,fcfs
LogNormalDistributionModel,-1.0,16.0,0.2,94.5,101,92,99,7,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,8,550,fcfs
CausalContinousModel,-2.0,9.3,0.0,74.5,109,104,31,8,550,fcfs
AverageOperationModel,0.0,8.7,0.1,75.833,90,120,21,8,550,fcfs
LogNormalDistributionModel,2.0,14.9,0.1,85.667,124,130,22,8,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,9,550,fcfs
CausalContinousModel,1.0,13.3,0.2,113.0,157,105,122,9,550,fcfs
AverageOperationModel,-0.0,7.4,0.0,98.833,140,63,122,9,550,fcfs
LogNormalDistributionModel,-1.0,8.7,-0.1,104.833,141,90,120,9,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,10,550,fcfs
CausalContinousModel,-2.0,12.4,0.1,115.833,136,122,91,10,550,fcfs
AverageOperationModel,-4.0,8.7,0.1,107.833,128,111,94,10,550,fcfs
LogNormalDistributionModel,1.0,12.5,0.1,114.5,133,116,106,10,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,11,550,fcfs
CausalContinousModel,-2.0,12.3,0.0,74.167,140,76,22,11,550,fcfs
AverageOperationModel,1.0,8.8,0.0,63.333,117,57,27,11,550,fcfs
LogNormalDistributionModel,1.0,7.6,0.0,81.333,148,81,33,11,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,12,550,fcfs
CausalContinousModel,-2.0,10.7,-0.1,95.667,78,87,132,12,550,fcfs
AverageOperationModel,3.0,9.2,0.0,86.333,74,80,123,12,550,fcfs
LogNormalDistributionModel,-4.0,9.5,-0.1,91.833,81,91,123,12,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,13,550,fcfs
CausalContinousModel,1.0,8.7,-0.0,77.667,69,78,89,13,550,fcfs
AverageOperationModel,1.0,10.3,0.0,76.833,62,84,84,13,550,fcfs
LogNormalDistributionModel,-0.0,10.5,0.0,75.333,68,77,84,13,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,14,550,fcfs
CausalContinousModel,-0.0,16.5,0.0,92.5,48,162,75,14,550,fcfs
AverageOperationModel,-2.0,10.3,0.0,77.5,42,135,57,14,550,fcfs
LogNormalDistributionModel,-1.0,10.7,0.3,89.0,49,148,77,14,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,15,550,fcfs
CausalContinousModel,-1.0,13.0,0.1,116.0,160,90,126,15,550,fcfs
AverageOperationModel,-2.0,9.8,0.0,109.167,148,96,119,15,550,fcfs
LogNormalDistributionModel,-6.0,14.8,0.0,116.167,151,108,133,15,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,16,550,fcfs
CausalContinousModel,-2.0,7.0,-0.1,57.167,53,48,71,16,550,fcfs
AverageOperationModel,-0.0,6.1,-0.1,39.333,42,12,64,16,550,fcfs
LogNormalDistributionModel,-1.0,8.5,0.0,64.0,73,41,78,16,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,17,550,fcfs
CausalContinousModel,-2.0,10.0,0.0,105.0,69,78,178,17,550,fcfs
AverageOperationModel,-2.0,7.9,-0.1,94.167,60,70,157,17,550,fcfs
LogNormalDistributionModel,3.0,12.6,0.0,101.333,70,83,161,17,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,18,550,fcfs
CausalContinousModel,-1.0,8.7,0.0,94.333,49,128,108,18,550,fcfs
AverageOperationModel,-1.0,5.3,0.0,88.833,49,126,96,18,550,fcfs
LogNormalDistributionModel,2.0,8.1,0.1,88.5,52,110,103,18,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,19,550,fcfs
CausalContinousModel,-3.0,12.0,0.0,93.0,73,109,104,19,550,fcfs
AverageOperationModel,-1.0,3.9,0.0,75.333,66,100,67,19,550,fcfs
LogNormalDistributionModel,-1.0,6.0,0.0,82.5,70,101,77,19,550,fcfs
