Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,overall_tool_changes,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,0.0,0,0,0,45.927,154,550,fcfs
CausalModel,3.0,25.6,0.1,17.0,21,30,0,46.087,154,550,fcfs
AverageOperationModel,6.0,19.0,0.0,5.0,2,13,0,45.667,154,550,fcfs
LogNormalDistributionModel,3.0,7.2,0.1,5.333,2,14,0,45.667,154,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,47.587,155,550,fcfs
CausalModel,6.0,21.6,0.1,40.333,0,88,33,47.47,155,550,fcfs
AverageOperationModel,24.0,36.4,0.0,33.667,0,73,28,47.587,155,550,fcfs
LogNormalDistributionModel,3.0,12.2,0.0,26.333,0,54,25,48.16,155,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,55.013,156,550,fcfs
CausalModel,5.0,10.5,0.1,20.667,44,18,0,56.193,156,550,fcfs
AverageOperationModel,19.0,34.5,0.2,21.0,39,24,0,55.567,156,550,fcfs
LogNormalDistributionModel,3.0,12.6,0.3,28.333,58,27,0,55.973,156,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,40.107,157,550,fcfs
CausalModel,4.0,16.1,0.1,6.0,18,0,0,39.703,157,550,fcfs
AverageOperationModel,4.0,17.0,0.2,3.667,11,0,0,40.51,157,550,fcfs
LogNormalDistributionModel,6.0,9.1,0.2,5.333,16,0,0,39.703,157,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,48.937,158,550,fcfs
CausalModel,3.0,17.5,0.2,10.0,0,15,15,48.42,158,550,fcfs
AverageOperationModel,9.0,28.2,0.0,6.0,0,11,7,48.737,158,550,fcfs
LogNormalDistributionModel,1.0,8.1,0.0,5.0,0,11,4,48.177,158,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,37.09,159,550,fcfs
CausalModel,2.0,8.0,0.1,1.333,0,0,4,37.287,159,550,fcfs
AverageOperationModel,10.0,22.6,0.0,2.667,0,0,8,37.287,159,550,fcfs
LogNormalDistributionModel,6.0,8.7,0.0,1.333,0,0,4,37.287,159,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,49.567,160,550,fcfs
CausalModel,2.0,12.4,0.2,21.333,23,41,0,49.547,160,550,fcfs
AverageOperationModel,5.0,45.2,0.2,17.333,17,35,0,50.557,160,550,fcfs
LogNormalDistributionModel,9.0,19.7,0.2,9.667,8,21,0,50.887,160,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,48.297,161,550,fcfs
CausalModel,4.0,11.3,0.1,14.333,17,6,20,49.713,161,550,fcfs
AverageOperationModel,19.0,29.4,0.2,8.0,8,8,8,48.827,161,550,fcfs
LogNormalDistributionModel,2.0,17.1,0.2,15.667,26,4,17,49.17,161,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,59.923,162,550,fcfs
CausalModel,12.0,13.4,0.1,15.0,0,0,45,60.083,162,550,fcfs
AverageOperationModel,30.0,50.6,0.1,18.0,0,0,54,59.817,162,550,fcfs
LogNormalDistributionModel,5.0,20.7,0.1,21.333,0,0,64,59.71,162,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,45.653,163,550,fcfs
CausalModel,4.0,10.1,0.1,11.0,0,0,33,45.873,163,550,fcfs
AverageOperationModel,18.0,43.4,0.0,10.333,0,0,31,45.873,163,550,fcfs
LogNormalDistributionModel,2.0,8.3,0.0,13.333,0,0,40,46.09,163,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,49.89,164,550,fcfs
CausalModel,5.0,8.7,0.0,15.0,45,0,0,50.3,164,550,fcfs
AverageOperationModel,0.0,9.6,0.1,13.0,39,0,0,50.097,164,550,fcfs
LogNormalDistributionModel,2.0,16.6,0.0,14.667,44,0,0,50.3,164,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,49.203,165,550,fcfs
CausalModel,4.0,13.8,0.0,26.0,15,23,40,49.853,165,550,fcfs
AverageOperationModel,4.0,32.8,0.1,47.667,26,48,69,48.313,165,550,fcfs
LogNormalDistributionModel,1.0,8.1,0.2,25.667,11,29,37,49.907,165,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,59.28,166,550,fcfs
CausalModel,1.0,7.6,0.1,10.333,0,13,18,59.413,166,550,fcfs
AverageOperationModel,16.0,28.7,0.1,6.0,0,8,10,59.14,166,550,fcfs
LogNormalDistributionModel,6.0,11.5,0.1,17.0,0,28,23,58.9,166,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,57.053,167,550,fcfs
CausalModel,3.0,13.6,0.0,35.333,34,40,32,56.72,167,550,fcfs
AverageOperationModel,21.0,33.7,0.0,27.333,32,24,26,57.617,167,550,fcfs
LogNormalDistributionModel,1.0,10.8,0.1,45.0,58,40,37,56.327,167,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,44.923,168,550,fcfs
CausalModel,0.0,14.1,0.2,5.333,16,0,0,44.923,168,550,fcfs
