Model,makespan (over all),avg abs start deviation,avg duration deviation,kendall_sequ_sim,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4487,550,fcfs
CausalModel,62.0,81.8,0.0,1.0,0.872,1.0,1.0,1.0,4487,550,fcfs
AverageOperationModel,-24.0,35.8,0.0,1.0,0.859,1.0,1.0,1.0,4487,550,fcfs
LogNormalDistributionModel,-8.0,36.0,0.3,1.0,0.766,1.0,1.0,1.0,4487,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4488,550,fcfs
CausalModel,0.0,44.7,-0.2,1.0,0.731,1.0,1.0,1.0,4488,550,fcfs
AverageOperationModel,-15.0,37.9,0.1,1.0,0.728,1.0,1.0,1.0,4488,550,fcfs
LogNormalDistributionModel,13.0,33.8,0.0,1.0,0.709,1.0,0.999,1.0,4488,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4489,550,fcfs
CausalModel,-3.0,17.0,-0.2,1.0,0.724,0.999,1.0,1.0,4489,550,fcfs
AverageOperationModel,-28.0,28.1,-0.1,1.0,0.761,0.999,1.0,1.0,4489,550,fcfs
LogNormalDistributionModel,-48.0,28.1,-0.2,1.0,0.73,0.999,1.0,1.0,4489,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4490,550,fcfs
CausalModel,-48.0,48.3,-0.5,1.0,0.681,1.0,1.0,0.999,4490,550,fcfs
AverageOperationModel,-67.0,57.5,0.2,1.0,0.718,1.0,1.0,0.999,4490,550,fcfs
LogNormalDistributionModel,-0.0,33.3,-0.1,0.999,0.663,1.0,1.0,0.999,4490,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4491,550,fcfs
CausalModel,38.0,32.1,0.3,1.0,0.768,1.0,1.0,0.999,4491,550,fcfs
AverageOperationModel,-37.0,40.4,0.5,1.0,0.772,1.0,1.0,0.999,4491,550,fcfs
LogNormalDistributionModel,-3.0,14.9,0.6,1.0,0.799,1.0,1.0,0.999,4491,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4492,550,fcfs
CausalModel,-29.0,34.3,-0.1,1.0,0.7,1.0,1.0,0.999,4492,550,fcfs
AverageOperationModel,-36.0,48.5,0.2,1.0,0.714,0.999,1.0,1.0,4492,550,fcfs
LogNormalDistributionModel,17.0,45.6,0.1,1.0,0.616,1.0,1.0,0.999,4492,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4493,550,fcfs
CausalModel,-36.0,44.0,0.1,1.0,1.0,1.0,1.0,1.0,4493,550,fcfs
AverageOperationModel,-62.0,58.7,0.4,1.0,1.0,1.0,1.0,1.0,4493,550,fcfs
LogNormalDistributionModel,-30.0,26.4,0.6,1.0,1.0,1.0,1.0,1.0,4493,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4494,550,fcfs
CausalModel,-2.0,34.5,0.1,0.999,0.474,0.999,0.999,1.0,4494,550,fcfs
AverageOperationModel,-47.0,38.3,0.3,1.0,0.688,1.0,1.0,1.0,4494,550,fcfs
LogNormalDistributionModel,-3.0,27.6,0.6,0.999,0.508,1.0,0.999,1.0,4494,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4495,550,fcfs
CausalModel,18.0,24.6,-0.3,1.0,0.911,1.0,1.0,1.0,4495,550,fcfs
AverageOperationModel,-43.0,40.0,0.1,1.0,0.9,1.0,1.0,1.0,4495,550,fcfs
LogNormalDistributionModel,10.0,31.3,0.3,1.0,0.849,1.0,1.0,1.0,4495,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4496,550,fcfs
CausalModel,26.0,47.2,-0.3,0.999,0.557,1.0,0.997,0.999,4496,550,fcfs
AverageOperationModel,-27.0,18.9,0.0,1.0,0.752,1.0,1.0,1.0,4496,550,fcfs
LogNormalDistributionModel,-7.0,28.0,-0.3,0.999,0.56,1.0,0.999,0.999,4496,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4497,550,fcfs
CausalModel,12.0,53.0,-0.3,0.999,0.798,1.0,0.998,1.0,4497,550,fcfs
AverageOperationModel,-30.0,25.8,0.2,1.0,0.847,1.0,0.999,1.0,4497,550,fcfs
LogNormalDistributionModel,5.0,23.4,0.3,1.0,0.845,1.0,0.999,1.0,4497,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4498,550,fcfs
CausalModel,118.0,53.1,0.0,1.0,0.691,1.0,1.0,0.999,4498,550,fcfs
AverageOperationModel,8.0,23.3,0.7,1.0,0.702,1.0,1.0,1.0,4498,550,fcfs
LogNormalDistributionModel,-4.0,24.1,0.8,1.0,0.672,1.0,1.0,1.0,4498,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4499,550,fcfs
CausalModel,-7.0,32.5,-0.2,1.0,0.832,1.0,1.0,1.0,4499,550,fcfs
AverageOperationModel,1.0,28.7,-0.1,1.0,0.758,1.0,1.0,1.0,4499,550,fcfs
LogNormalDistributionModel,-2.0,24.9,-0.4,1.0,0.769,1.0,1.0,1.0,4499,550,fcfs
