Model,makespan (over all),avg abs start deviation,avg duration deviation,kendall_sequ_sim,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,7,550,fcfs
CausalContinousModel,-4.0,21.7,0.0,1.0,10.667,1.0,1.0,1.0,7,550,fcfs
AverageOperationModel,-3.0,6.7,0.0,1.0,2.667,1.0,1.0,1.0,7,550,fcfs
LogNormalDistributionModel,0.0,9.3,0.1,1.0,5.667,1.0,1.0,1.0,7,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,8,550,fcfs
CausalContinousModel,-4.0,12.7,-0.1,1.0,11.333,1.0,1.0,0.999,8,550,fcfs
AverageOperationModel,-5.0,9.5,0.0,1.0,12.667,1.0,1.0,1.0,8,550,fcfs
LogNormalDistributionModel,4.0,13.6,0.0,0.999,17.667,1.0,1.0,0.999,8,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,9,550,fcfs
CausalContinousModel,1.0,13.4,0.1,0.999,49.667,0.999,0.999,0.999,9,550,fcfs
AverageOperationModel,-8.0,10.3,-0.1,0.999,44.333,0.999,0.999,0.999,9,550,fcfs
LogNormalDistributionModel,-11.0,12.3,-0.2,1.0,31.333,1.0,1.0,1.0,9,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,10,550,fcfs
CausalContinousModel,-6.0,26.6,0.1,0.999,31.667,0.998,1.0,1.0,10,550,fcfs
AverageOperationModel,-8.0,8.2,0.1,1.0,26.0,0.999,1.0,1.0,10,550,fcfs
LogNormalDistributionModel,1.0,11.6,0.1,1.0,26.0,0.999,1.0,1.0,10,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,11,550,fcfs
CausalContinousModel,-4.0,13.9,0.0,1.0,12.0,1.0,0.999,1.0,11,550,fcfs
AverageOperationModel,-1.0,7.0,0.0,1.0,6.667,1.0,1.0,1.0,11,550,fcfs
LogNormalDistributionModel,-1.0,13.7,0.0,1.0,9.333,1.0,1.0,1.0,11,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,12,550,fcfs
CausalContinousModel,-5.0,12.1,-0.1,1.0,21.0,1.0,0.999,1.0,12,550,fcfs
AverageOperationModel,1.0,6.2,0.0,1.0,13.0,1.0,1.0,1.0,12,550,fcfs
LogNormalDistributionModel,-8.0,13.5,-0.1,1.0,18.333,1.0,0.999,1.0,12,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,13,550,fcfs
CausalContinousModel,3.0,16.9,0.0,1.0,3.333,1.0,1.0,1.0,13,550,fcfs
AverageOperationModel,3.0,10.1,0.0,1.0,3.333,1.0,1.0,1.0,13,550,fcfs
LogNormalDistributionModel,-0.0,11.2,0.0,1.0,4.667,1.0,1.0,1.0,13,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,14,550,fcfs
CausalContinousModel,4.0,13.9,0.0,1.0,11.0,1.0,1.0,0.999,14,550,fcfs
AverageOperationModel,-1.0,7.5,0.0,1.0,6.0,1.0,1.0,1.0,14,550,fcfs
LogNormalDistributionModel,-0.0,17.7,0.2,1.0,15.333,1.0,1.0,0.999,14,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,15,550,fcfs
CausalContinousModel,-4.0,18.7,0.1,0.999,44.333,0.999,0.999,1.0,15,550,fcfs
AverageOperationModel,-12.0,17.0,0.0,0.999,42.0,0.999,0.999,1.0,15,550,fcfs
LogNormalDistributionModel,-10.0,12.7,0.0,0.999,51.333,0.998,0.999,1.0,15,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,16,550,fcfs
CausalContinousModel,2.0,9.6,-0.1,1.0,0.0,1.0,1.0,1.0,16,550,fcfs
AverageOperationModel,0.0,8.7,-0.1,1.0,0.0,1.0,1.0,1.0,16,550,fcfs
LogNormalDistributionModel,0.0,7.8,0.0,1.0,0.0,1.0,1.0,1.0,16,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,17,550,fcfs
CausalContinousModel,3.0,7.1,0.0,1.0,14.667,1.0,1.0,1.0,17,550,fcfs
AverageOperationModel,-6.0,10.8,-0.1,1.0,18.0,1.0,1.0,1.0,17,550,fcfs
LogNormalDistributionModel,12.0,21.8,0.0,1.0,21.333,0.999,1.0,1.0,17,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,18,550,fcfs
CausalContinousModel,-4.0,12.4,0.0,1.0,5.667,1.0,1.0,1.0,18,550,fcfs
AverageOperationModel,0.0,10.6,0.0,1.0,5.333,1.0,1.0,1.0,18,550,fcfs
LogNormalDistributionModel,7.0,12.2,0.1,1.0,7.0,1.0,1.0,1.0,18,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,19,550,fcfs
CausalContinousModel,-1.0,11.1,-0.0,1.0,16.333,1.0,0.999,1.0,19,550,fcfs
AverageOperationModel,-2.0,12.8,0.0,1.0,13.667,1.0,0.999,1.0,19,550,fcfs
LogNormalDistributionModel,5.0,16.3,0.0,0.999,20.667,1.0,0.998,1.0,19,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,20,550,fcfs
CausalContinousModel,-16.0,20.3,0.0,1.0,27.0,0.999,1.0,1.0,20,550,fcfs
AverageOperationModel,-9.0,12.3,0.0,1.0,20.333,1.0,1.0,1.0,20,550,fcfs
LogNormalDistributionModel,-5.0,8.4,0.1,1.0,18.667,1.0,1.0,1.0,20,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,21,550,fcfs
CausalContinousModel,-2.0,13.1,0.1,0.999,31.0,1.0,0.999,0.999,21,550,fcfs
AverageOperationModel,4.0,18.4,0.1,1.0,18.667,1.0,1.0,1.0,21,550,fcfs
LogNormalDistributionModel,-10.0,13.8,0.1,0.999,30.667,1.0,0.999,0.999,21,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,22,550,fcfs
CausalContinousModel,-1.0,15.6,-0.2,0.999,39.667,0.998,0.999,1.0,22,550,fcfs
AverageOperationModel,-0.0,8.5,-0.1,1.0,26.333,0.999,1.0,1.0,22,550,fcfs
LogNormalDistributionModel,-13.0,14.2,-0.3,1.0,28.333,0.999,1.0,1.0,22,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,23,550,fcfs
CausalContinousModel,3.0,9.2,0.0,1.0,27.333,1.0,1.0,0.999,23,550,fcfs
AverageOperationModel,-7.0,8.6,-0.1,1.0,18.0,1.0,1.0,1.0,23,550,fcfs
LogNormalDistributionModel,-7.0,21.2,0.0,0.999,35.333,0.999,1.0,0.999,23,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,24,550,fcfs
CausalContinousModel,-2.0,10.4,-0.0,1.0,15.0,1.0,1.0,1.0,24,550,fcfs
AverageOperationModel,5.0,11.3,0.0,1.0,14.667,1.0,1.0,1.0,24,550,fcfs
LogNormalDistributionModel,-1.0,7.3,0.0,1.0,11.667,1.0,1.0,1.0,24,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,25,550,fcfs
CausalContinousModel,0.0,11.8,0.0,0.999,22.333,0.999,0.999,1.0,25,550,fcfs
AverageOperationModel,5.0,10.9,0.1,1.0,20.333,1.0,0.999,1.0,25,550,fcfs
LogNormalDistributionModel,4.0,19.1,0.2,0.999,22.667,0.999,0.999,1.0,25,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,26,550,fcfs
CausalContinousModel,6.0,23.7,0.1,1.0,0.0,1.0,1.0,1.0,26,550,fcfs
AverageOperationModel,2.0,12.4,0.0,1.0,0.0,1.0,1.0,1.0,26,550,fcfs
LogNormalDistributionModel,-2.0,10.2,0.0,1.0,0.0,1.0,1.0,1.0,26,550,fcfs
