Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,1.0,8584,1000,dynamic
AverageOperationModel,-21.0,132.4,-0.2,1.0,8584,1000,dynamic
LogNormalDistributionModel,7.0,33.3,-0.2,1.0,8584,1000,dynamic
CausalModel,-2.0,82.2,-0.3,1.0,8584,1000,dynamic
CausalContinousModel,-2.0,70.1,-0.2,1.0,8584,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,8585,1000,dynamic
AverageOperationModel,0.0,36.5,0.2,1.0,8585,1000,dynamic
LogNormalDistributionModel,0.0,26.2,0.1,1.0,8585,1000,dynamic
CausalModel,0.0,45.1,0.2,1.0,8585,1000,dynamic
CausalContinousModel,0.0,34.8,0.4,1.0,8585,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,8586,1000,dynamic
AverageOperationModel,7.0,56.6,0.0,1.0,8586,1000,dynamic
LogNormalDistributionModel,49.0,59.3,0.0,1.0,8586,1000,dynamic
CausalModel,-49.0,43.7,0.0,1.0,8586,1000,dynamic
CausalContinousModel,-29.0,28.0,-0.3,1.0,8586,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,8587,1000,dynamic
AverageOperationModel,6.0,52.0,0.0,1.0,8587,1000,dynamic
LogNormalDistributionModel,-16.0,38.1,-0.2,1.0,8587,1000,dynamic
CausalModel,-6.0,17.8,0.2,1.0,8587,1000,dynamic
CausalContinousModel,-19.0,93.1,-0.2,1.0,8587,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,8588,1000,dynamic
AverageOperationModel,0.0,35.2,0.1,1.0,8588,1000,dynamic
LogNormalDistributionModel,-0.0,22.7,0.1,1.0,8588,1000,dynamic
CausalModel,0.0,17.5,0.1,1.0,8588,1000,dynamic
CausalContinousModel,0.0,17.3,0.0,1.0,8588,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,8589,1000,dynamic
AverageOperationModel,138.0,103.9,0.1,1.0,8589,1000,dynamic
LogNormalDistributionModel,-4.0,43.3,0.0,1.0,8589,1000,dynamic
CausalModel,-25.0,52.4,0.2,1.0,8589,1000,dynamic
CausalContinousModel,-35.0,91.4,0.1,1.0,8589,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,8590,1000,dynamic
AverageOperationModel,2.0,21.0,-0.2,1.0,8590,1000,dynamic
LogNormalDistributionModel,15.0,20.4,-0.2,1.0,8590,1000,dynamic
CausalModel,-44.0,37.3,-0.3,1.0,8590,1000,dynamic
CausalContinousModel,-7.0,13.7,-0.2,1.0,8590,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,8591,1000,dynamic
AverageOperationModel,34.0,42.9,0.0,1.0,8591,1000,dynamic
LogNormalDistributionModel,-4.0,18.9,0.1,1.0,8591,1000,dynamic
CausalModel,-5.0,27.6,-0.0,1.0,8591,1000,dynamic
CausalContinousModel,7.0,17.7,0.1,1.0,8591,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,8592,1000,dynamic
AverageOperationModel,19.0,28.6,0.2,1.0,8592,1000,dynamic
LogNormalDistributionModel,21.0,29.3,0.2,1.0,8592,1000,dynamic
CausalModel,23.0,31.4,0.2,1.0,8592,1000,dynamic
CausalContinousModel,15.0,54.4,0.1,1.0,8592,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,8593,1000,dynamic
AverageOperationModel,-0.0,52.1,0.0,1.0,8593,1000,dynamic
LogNormalDistributionModel,-0.0,23.0,-0.1,1.0,8593,1000,dynamic
CausalModel,0.0,14.4,-0.0,1.0,8593,1000,dynamic
CausalContinousModel,-0.0,26.2,-0.0,1.0,8593,1000,dynamic
