Model,makespan (over all),avg abs start deviation,avg duration deviation,kendall_sequ_sim,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthContinousSmallModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,554,100,fcfs
CausalContinousSmallModel,-0.0,12.4,0.1,0.998,0.587,0.999,0.998,0.998,554,100,fcfs
AverageOperationModel,5.0,8.5,0.1,0.999,0.628,0.999,0.999,0.999,554,100,fcfs
LogNormalDistributionModel,6.0,15.3,-0.3,0.998,0.559,0.999,0.998,0.996,554,100,fcfs
TruthContinousSmallModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,554,100,fcfs
CausalContinousSmallModel,-0.0,12.4,0.1,0.998,0.587,0.999,0.998,0.998,554,100,fcfs
AverageOperationModel,5.0,8.5,0.1,0.999,0.628,0.999,0.999,0.999,554,100,fcfs
LogNormalDistributionModel,6.0,15.3,-0.3,0.998,0.559,0.999,0.998,0.996,554,100,fcfs
TruthContinousSmallModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,554,100,fcfs
CausalContinousSmallModel,-0.0,12.4,0.1,0.998,0.587,0.999,0.998,0.998,554,100,fcfs
AverageOperationModel,5.0,8.5,0.1,0.999,0.628,0.999,0.999,0.999,554,100,fcfs
LogNormalDistributionModel,6.0,15.3,-0.3,0.998,0.559,0.999,0.998,0.996,554,100,fcfs
