Model,makespan (over all),avg abs start deviation,avg duration deviation,kendall_sequ_sim,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4487,550,fcfs
CausalModel,-4.0,15.7,-0.3,1.0,0.787,0.999,1.0,1.0,4487,550,fcfs
AverageOperationModel,-4.0,7.6,-0.2,1.0,0.867,0.999,1.0,1.0,4487,550,fcfs
LogNormalDistributionModel,-7.0,19.6,-0.1,1.0,0.791,0.999,1.0,1.0,4487,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4488,550,fcfs
CausalModel,21.0,22.1,0.3,1.0,0.796,1.0,1.0,0.999,4488,550,fcfs
AverageOperationModel,-9.0,13.5,0.3,1.0,0.85,1.0,1.0,1.0,4488,550,fcfs
LogNormalDistributionModel,8.0,21.7,0.3,1.0,0.781,1.0,1.0,0.999,4488,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4489,550,fcfs
CausalModel,-2.0,8.5,-0.1,1.0,0.978,1.0,1.0,1.0,4489,550,fcfs
AverageOperationModel,-6.0,15.7,0.0,1.0,0.983,1.0,1.0,1.0,4489,550,fcfs
LogNormalDistributionModel,1.0,26.2,0.2,1.0,0.964,1.0,1.0,1.0,4489,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4490,550,fcfs
CausalModel,-7.0,23.2,-0.1,1.0,0.84,1.0,1.0,0.999,4490,550,fcfs
AverageOperationModel,-4.0,13.5,0.0,1.0,0.934,1.0,1.0,1.0,4490,550,fcfs
LogNormalDistributionModel,3.0,13.9,0.1,1.0,0.915,1.0,1.0,1.0,4490,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4491,550,fcfs
CausalModel,0.0,19.5,0.2,0.999,0.704,0.999,1.0,0.999,4491,550,fcfs
AverageOperationModel,5.0,15.9,0.1,0.999,0.741,0.999,1.0,0.999,4491,550,fcfs
LogNormalDistributionModel,-2.0,14.2,0.2,1.0,0.857,0.999,1.0,1.0,4491,550,fcfs
TruthModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4492,550,fcfs
CausalModel,2.0,13.4,-0.1,0.999,0.707,0.999,1.0,0.999,4492,550,fcfs
AverageOperationModel,-0.0,13.1,0.3,1.0,0.901,1.0,1.0,1.0,4492,550,fcfs
