Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,overall_tool_changes,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,0.0,0,0,0,46.527,154,550,fcfs
CausalModel,7.0,12.7,0.2,9.0,13,14,0,46.44,154,550,fcfs
AverageOperationModel,10.0,23.5,0.1,4.333,8,5,0,46.43,154,550,fcfs
LogNormalDistributionModel,5.0,9.3,0.1,13.333,17,23,0,46.087,154,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,48.103,155,550,fcfs
CausalModel,6.0,17.4,0.1,35.0,0,74,31,48.04,155,550,fcfs
AverageOperationModel,17.0,41.9,0.0,25.333,0,51,25,47.643,155,550,fcfs
LogNormalDistributionModel,0.0,15.9,0.1,38.667,0,86,30,47.127,155,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,55.717,156,550,fcfs
CausalModel,13.0,18.7,0.2,35.0,77,28,0,56.567,156,550,fcfs
AverageOperationModel,21.0,28.6,0.2,21.667,51,14,0,55.94,156,550,fcfs
LogNormalDistributionModel,7.0,9.0,0.4,17.667,26,27,0,55.383,156,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,40.107,157,550,fcfs
CausalModel,0.0,19.2,0.1,4.333,13,0,0,40.51,157,550,fcfs
AverageOperationModel,10.0,27.2,0.2,7.0,21,0,0,40.31,157,550,fcfs
LogNormalDistributionModel,3.0,7.3,0.2,2.667,8,0,0,40.31,157,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,48.177,158,550,fcfs
CausalModel,4.0,15.6,0.2,7.333,0,10,12,47.817,158,550,fcfs
AverageOperationModel,7.0,16.5,0.0,6.667,0,8,12,48.337,158,550,fcfs
LogNormalDistributionModel,1.0,5.5,0.0,2.0,0,2,4,48.537,158,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,37.09,159,550,fcfs
CausalModel,2.0,8.8,0.1,1.333,0,0,4,36.893,159,550,fcfs
AverageOperationModel,2.0,24.6,0.0,3.0,0,0,9,36.697,159,550,fcfs
LogNormalDistributionModel,3.0,9.5,0.0,1.333,0,0,4,36.893,159,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,49.567,160,550,fcfs
CausalModel,2.0,11.9,0.2,21.333,23,41,0,49.547,160,550,fcfs
AverageOperationModel,7.0,42.3,0.2,17.333,17,35,0,50.557,160,550,fcfs
LogNormalDistributionModel,2.0,9.5,0.2,11.0,12,21,0,50.557,160,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,49.527,161,550,fcfs
CausalModel,3.0,11.1,0.1,16.0,25,7,16,48.973,161,550,fcfs
AverageOperationModel,16.0,29.5,0.1,18.0,33,6,15,49.7,161,550,fcfs
LogNormalDistributionModel,1.0,12.2,0.0,19.333,32,6,20,49.44,161,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,59.493,162,550,fcfs
CausalModel,15.0,18.8,0.1,18.667,0,0,56,60.03,162,550,fcfs
AverageOperationModel,30.0,61.6,0.1,12.333,0,0,37,59.6,162,550,fcfs
LogNormalDistributionModel,12.0,24.1,0.0,12.333,0,0,37,59.87,162,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,45.873,163,550,fcfs
CausalModel,5.0,17.6,0.1,16.0,0,0,48,45.873,163,550,fcfs
AverageOperationModel,10.0,31.3,0.0,10.333,0,0,31,46.09,163,550,fcfs
LogNormalDistributionModel,1.0,12.2,0.0,19.667,0,0,59,46.09,163,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,49.89,164,550,fcfs
CausalModel,0.0,8.0,0.1,18.667,56,0,0,50.097,164,550,fcfs
AverageOperationModel,12.0,19.0,0.0,11.333,34,0,0,50.713,164,550,fcfs
LogNormalDistributionModel,2.0,10.7,0.1,12.0,36,0,0,50.3,164,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,50.397,165,550,fcfs
CausalModel,1.0,10.1,0.0,30.667,17,39,36,49.34,165,550,fcfs
AverageOperationModel,27.0,35.5,0.1,27.667,15,34,34,49.56,165,550,fcfs
LogNormalDistributionModel,3.0,8.5,0.2,28.667,17,36,33,49.603,165,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,59.28,166,550,fcfs
CausalModel,9.0,16.9,0.1,21.333,0,31,33,59.903,166,550,fcfs
AverageOperationModel,12.0,21.1,0.1,20.333,0,23,38,59.647,166,550,fcfs
LogNormalDistributionModel,4.0,9.2,0.2,15.333,0,20,26,58.9,166,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,57.037,167,550,fcfs
CausalModel,5.0,8.1,0.0,33.667,38,28,35,56.363,167,550,fcfs
AverageOperationModel,22.0,27.2,0.0,43.667,47,43,41,55.807,167,550,fcfs
LogNormalDistributionModel,2.0,7.4,0.1,34.0,48,27,27,55.5,167,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,44.66,168,550,fcfs
CausalModel,2.0,9.0,0.2,1.333,4,0,0,44.66,168,550,fcfs
AverageOperationModel,4.0,27.2,0.2,4.0,12,0,0,44.923,168,550,fcfs
LogNormalDistributionModel,2.0,6.3,0.2,6.0,18,0,0,44.923,168,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,55.127,169,550,fcfs
CausalModel,1.0,8.1,0.1,13.333,38,0,2,55.127,169,550,fcfs
AverageOperationModel,2.0,23.0,0.1,14.667,36,0,8,54.99,169,550,fcfs
LogNormalDistributionModel,1.0,10.0,0.1,6.0,12,0,6,55.953,169,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,41.413,170,550,fcfs
CausalModel,9.0,13.0,0.3,23.667,11,50,10,41.733,170,550,fcfs
AverageOperationModel,9.0,35.4,0.1,14.0,4,33,5,41.917,170,550,fcfs
LogNormalDistributionModel,3.0,18.0,0.2,14.667,8,30,6,41.733,170,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,42.0,171,550,fcfs
CausalModel,13.0,27.5,0.1,50.333,52,31,68,42.557,171,550,fcfs
AverageOperationModel,26.0,34.4,0.1,22.333,20,10,37,42.963,171,550,fcfs
LogNormalDistributionModel,7.0,10.1,0.1,27.0,27,16,38,42.707,171,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,43.44,172,550,fcfs
CausalModel,13.0,30.7,0.3,24.667,20,25,29,43.583,172,550,fcfs
AverageOperationModel,14.0,30.5,0.1,17.333,37,2,13,43.687,172,550,fcfs
LogNormalDistributionModel,6.0,9.5,0.1,22.667,38,12,18,43.12,172,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,46.257,173,550,fcfs
CausalModel,1.0,15.6,0.1,21.667,26,0,39,45.827,173,550,fcfs
AverageOperationModel,1.0,21.3,0.1,18.333,18,0,37,46.247,173,550,fcfs
LogNormalDistributionModel,4.0,5.6,0.1,7.667,8,0,15,46.117,173,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,49.117,174,550,fcfs
CausalModel,10.0,26.3,0.0,39.333,49,34,35,48.783,174,550,fcfs
AverageOperationModel,5.0,21.3,0.1,30.667,44,15,33,48.18,174,550,fcfs
LogNormalDistributionModel,3.0,6.6,0.1,16.0,23,13,12,48.647,174,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,41.077,175,550,fcfs
CausalModel,1.0,8.0,0.1,5.667,0,17,0,40.737,175,550,fcfs
AverageOperationModel,6.0,17.8,0.1,10.333,0,31,0,40.85,175,550,fcfs
LogNormalDistributionModel,2.0,6.3,0.1,5.0,0,15,0,40.737,175,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,46.82,176,550,fcfs
CausalModel,1.0,19.1,0.0,4.0,0,0,12,46.553,176,550,fcfs
AverageOperationModel,7.0,14.7,0.0,0.667,0,0,2,46.553,176,550,fcfs
LogNormalDistributionModel,5.0,14.0,0.1,6.0,0,0,18,46.82,176,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,56.16,177,550,fcfs
CausalModel,2.0,12.2,0.1,20.667,2,60,0,56.387,177,550,fcfs
AverageOperationModel,18.0,22.3,0.1,27.667,9,74,0,57.243,177,550,fcfs
LogNormalDistributionModel,0.0,6.2,0.0,11.667,4,31,0,56.673,177,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,49.047,178,550,fcfs
CausalModel,5.0,17.7,0.0,23.333,28,42,0,48.447,178,550,fcfs
AverageOperationModel,17.0,26.5,0.2,29.667,16,73,0,48.663,178,550,fcfs
LogNormalDistributionModel,1.0,14.2,0.2,24.0,12,60,0,49.437,178,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,50.61,179,550,fcfs
CausalModel,9.0,15.8,0.2,12.667,23,0,15,50.43,179,550,fcfs
AverageOperationModel,18.0,29.7,0.0,5.333,10,0,6,50.22,179,550,fcfs
LogNormalDistributionModel,12.0,15.7,0.0,11.333,19,0,15,50.61,179,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,56.527,180,550,fcfs
CausalModel,7.0,10.3,0.0,9.667,0,5,24,56.813,180,550,fcfs
AverageOperationModel,22.0,34.6,0.1,9.0,0,0,27,56.923,180,550,fcfs
LogNormalDistributionModel,1.0,10.1,0.1,6.667,0,4,16,56.417,180,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,59.53,181,550,fcfs
CausalModel,3.0,9.6,0.0,28.0,36,16,32,59.173,181,550,fcfs
AverageOperationModel,19.0,32.2,0.0,22.0,25,14,27,60.25,181,550,fcfs
LogNormalDistributionModel,2.0,8.7,0.1,26.333,33,17,29,58.51,181,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,58.643,182,550,fcfs
CausalModel,1.0,12.9,0.0,25.667,0,0,77,58.557,182,550,fcfs
AverageOperationModel,18.0,26.2,0.0,15.667,0,0,47,58.813,182,550,fcfs
LogNormalDistributionModel,3.0,12.4,0.1,29.0,0,0,87,58.73,182,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,48.643,183,550,fcfs
CausalModel,3.0,12.2,0.0,11.0,19,0,14,48.073,183,550,fcfs
AverageOperationModel,9.0,29.6,0.1,7.667,19,0,4,48.263,183,550,fcfs
LogNormalDistributionModel,1.0,15.8,0.2,9.333,14,0,14,48.66,183,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,44.2,184,550,fcfs
CausalModel,6.0,9.2,0.0,13.333,11,13,16,43.81,184,550,fcfs
AverageOperationModel,18.0,35.1,0.1,6.667,5,4,11,44.207,184,550,fcfs
LogNormalDistributionModel,5.0,8.6,0.1,10.667,0,15,17,43.613,184,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,39.873,185,550,fcfs
CausalModel,3.0,11.6,0.0,19.0,18,39,0,39.767,185,550,fcfs
AverageOperationModel,9.0,19.1,0.0,17.333,20,32,0,39.873,185,550,fcfs
LogNormalDistributionModel,1.0,13.1,0.1,18.667,20,36,0,39.55,185,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,47.73,186,550,fcfs
CausalModel,2.0,19.1,0.1,25.0,29,0,46,47.803,186,550,fcfs
AverageOperationModel,8.0,16.3,0.1,16.333,15,0,34,48.283,186,550,fcfs
LogNormalDistributionModel,3.0,10.3,0.1,23.667,26,0,45,47.803,186,550,fcfs
TruthModel,0.0,0.0,0.0,0.0,0,0,0,39.41,187,550,fcfs
CausalModel,1.0,13.3,0.1,0.0,0,0,0,39.41,187,550,fcfs
