job_id,operation_id,machine,start_time,duration,plan_duration,end_time
p25,2,a2_0,2835.0,54.0,54.0,2889.0
p25,3,a1_0,2334.0,18.0,18.0,2352.0
p25,4,a3_0,2889.0,18.0,18.0,2907.0
p26,1,a1_0,2352.0,30.0,36.0,2382.0
p26,2,a2_0,2889.0,45.0,54.0,2934.0
p26,3,a1_0,2382.0,18.0,15.0,2400.0
p26,4,a3_0,2937.0,15.0,15.0,2952.0
p27,1,a1_0,2400.0,30.0,30.0,2430.0
p27,2,a2_0,2937.0,45.0,54.0,2982.0
p27,3,a1_0,2430.0,18.0,18.0,2448.0
p27,4,a3_0,2991.0,15.0,18.0,3006.0
p28,1,a1_0,2448.0,18.0,18.0,2466.0
p28,2,a4_0,1737.0,45.0,54.0,1782.0
p28,3,a3_0,2475.0,18.0,15.0,2493.0
p28,4,a2_0,2991.0,36.0,36.0,3027.0
p28,5,a4_0,4218.0,15.0,18.0,4233.0
p29,1,a1_0,2466.0,15.0,18.0,2481.0
p29,2,a4_0,1782.0,45.0,54.0,1827.0
p29,3,a3_0,2511.0,15.0,15.0,2526.0
p29,4,a2_0,3027.0,36.0,36.0,3063.0
p29,5,a4_0,4236.0,15.0,15.0,4251.0
p30,1,a1_0,2481.0,36.0,30.0,2517.0
p30,2,a2_0,3063.0,45.0,54.0,3108.0
p30,3,a1_0,2517.0,15.0,18.0,2532.0
p30,4,a3_0,3117.0,18.0,15.0,3135.0
p31,1,a1_0,2568.0,15.0,18.0,2583.0
p31,2,a4_0,1836.0,45.0,54.0,1881.0
p31,3,a3_0,2619.0,18.0,18.0,2637.0
p31,4,a2_0,3117.0,30.0,36.0,3147.0
p31,5,a4_0,4251.0,15.0,18.0,4266.0
p32,1,a1_0,2583.0,30.0,36.0,2613.0
p32,2,a2_0,3207.0,54.0,45.0,3261.0
p32,3,a1_0,2613.0,15.0,18.0,2628.0
p32,4,a3_0,3261.0,15.0,15.0,3276.0
p33,1,a1_0,2646.0,30.0,36.0,2676.0
p33,2,a2_0,3261.0,54.0,54.0,3315.0
p33,3,a1_0,2679.0,15.0,15.0,2694.0
p33,4,a3_0,3315.0,18.0,18.0,3333.0
p34,1,a1_0,2694.0,36.0,36.0,2730.0
p34,2,a2_0,3315.0,45.0,45.0,3360.0
p34,3,a1_0,2730.0,18.0,18.0,2748.0
p34,4,a3_0,3360.0,18.0,15.0,3378.0
p35,1,a1_0,2748.0,15.0,15.0,2763.0
p35,2,a4_0,1890.0,45.0,45.0,1935.0
p35,3,a3_0,2781.0,18.0,18.0,2799.0
p35,4,a2_0,3360.0,30.0,30.0,3390.0
p35,5,a4_0,4269.0,15.0,15.0,4284.0
p36,1,a1_0,2763.0,36.0,36.0,2799.0
p36,2,a2_0,3390.0,54.0,54.0,3444.0
p36,3,a1_0,2799.0,18.0,18.0,2817.0
p36,4,a3_0,3444.0,18.0,18.0,3462.0
p37,1,a1_0,2817.0,30.0,36.0,2847.0
p37,2,a2_0,3444.0,45.0,45.0,3489.0
p37,3,a1_0,2853.0,18.0,15.0,2871.0
p37,4,a3_0,3489.0,18.0,15.0,3507.0
p38,1,a1_0,2871.0,36.0,36.0,2907.0
p38,2,a2_0,3489.0,54.0,45.0,3543.0
p38,3,a1_0,2907.0,18.0,18.0,2925.0
p38,4,a3_0,3543.0,15.0,18.0,3558.0
p39,1,a1_0,2925.0,18.0,18.0,2943.0
p39,2,a4_0,1935.0,45.0,54.0,1980.0
p39,3,a3_0,2952.0,18.0,15.0,2970.0
p39,4,a2_0,3543.0,30.0,36.0,3573.0
p39,5,a4_0,4284.0,15.0,18.0,4299.0
p40,1,a1_0,2943.0,15.0,18.0,2958.0
p40,2,a4_0,1989.0,54.0,54.0,2043.0
p40,3,a3_0,3009.0,18.0,18.0,3027.0
