job_id,product_type,operation_id,machine,start_time,duration,plan_duration,end_time
job100,p2,1,a1_0,0.0,15,20.77345331526514,20.77345331526514
job100,p2,2,a4_0,0.0,45,14.425552408177229,14.425552408177229
job100,p2,4,a2_0,0.0,30,163.65101626273642,163.65101626273642
job10,p1,1,a1_0,20.77345331526514,30,17.019853988542156,37.793307303807296
job101,p2,1,a1_0,37.793307303807296,15,20.432109073056136,58.225416376863436
job101,p2,2,a4_0,14.425552408177229,45,47.56833223544206,61.99388464361928
job101,p2,4,a2_0,163.65101626273642,30,0.7145893103010378,164.36560557303747
job10,p1,2,a2_0,164.36560557303747,45,3.923294092436202,168.28889966547368
job102,p2,1,a1_0,58.225416376863436,15,15.512941260036305,73.73835763689974
job102,p2,2,a4_0,61.99388464361928,45,2.57917220774539,64.57305685136467
job102,p2,4,a2_0,168.28889966547368,30,4.67137793635533,172.960277601829
job10,p1,3,a1_0,73.73835763689974,15,41.669608972192776,115.40796660909251
job103,p1,1,a1_0,115.40796660909251,30,23.466625078160792,138.87459168725331
job103,p1,2,a2_0,172.960277601829,45,25.564803231540893,198.52508083336988
job103,p1,3,a1_0,138.87459168725331,15,19.722079215660248,158.59667090291356
job104,p2,1,a1_0,158.59667090291356,15,10.491349150808965,169.08802005372252
job104,p2,2,a4_0,64.57305685136467,45,42.90361613051952,107.47667298188418
job104,p2,4,a2_0,198.52508083336988,30,87.830481100813,286.3555619341829
job105,p2,1,a1_0,169.08802005372252,15,13.282953007803036,182.37097306152555
job105,p2,2,a4_0,107.47667298188418,45,23.447079276128086,130.92375225801226
job105,p2,4,a2_0,286.3555619341829,30,57.35655984993234,343.71212178411525
job106,p2,1,a1_0,182.37097306152555,15,13.161801402082258,195.5327744636078
job106,p2,2,a4_0,130.92375225801226,45,123.99433988133327,254.91809213934553
job106,p2,4,a2_0,343.71212178411525,30,71.73787811318483,415.4499998973001
job107,p1,1,a1_0,195.5327744636078,30,74.20146548297949,269.7342399465873
job107,p1,2,a2_0,415.4499998973001,45,121.64761998151663,537.0976198788167
job107,p1,3,a1_0,269.7342399465873,15,8.878812232342552,278.6130521789299
job108,p2,1,a1_0,278.6130521789299,15,4.093314371094997,282.7063665500249
job108,p2,2,a4_0,254.91809213934553,45,25.76896556563947,280.687057704985
