job_id,product_type,operation_id,machine,tool,start_time,duration,plan_duration,end_time
job3,p3,1,a1_0,2,0,27,20.0,27
job3,p3,2,a3_0,2,27,14,10.0,41
job4,p2,1,a2_0,1,0,11,20.0,11
job4,p2,2,a3_0,2,11,12,10.0,23
job5,p3,1,a1_0,2,27,30,20.0,57
job5,p3,2,a3_0,2,57,7,10.0,64
job6,p4,1,a2_0,2,11,29,20.0,40
job6,p4,2,a3_0,1,41,7,10.0,48
job7,p3,1,a1_0,2,57,22,20.0,79
job7,p3,2,a3_0,2,79,6,10.0,85
job8,p1,1,a1_0,1,79,26,20.0,105
job8,p1,2,a3_0,1,110,11,10.0,121
job9,p1,1,a1_0,1,105,25,20.0,130
job9,p1,2,a3_0,1,132,6,10.0,138
job10,p2,1,a2_0,1,40,20,20.0,60
job10,p2,2,a3_0,2,64,8,10.0,72
job11,p4,1,a2_0,2,60,27,20.0,87
job11,p4,2,a3_0,1,87,13,10.0,100
job12,p3,1,a1_0,2,130,15,20.0,145
job12,p3,2,a3_0,2,150,13,10.0,163
job13,p3,1,a1_0,2,145,21,20.0,166
job13,p3,2,a3_0,2,175,14,10.0,189
job14,p3,1,a1_0,2,166,29,20.0,195
job14,p3,2,a3_0,2,206,11,10.0,217
job15,p1,1,a1_0,1,195,15,20.0,210
job15,p1,2,a3_0,1,224,5,10.0,229
job16,p3,1,a1_0,2,210,24,20.0,234
job16,p3,2,a3_0,2,246,13,10.0,259
job17,p3,1,a1_0,2,234,22,20.0,256
job17,p3,2,a3_0,2,266,13,10.0,279
job18,p1,1,a1_0,1,256,13,20.0,269
job18,p1,2,a3_0,1,287,13,10.0,300
job19,p2,1,a2_0,1,87,15,20.0,102
job19,p2,2,a3_0,2,102,8,10.0,110
job20,p2,1,a2_0,1,102,16,20.0,118
job20,p2,2,a3_0,2,121,11,10.0,132
job21,p4,1,a2_0,2,118,13,20.0,131
job21,p4,2,a3_0,1,138,12,10.0,150
job22,p2,1,a2_0,1,131,29,20.0,160
job22,p2,2,a3_0,2,163,12,10.0,175
job23,p1,1,a1_0,1,269,26,20.0,295
job23,p1,2,a3_0,1,313,13,10.0,326
job24,p4,1,a2_0,2,160,13,20.0,173
job24,p4,2,a3_0,1,189,8,10.0,197
job25,p4,1,a2_0,2,173,13,20.0,186
job25,p4,2,a3_0,1,197,9,10.0,206
job26,p2,1,a2_0,1,186,15,20.0,201
job26,p2,2,a3_0,2,217,7,10.0,224
job27,p3,1,a1_0,2,295,26,20.0,321
job27,p3,2,a3_0,2,333,5,10.0,338
job28,p4,1,a2_0,2,201,18,20.0,219
job28,p4,2,a3_0,1,229,7,10.0,236
job29,p2,1,a2_0,1,219,14,20.0,233
job29,p2,2,a3_0,2,236,10,10.0,246
job30,p3,1,a1_0,2,321,13,20.0,334
job30,p3,2,a3_0,2,350,13,10.0,363
job31,p3,1,a1_0,2,334,25,20.0,359
job31,p3,2,a3_0,2,381,13,10.0,394
job32,p3,1,a1_0,2,359,27,20.0,386
job32,p3,2,a3_0,2,414,12,10.0,426
job33,p3,1,a1_0,2,386,27,20.0,413
job33,p3,2,a3_0,2,434,11,10.0,445
job34,p4,1,a2_0,2,233,13,20.0,246
job34,p4,2,a3_0,1,259,7,10.0,266
job35,p4,1,a2_0,2,246,14,20.0,260
job35,p4,2,a3_0,1,279,8,10.0,287
job36,p4,1,a2_0,2,260,13,20.0,273
job36,p4,2,a3_0,1,300,13,10.0,313
job37,p1,1,a1_0,1,413,25,20.0,438
job37,p1,2,a3_0,1,445,14,10.0,459
job38,p4,1,a2_0,2,273,22,20.0,295
job38,p4,2,a3_0,1,326,7,10.0,333
job39,p1,1,a1_0,1,438,26,20.0,464
job39,p1,2,a3_0,1,464,8,10.0,472
job40,p1,1,a1_0,1,464,24,20.0,488
job40,p1,2,a3_0,1,488,10,10.0,498
job41,p1,1,a1_0,1,488,13,20.0,501
job41,p1,2,a3_0,1,501,6,10.0,507
job42,p1,1,a1_0,1,501,28,20.0,529
job42,p1,2,a3_0,1,529,12,10.0,541
job43,p2,1,a2_0,1,295,29,20.0,324
job43,p2,2,a3_0,2,338,12,10.0,350
job44,p1,1,a1_0,1,529,29,20.0,558
job44,p1,2,a3_0,1,558,10,10.0,568
job45,p2,1,a2_0,1,324,14,20.0,338
job45,p2,2,a3_0,2,363,12,10.0,375
job46,p4,1,a2_0,2,338,19,20.0,357
job46,p4,2,a3_0,1,375,6,10.0,381
job47,p2,1,a2_0,1,357,10,20.0,367
job47,p2,2,a3_0,2,394,7,10.0,401
job48,p1,1,a1_0,1,558,12,20.0,570
job48,p1,2,a3_0,1,570,6,10.0,576
job49,p4,1,a2_0,2,367,16,20.0,383
job49,p4,2,a3_0,1,401,13,10.0,414
job50,p3,1,a1_0,2,570,14,20.0,584
job50,p3,2,a3_0,2,584,14,10.0,598
job51,p1,1,a1_0,1,584,16,20.0,600
job51,p1,2,a3_0,1,600,13,10.0,613
job52,p2,1,a2_0,1,383,14,20.0,397
job52,p2,2,a3_0,2,426,8,10.0,434
