job_id,product_type,operation_id,machine,tool,start_time,duration,plan_duration,end_time
job3,p1,1,a1_0,1,0,8,20.0,8
job3,p1,2,a3_0,1,8,8,10.0,16
job4,p2,1,a2_0,1,0,10,20.0,10
job4,p2,2,a3_0,2,16,10,10.0,26
job5,p4,1,a2_0,2,10,11,20.0,21
job5,p4,2,a3_0,1,26,6,10.0,32
job6,p1,1,a1_0,1,8,19,20.0,27
job6,p1,2,a3_0,1,32,12,10.0,44
job7,p2,1,a2_0,1,21,23,20.0,44
job7,p2,2,a3_0,2,51,6,10.0,57
job8,p4,1,a2_0,2,44,30,20.0,74
job8,p4,2,a3_0,1,87,26,10.0,113
job9,p4,1,a2_0,2,74,30,20.0,104
job9,p4,2,a3_0,1,126,17,10.0,143
job10,p3,1,a1_0,2,27,15,20.0,42
job10,p3,2,a3_0,2,44,7,10.0,51
job11,p4,1,a2_0,2,104,14,20.0,118
job11,p4,2,a3_0,1,151,22,10.0,173
job12,p4,1,a2_0,2,118,10,20.0,128
job12,p4,2,a3_0,1,189,13,10.0,202
job13,p3,1,a1_0,2,42,18,20.0,60
job13,p3,2,a3_0,2,60,7,10.0,67
job14,p1,1,a1_0,1,60,9,20.0,69
job14,p1,2,a3_0,1,69,18,10.0,87
job15,p2,1,a2_0,1,128,12,20.0,140
job15,p2,2,a3_0,2,211,13,10.0,224
job16,p3,1,a1_0,2,69,17,20.0,86
job16,p3,2,a3_0,2,113,13,10.0,126
job17,p1,1,a1_0,1,86,24,20.0,110
job17,p1,2,a3_0,1,143,8,10.0,151
job18,p1,1,a1_0,1,110,11,20.0,121
job18,p1,2,a3_0,1,173,16,10.0,189
job19,p4,1,a2_0,2,140,33,20.0,173
job19,p4,2,a3_0,1,235,5,10.0,240
job20,p1,1,a1_0,1,121,19,20.0,140
job20,p1,2,a3_0,1,202,9,10.0,211
job21,p4,1,a2_0,2,173,11,20.0,184
job21,p4,2,a3_0,1,255,11,10.0,266
job22,p1,1,a1_0,1,140,22,20.0,162
job22,p1,2,a3_0,1,224,11,10.0,235
job23,p4,1,a2_0,2,184,31,20.0,215
job23,p4,2,a3_0,1,293,11,10.0,304
job24,p4,1,a2_0,2,215,22,20.0,237
job24,p4,2,a3_0,1,309,8,10.0,317
job25,p4,1,a2_0,2,237,31,20.0,268
job25,p4,2,a3_0,1,324,14,10.0,338
job26,p4,1,a2_0,2,268,21,20.0,289
job26,p4,2,a3_0,1,343,13,10.0,356
job27,p2,1,a2_0,1,289,13,20.0,302
job27,p2,2,a3_0,2,356,9,10.0,365
job28,p1,1,a1_0,1,162,17,20.0,179
job28,p1,2,a3_0,1,240,15,10.0,255
job29,p2,1,a2_0,1,302,9,20.0,311
job29,p2,2,a3_0,2,376,8,10.0,384
job30,p1,1,a1_0,1,179,14,20.0,193
job30,p1,2,a3_0,1,266,22,10.0,288
job31,p2,1,a2_0,1,311,23,20.0,334
job31,p2,2,a3_0,2,388,8,10.0,396
job32,p3,1,a1_0,2,193,16,20.0,209
job32,p3,2,a3_0,2,288,5,10.0,293
job33,p1,1,a1_0,1,209,17,20.0,226
job33,p1,2,a3_0,1,304,5,10.0,309
job34,p3,1,a1_0,2,226,33,20.0,259
job34,p3,2,a3_0,2,317,7,10.0,324
job35,p4,1,a2_0,2,334,29,20.0,363
job35,p4,2,a3_0,1,406,8,10.0,414
job36,p3,1,a1_0,2,259,23,20.0,282
job36,p3,2,a3_0,2,338,5,10.0,343
job37,p3,1,a1_0,2,282,21,20.0,303
job37,p3,2,a3_0,2,365,11,10.0,376
job38,p3,1,a1_0,2,303,16,20.0,319
job38,p3,2,a3_0,2,384,4,10.0,388
job39,p1,1,a1_0,1,319,27,20.0,346
job39,p1,2,a3_0,1,396,10,10.0,406
job40,p4,1,a2_0,2,363,32,20.0,395
job40,p4,2,a3_0,1,419,12,10.0,431
job41,p1,1,a1_0,1,346,35,20.0,381
job41,p1,2,a3_0,1,414,5,10.0,419
job42,p3,1,a1_0,2,381,21,20.0,402
job42,p3,2,a3_0,2,431,10,10.0,441
job43,p4,1,a2_0,2,395,24,20.0,419
job43,p4,2,a3_0,1,455,14,10.0,469
job44,p1,1,a1_0,1,402,16,20.0,418
job44,p1,2,a3_0,1,441,14,10.0,455
job45,p3,1,a1_0,2,418,14,20.0,432
job45,p3,2,a3_0,2,469,5,10.0,474
job46,p4,1,a2_0,2,419,29,20.0,448
job46,p4,2,a3_0,1,474,12,10.0,486
job47,p1,1,a1_0,1,432,17,20.0,449
job47,p1,2,a3_0,1,486,9,10.0,495
job48,p4,1,a2_0,2,448,18,20.0,466
job48,p4,2,a3_0,1,506,6,10.0,512
job49,p4,1,a2_0,2,466,12,20.0,478
job49,p4,2,a3_0,1,512,11,10.0,523
job50,p1,1,a1_0,1,449,16,20.0,465
job50,p1,2,a3_0,1,495,11,10.0,506
job51,p3,1,a1_0,2,465,14,20.0,479
job51,p3,2,a3_0,2,523,12,10.0,535
job52,p4,1,a2_0,2,478,16,20.0,494
job52,p4,2,a3_0,1,535,15,10.0,550
