job_id,product_type,operation_id,machine,tool,start_time,duration,plan_duration,end_time
job3,p4,1,a2_0,2,0,17,20.0,17
job3,p4,2,a3_0,1,17,7,10.0,24
job4,p3,1,a1_0,2,0,27,20.0,27
job4,p3,2,a3_0,2,27,12,10.0,39
job5,p3,1,a1_0,2,27,26,20.0,53
job5,p3,2,a3_0,2,57,15,10.0,72
job6,p1,1,a1_0,1,53,18,20.0,71
job6,p1,2,a3_0,1,79,6,10.0,85
job7,p3,1,a1_0,2,71,12,20.0,83
job7,p3,2,a3_0,2,92,13,10.0,105
job8,p3,1,a1_0,2,83,16,20.0,99
job8,p3,2,a3_0,2,113,15,10.0,128
job9,p2,1,a2_0,1,17,27,20.0,44
job9,p2,2,a3_0,2,44,13,10.0,57
job10,p2,1,a2_0,1,44,27,20.0,71
job10,p2,2,a3_0,2,72,7,10.0,79
job11,p1,1,a1_0,1,99,13,20.0,112
job11,p1,2,a3_0,1,128,7,10.0,135
job12,p2,1,a2_0,1,71,12,20.0,83
job12,p2,2,a3_0,2,85,7,10.0,92
job13,p3,1,a1_0,2,112,11,20.0,123
job13,p3,2,a3_0,2,135,15,10.0,150
job14,p4,1,a2_0,2,83,15,20.0,98
job14,p4,2,a3_0,1,105,8,10.0,113
job15,p3,1,a1_0,2,123,29,20.0,152
job15,p3,2,a3_0,2,159,14,10.0,173
job16,p2,1,a2_0,1,98,27,20.0,125
job16,p2,2,a3_0,2,150,4,10.0,154
job17,p2,1,a2_0,1,125,16,20.0,141
job17,p2,2,a3_0,2,154,5,10.0,159
job18,p4,1,a2_0,2,141,17,20.0,158
job18,p4,2,a3_0,1,173,9,10.0,182
job19,p2,1,a2_0,1,158,24,20.0,182
job19,p2,2,a3_0,2,190,7,10.0,197
job20,p1,1,a1_0,1,152,18,20.0,170
job20,p1,2,a3_0,1,182,8,10.0,190
job21,p3,1,a1_0,2,170,22,20.0,192
job21,p3,2,a3_0,2,197,14,10.0,211
job22,p3,1,a1_0,2,192,25,20.0,217
job22,p3,2,a3_0,2,221,6,10.0,227
job23,p4,1,a2_0,2,182,13,20.0,195
job23,p4,2,a3_0,1,211,10,10.0,221
job24,p2,1,a2_0,1,195,27,20.0,222
job24,p2,2,a3_0,2,227,10,10.0,237
job25,p3,1,a1_0,2,217,26,20.0,243
job25,p3,2,a3_0,2,243,14,10.0,257
job26,p2,1,a2_0,1,222,27,20.0,249
job26,p2,2,a3_0,2,257,10,10.0,267
job27,p2,1,a2_0,1,249,13,20.0,262
job27,p2,2,a3_0,2,274,14,10.0,288
job28,p1,1,a1_0,1,243,15,20.0,258
job28,p1,2,a3_0,1,267,7,10.0,274
job29,p2,1,a2_0,1,262,14,20.0,276
job29,p2,2,a3_0,2,295,7,10.0,302
job30,p1,1,a1_0,1,258,13,20.0,271
job30,p1,2,a3_0,1,288,7,10.0,295
job31,p2,1,a2_0,1,276,17,20.0,293
job31,p2,2,a3_0,2,302,6,10.0,308
job32,p2,1,a2_0,1,293,26,20.0,319
job32,p2,2,a3_0,2,323,13,10.0,336
job33,p3,1,a1_0,2,271,29,20.0,300
job33,p3,2,a3_0,2,308,15,10.0,323
job34,p2,1,a2_0,1,319,26,20.0,345
job34,p2,2,a3_0,2,351,8,10.0,359
job35,p2,1,a2_0,1,345,27,20.0,372
job35,p2,2,a3_0,2,389,13,10.0,402
job36,p2,1,a2_0,1,372,13,20.0,385
job36,p2,2,a3_0,2,402,6,10.0,408
job37,p3,1,a1_0,2,300,22,20.0,322
job37,p3,2,a3_0,2,336,15,10.0,351
job38,p2,1,a2_0,1,385,27,20.0,412
job38,p2,2,a3_0,2,433,13,10.0,446
job39,p4,1,a2_0,2,412,12,20.0,424
job39,p4,2,a3_0,1,452,6,10.0,458
job40,p3,1,a1_0,2,322,26,20.0,348
job40,p3,2,a3_0,2,359,16,10.0,375
job41,p2,1,a2_0,1,424,23,20.0,447
job41,p2,2,a3_0,2,466,13,10.0,479
job42,p3,1,a1_0,2,348,11,20.0,359
job42,p3,2,a3_0,2,375,14,10.0,389
job43,p3,1,a1_0,2,359,27,20.0,386
job43,p3,2,a3_0,2,408,14,10.0,422
job44,p1,1,a1_0,1,386,14,20.0,400
job44,p1,2,a3_0,1,422,11,10.0,433
job45,p2,1,a2_0,1,447,27,20.0,474
job45,p2,2,a3_0,2,479,4,10.0,483
job46,p2,1,a2_0,1,474,27,20.0,501
job46,p2,2,a3_0,2,501,7,10.0,508
job47,p2,1,a2_0,1,501,23,20.0,524
job47,p2,2,a3_0,2,524,6,10.0,530
job48,p2,1,a2_0,1,524,27,20.0,551
job48,p2,2,a3_0,2,551,7,10.0,558
job49,p4,1,a2_0,2,551,12,20.0,563
job49,p4,2,a3_0,1,563,8,10.0,571
job50,p3,1,a1_0,2,400,16,20.0,416
job50,p3,2,a3_0,2,446,6,10.0,452
job51,p2,1,a2_0,1,563,16,20.0,579
job51,p2,2,a3_0,2,579,8,10.0,587
job52,p1,1,a1_0,1,416,13,20.0,429
job52,p1,2,a3_0,1,458,8,10.0,466
