Model,makespan,avg_makespan_diff,avg abs start dev,avg duration dev,levenshtein_seq,ndcg_seq,leven_a3_0_seq,ndcg_seq_a3,toolchange_perc,seed,instance,priority_rule
AverageOperationModel,-44.0,-0.0,58.8,0.0,284.0,0.9999917953,852,0.9999753859,49.463,378,1500,dynamic
LogNormalDistributionModel,32.0,0.05,124.1,0.1,317.0,0.9999651342,951,0.9998954026,50.507,378,1500,dynamic
HistoDistributionModel,4.0,-0.06,71.6,-0.1,302.0,0.9999902616,906,0.9999707849,49.883,378,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,51.783,379,1500,dynamic
CausalContinousSmallLogCopyModel,-134.0,0.04,68.8,0.1,273.0,0.9999825445,819,0.9999476336,52.403,379,1500,dynamic
AverageOperationModel,32.0,0.12,96.8,0.2,253.0,0.9999746368,759,0.9999239103,49.737,379,1500,dynamic
LogNormalDistributionModel,-46.0,-0.04,60.2,-0.1,296.333,0.9999703704,889,0.9999111113,49.783,379,1500,dynamic
HistoDistributionModel,2.0,0.0,91.1,0.0,301.667,0.9999696646,905,0.9999089938,49.693,379,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,50.863,380,1500,dynamic
CausalContinousSmallLogCopyModel,-114.0,0.02,59.0,0.1,218.0,0.9999975234,654,0.9999925701,50.597,380,1500,dynamic
AverageOperationModel,104.0,0.02,111.9,0.1,291.0,0.999982351,873,0.9999470529,49.13,380,1500,dynamic
LogNormalDistributionModel,41.0,0.02,196.6,0.1,310.333,0.9999719393,931,0.999915818,48.597,380,1500,dynamic
HistoDistributionModel,37.0,-0.08,126.1,-0.1,307.0,0.9999679654,921,0.9999038963,48.91,380,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,50.963,381,1500,dynamic
CausalContinousSmallLogCopyModel,-66.0,-0.03,39.2,-0.1,237.667,0.9999807187,713,0.9999421562,51.473,381,1500,dynamic
AverageOperationModel,64.0,-0.03,81.8,-0.1,277.0,0.9999935741,831,0.9999807222,49.94,381,1500,dynamic
LogNormalDistributionModel,26.0,-0.03,85.3,-0.1,298.0,0.9999715101,894,0.9999145304,49.473,381,1500,dynamic
HistoDistributionModel,-83.0,0.07,137.4,0.1,302.667,0.9999770732,908,0.9999312197,48.83,381,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,53.73,382,1500,dynamic
CausalContinousSmallLogCopyModel,8.0,0.01,34.7,0.1,259.667,0.9999987425,779,0.9999962275,53.153,382,1500,dynamic
AverageOperationModel,-294.0,-0.17,190.7,-0.3,282.667,0.999970061,848,0.9999101831,50.487,382,1500,dynamic
LogNormalDistributionModel,-15.0,0.04,74.2,0.1,309.333,0.9999145069,928,0.9997435208,49.377,382,1500,dynamic
HistoDistributionModel,138.0,0.06,123.0,0.2,308.0,0.999947329,924,0.999841987,49.863,382,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,53.907,383,1500,dynamic
CausalContinousSmallLogCopyModel,126.0,0.04,64.6,0.1,244.333,0.9999817295,733,0.9999451884,53.107,383,1500,dynamic
AverageOperationModel,14.0,0.1,69.4,0.2,280.0,0.9999695337,840,0.9999086012,51.373,383,1500,dynamic
LogNormalDistributionModel,37.0,0.03,69.0,0.1,300.333,0.9999754584,901,0.9999263751,50.973,383,1500,dynamic
HistoDistributionModel,-192.0,0.06,117.9,0.1,313.667,0.9999888306,941,0.9999664918,51.33,383,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,51.537,384,1500,dynamic
CausalContinousSmallLogCopyModel,-136.0,-0.06,82.1,-0.1,289.333,0.9999811515,868,0.9999434545,52.47,384,1500,dynamic
AverageOperationModel,189.0,0.17,132.4,0.3,278.333,0.9999756197,835,0.999926859,50.203,384,1500,dynamic
LogNormalDistributionModel,-7.0,0.08,75.3,0.1,291.333,0.9999302255,874,0.9997906765,49.847,384,1500,dynamic
HistoDistributionModel,-42.0,0.03,63.7,0.0,289.333,0.999990417,868,0.9999712511,49.227,384,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,52.323,385,1500,dynamic
CausalContinousSmallLogCopyModel,-13.0,0.02,30.4,0.1,208.667,0.9999806211,626,0.9999418634,52.457,385,1500,dynamic
AverageOperationModel,45.0,-0.01,53.4,0.0,273.667,0.9999704813,821,0.9999114439,49.033,385,1500,dynamic
LogNormalDistributionModel,-27.0,-0.15,122.1,-0.3,305.333,0.9999647049,916,0.9998941146,48.767,385,1500,dynamic
HistoDistributionModel,88.0,-0.07,61.9,-0.1,280.333,0.999989119,841,0.999967357,49.747,385,1500,dynamic
