Model,makespan,avg_makespan_diff,avg abs start dev,avg duration dev,levenshtein_seq,ndcg_seq,leven_a3_0_seq,ndcg_seq_a3,toolchange_perc,seed,instance,priority_rule
LogNormalDistributionModel,41.0,0.08,77.2,0.2,292.667,0.9999581236,878,0.9998743709,48.253,344,1500,dynamic
HistoDistributionModel,123.0,0.05,81.1,0.1,276.0,0.9999857191,828,0.9999571572,48.187,344,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,52.643,345,1500,dynamic
CausalContinousSmallLogCopyModel,-29.0,0.01,22.3,0.0,213.667,0.9999994483,641,0.999998345,53.177,345,1500,dynamic
AverageOperationModel,7.0,0.0,34.5,0.0,285.0,0.9999917569,855,0.9999752708,49.887,345,1500,dynamic
LogNormalDistributionModel,126.0,0.1,80.5,0.2,302.667,0.9999867377,908,0.9999602132,49.2,345,1500,dynamic
HistoDistributionModel,149.0,0.01,98.2,0.0,290.0,0.9999890547,870,0.999967164,50.377,345,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,51.01,346,1500,dynamic
CausalContinousSmallLogCopyModel,-2.0,-0.08,64.5,-0.2,245.667,0.9999828663,737,0.999948599,51.253,346,1500,dynamic
AverageOperationModel,163.0,-0.02,100.6,-0.1,267.667,0.9999769143,803,0.9999307429,49.12,346,1500,dynamic
LogNormalDistributionModel,132.0,0.03,87.7,0.0,290.667,0.9999562101,872,0.9998686304,48.81,346,1500,dynamic
HistoDistributionModel,79.0,-0.01,55.0,0.0,267.333,0.9999771218,802,0.9999313655,49.053,346,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,54.517,347,1500,dynamic
CausalContinousSmallLogCopyModel,75.0,0.06,66.8,0.1,225.333,0.99999947,676,0.9999984101,54.25,347,1500,dynamic
AverageOperationModel,-306.0,0.04,154.2,0.0,292.333,0.9999727803,877,0.9999183409,52.65,347,1500,dynamic
LogNormalDistributionModel,-82.0,-0.07,101.9,-0.2,320.333,0.9999720801,961,0.9999162403,51.273,347,1500,dynamic
HistoDistributionModel,-53.0,-0.04,99.7,-0.1,314.667,0.9999584691,944,0.9998754073,52.093,347,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,50.217,348,1500,dynamic
CausalContinousSmallLogCopyModel,-88.0,-0.04,98.3,-0.1,277.0,0.9999796504,831,0.9999389512,50.437,348,1500,dynamic
AverageOperationModel,280.0,0.06,146.2,0.1,281.333,0.9999647163,844,0.9998941489,48.26,348,1500,dynamic
LogNormalDistributionModel,72.0,-0.03,68.4,-0.1,310.667,0.9999185699,932,0.9997557097,47.77,348,1500,dynamic
HistoDistributionModel,-133.0,0.06,122.3,0.1,310.0,0.9999572101,930,0.9998716303,48.483,348,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,52.22,349,1500,dynamic
CausalContinousSmallLogCopyModel,61.0,0.09,46.4,0.2,257.333,0.9999959737,772,0.9999879212,51.377,349,1500,dynamic
AverageOperationModel,106.0,0.11,76.3,0.3,282.667,0.9999942549,848,0.9999827646,49.31,349,1500,dynamic
