,0,1
0,p1,1
1,p1,2
2,p1,3
3,p2,1
4,p2,1
5,p2,2
6,p2,4
7,p2,2
8,p2,1
9,p2,2
10,p2,4
11,p2,4
12,p1,1
13,p1,1
14,p1,2
15,p1,3
16,p1,2
17,p2,1
18,p2,2
19,p2,4
20,p1,3
21,p2,1
22,p2,2
23,p2,4
24,p2,1
25,p2,2
26,p2,4
27,p1,1
28,p1,2
29,p1,3
30,p1,1
31,p1,2
32,p1,3
33,p2,1
34,p2,2
35,p2,4
36,p1,1
37,p1,2
38,p1,3
39,p2,1
40,p2,2
41,p2,4
42,p2,1
43,p2,2
44,p2,4
45,p1,1
46,p2,1
47,p2,2
48,p2,4
49,p1,2
50,p1,1
51,p1,2
52,p1,3
53,p1,3
54,p1,1
55,p1,2
56,p1,3
57,p2,1
58,p2,2
59,p2,4
60,p1,1
61,p1,2
62,p1,3
63,p2,1
64,p2,2
65,p2,4
66,p2,1
67,p2,2
68,p2,4
69,p1,1
70,p1,2
71,p1,3
72,p1,1
73,p1,2
74,p1,3
75,p2,1
76,p2,2
77,p2,4
78,p2,1
79,p2,1
80,p2,2
81,p2,4
82,p2,2
83,p2,1
84,p2,2
85,p2,4
86,p2,1
87,p2,2
88,p2,4
89,p2,4
90,p2,1
91,p2,2
92,p2,4
93,p2,1
94,p2,2
95,p2,4
96,p1,1
97,p1,2
98,p1,3
99,p2,1
100,p2,2
101,p2,4
102,p2,1
103,p2,2
104,p2,4
105,p1,1
106,p1,2
107,p1,3
108,p2,1
109,p2,2
110,p2,4
111,p1,1
112,p2,1
113,p2,2
114,p2,4
115,p1,2
116,p2,1
117,p2,2
118,p2,4
119,p1,3
120,p2,1
121,p2,2
122,p2,4
123,p1,1
124,p1,2
125,p1,3
126,p1,1
127,p1,2
128,p1,3
129,p1,1
130,p1,2
131,p1,3
132,p1,1
133,p1,2
134,p1,3
135,p2,1
136,p2,2
137,p2,4
138,p1,1
139,p1,2
140,p1,3
141,p1,1
142,p1,2
143,p1,3
144,p1,1
145,p1,1
146,p1,2
147,p1,3
148,p1,2
149,p2,1
150,p2,2
151,p2,4
152,p1,3
153,p1,1
154,p1,2
155,p1,3
156,p1,1
157,p1,2
158,p1,3
159,p1,1
160,p1,2
161,p1,3
162,p1,1
163,p1,2
164,p1,3
165,p2,1
166,p2,2
167,p2,4
168,p1,1
169,p1,2
170,p1,3
171,p1,1
172,p1,2
173,p1,3
174,p2,1
175,p2,2
176,p2,4
177,p1,1
178,p2,1
179,p2,2
180,p2,4
181,p1,2
182,p1,1
183,p1,2
184,p1,3
185,p1,3
186,p2,1
187,p2,2
188,p2,4
189,p1,1
190,p1,2
191,p1,3
192,p1,1
193,p1,2
194,p1,3
195,p2,1
196,p2,2
197,p2,4
198,p2,1
199,p2,2
200,p2,4
201,p1,1
202,p1,2
203,p1,3
204,p1,1
205,p1,2
206,p1,3
207,p1,1
208,p1,2
209,p1,3
210,p2,1
211,p1,1
212,p1,2
213,p1,3
214,p2,2
215,p1,1
216,p1,2
217,p1,3
218,p1,1
219,p1,2
220,p1,3
221,p2,4
222,p1,1
223,p1,2
224,p1,3
225,p2,1
226,p2,2
227,p2,4
228,p2,1
229,p2,2
230,p2,4
231,p1,1
232,p1,2
233,p1,3
234,p2,1
235,p2,2
236,p2,4
237,p2,1
238,p2,2
239,p2,4
240,p1,1
241,p1,2
242,p1,3
243,p1,1
244,p1,1
245,p1,2
246,p1,3
247,p1,2
248,p2,1
249,p2,2
250,p2,4
251,p1,3
252,p2,1
253,p2,2
254,p2,4
255,p2,1
256,p2,2
257,p2,4
258,p1,1
259,p1,2
260,p1,3
261,p1,1
262,p1,2
263,p1,3
264,p1,1
265,p1,2
266,p1,3
267,p1,1
268,p1,2
269,p1,3
270,p2,1
271,p2,2
272,p2,4
273,p2,1
274,p2,2
275,p2,4
276,p2,1
277,p2,1
278,p2,2
279,p2,4
280,p2,2
281,p2,1
282,p2,2
283,p2,4
284,p2,1
285,p2,2
286,p2,4
287,p2,4
288,p2,1
289,p2,2
290,p2,4
291,p2,1
292,p2,2
293,p2,4
294,p2,1
295,p2,2
296,p2,4
297,p2,1
298,p2,2
299,p2,4
300,p1,1
301,p1,2
302,p1,3
303,p1,1
304,p1,2
305,p1,3
306,p1,1
307,p1,2
308,p1,3
309,p1,1
310,p1,1
311,p1,2
312,p1,3
313,p1,2
314,p1,1
315,p1,2
316,p1,3
317,p1,3
318,p1,1
319,p1,2
320,p1,3
321,p2,1
322,p2,2
323,p2,4
324,p2,1
325,p2,2
326,p2,4
327,p1,1
328,p1,2
329,p1,3
330,p2,1
331,p2,2
332,p2,4
333,p1,1
334,p1,2
335,p1,3
336,p2,1
337,p2,2
338,p2,4
339,p2,1
340,p2,2
341,p2,4
342,p1,1
343,p2,1
344,p2,2
345,p2,4
346,p1,2
347,p2,1
348,p2,2
349,p2,4
350,p1,3
351,p2,1
352,p2,2
353,p2,4
354,p2,1
355,p2,2
356,p2,4
357,p2,1
358,p2,2
359,p2,4
360,p1,1
361,p1,2
362,p1,3
363,p2,1
364,p2,2
365,p2,4
366,p1,1
367,p1,2
368,p1,3
369,p1,1
370,p1,2
371,p1,3
372,p2,1
373,p2,2
374,p2,4
375,p1,1
376,p2,1
377,p2,2
378,p2,4
379,p1,2
380,p1,1
381,p1,2
382,p1,3
383,p1,3
384,p1,1
385,p1,2
386,p1,3
387,p2,1
388,p2,2
389,p2,4
390,p2,1
391,p2,2
392,p2,4
393,p2,1
394,p2,2
395,p2,4
396,p2,1
397,p2,2
398,p2,4
399,p2,1
400,p2,2
401,p2,4
402,p1,1
403,p1,2
404,p1,3
405,p1,1
406,p1,2
407,p1,3
408,p2,1
409,p2,1
410,p2,2
411,p2,4
412,p2,2
413,p2,1
414,p2,2
415,p2,4
416,p1,1
417,p1,2
418,p1,3
419,p2,4
420,p1,1
421,p1,2
422,p1,3
423,p1,1
424,p1,2
425,p1,3
426,p2,1
427,p2,2
428,p2,4
429,p2,1
430,p2,2
431,p2,4
432,p2,1
433,p2,2
434,p2,4
435,p1,1
436,p1,2
437,p1,3
438,p1,1
439,p1,2
440,p1,3
441,p1,1
442,p2,1
443,p2,2
444,p2,4
445,p1,2
446,p1,1
447,p1,2
448,p1,3
449,p1,3
450,p1,1
451,p1,2
452,p1,3
453,p2,1
454,p2,2
455,p2,4
456,p1,1
457,p1,2
458,p1,3
459,p2,1
460,p2,2
461,p2,4
462,p1,1
463,p1,2
464,p1,3
465,p1,1
466,p1,2
467,p1,3
468,p1,1
469,p1,2
470,p1,3
471,p2,1
472,p2,2
473,p2,4
474,p1,1
475,p1,1
476,p1,2
477,p1,3
478,p1,2
479,p2,1
480,p2,2
481,p2,4
482,p1,3
483,p1,1
484,p1,2
485,p1,3
486,p1,1
487,p1,2
488,p1,3
489,p2,1
490,p2,2
491,p2,4
492,p1,1
493,p1,2
494,p1,3
495,p1,1
496,p1,2
497,p1,3
498,p1,1
499,p1,2
500,p1,3
501,p1,1
502,p1,2
503,p1,3
504,p1,1
505,p1,2
506,p1,3
507,p1,1
508,p1,1
509,p1,2
510,p1,3
511,p1,2
512,p2,1
513,p2,2
514,p2,4
515,p1,3
516,p2,1
517,p2,2
518,p2,4
519,p2,1
520,p2,2
521,p2,4
522,p1,1
523,p1,2
524,p1,3
525,p1,1
526,p1,2
527,p1,3
528,p1,1
529,p1,2
530,p1,3
531,p1,1
532,p1,2
533,p1,3
534,p1,1
535,p1,2
536,p1,3
