,0,1
0,p3,1
1,p2,1
2,p3,1
3,p3,2
4,p2,1
5,p2,2
6,p3,1
7,p3,2
8,p2,1
9,p2,2
10,p1,1
11,p3,2
12,p2,1
13,p1,1
14,p2,2
15,p3,1
16,p4,1
17,p1,2
18,p1,1
19,p1,2
20,p2,1
21,p2,2
22,p3,1
23,p3,2
24,p3,1
25,p2,1
26,p4,2
27,p3,1
28,p1,2
29,p4,1
30,p3,2
31,p1,1
32,p2,2
33,p2,1
34,p3,2
35,p3,1
36,p2,2
37,p2,1
38,p3,2
39,p4,2
40,p1,1
41,p2,1
42,p1,2
43,p2,1
44,p2,2
45,p3,1
46,p3,2
47,p2,1
48,p2,2
49,p1,1
50,p2,2
51,p4,1
52,p1,2
53,p1,1
54,p2,2
55,p2,1
56,p3,2
57,p2,2
58,p3,1
59,p4,1
60,p1,2
61,p2,1
62,p4,2
63,p1,2
64,p1,1
65,p4,1
66,p3,1
67,p2,2
68,p4,2
69,p2,1
70,p3,2
71,p3,1
72,p2,2
73,p2,1
74,p1,2
75,p1,1
76,p4,2
77,p4,1
78,p3,2
79,p3,1
80,p2,2
81,p2,1
82,p3,2
83,p1,1
84,p2,2
85,p3,1
86,p1,2
87,p4,2
88,p3,2
89,p2,2
90,p1,1
91,p1,2
92,p3,1
93,p3,2
94,p1,2
95,p3,1
96,p3,2
97,p3,1
98,p3,2
99,p3,2
