,0,1
0,p2,1
1,p1,1
2,p3,1
3,p1,2
4,p4,1
5,p2,2
6,p1,1
7,p3,2
8,p2,1
9,p4,2
10,p3,1
11,p1,2
12,p4,1
13,p2,2
14,p1,1
15,p3,2
16,p3,1
17,p1,2
18,p4,1
19,p4,2
20,p3,1
21,p3,2
22,p3,1
23,p3,2
24,p2,1
25,p4,2
26,p2,1
27,p2,2
28,p1,1
29,p2,1
30,p3,2
31,p2,2
32,p2,1
33,p2,2
34,p1,1
35,p1,2
36,p2,1
37,p2,2
38,p3,1
39,p1,2
40,p1,1
41,p4,1
42,p3,2
43,p2,2
44,p3,1
45,p2,1
46,p1,2
47,p3,1
48,p4,2
49,p2,1
50,p3,2
51,p1,1
52,p2,2
53,p2,1
54,p3,2
55,p1,1
56,p2,2
57,p4,1
58,p1,2
59,p3,1
60,p2,2
61,p3,1
62,p1,2
63,p3,2
64,p4,1
65,p3,2
66,p4,1
67,p4,2
68,p4,2
69,p2,1
70,p4,2
71,p4,1
72,p2,2
73,p2,1
74,p4,2
75,p4,1
76,p2,2
77,p4,1
78,p4,2
79,p2,1
80,p4,2
81,p4,1
82,p2,2
83,p2,1
84,p4,2
85,p4,1
86,p2,2
87,p2,1
88,p4,2
89,p4,1
90,p2,2
91,p4,1
92,p4,2
93,p2,1
94,p4,2
95,p4,1
96,p2,2
97,p2,1
98,p4,2
99,p2,2
