,0,1
0,p4,1
1,p1,1
2,p4,1
3,p4,2
4,p1,1
5,p1,2
6,p2,1
7,p4,2
8,p2,1
9,p1,1
10,p2,2
11,p2,1
12,p1,2
13,p2,2
14,p3,1
15,p1,2
16,p3,1
17,p4,1
18,p3,2
19,p1,1
20,p2,2
21,p3,2
22,p2,1
23,p4,2
24,p4,1
25,p2,2
26,p1,1
27,p1,2
28,p4,1
29,p3,1
30,p4,2
31,p1,2
32,p4,1
33,p1,1
34,p4,2
35,p3,2
36,p2,1
37,p4,2
38,p1,1
39,p1,2
40,p4,1
41,p2,2
42,p3,1
43,p1,2
44,p1,1
45,p3,2
46,p2,1
47,p4,2
48,p3,1
49,p1,2
50,p4,1
51,p2,2
52,p3,1
53,p3,2
54,p3,1
55,p3,2
56,p2,1
57,p4,2
58,p2,1
59,p2,2
60,p1,1
61,p3,2
62,p4,1
63,p2,2
64,p3,1
65,p4,1
66,p1,2
67,p1,1
68,p4,1
69,p4,2
70,p3,2
71,p4,2
72,p1,1
73,p1,2
74,p2,1
75,p4,2
76,p1,1
77,p1,2
78,p3,1
79,p1,2
80,p2,1
81,p2,2
82,p1,1
83,p3,2
84,p2,1
85,p2,2
86,p4,1
87,p2,2
88,p3,1
89,p1,2
90,p1,1
91,p3,2
92,p4,1
93,p4,2
94,p2,1
95,p1,2
96,p4,2
97,p4,1
98,p2,2
99,p4,2
