,0,1
0,p1,1
1,p4,1
2,p3,1
3,p1,2
4,p2,1
5,p4,2
6,p1,1
7,p3,2
8,p4,1
9,p1,1
10,p2,2
11,p4,1
12,p1,2
13,p4,2
14,p3,1
15,p4,1
16,p2,1
17,p3,1
18,p1,2
19,p2,1
20,p4,2
21,p4,2
22,p3,2
23,p3,1
24,p2,2
25,p2,1
26,p1,1
27,p3,2
28,p2,2
29,p2,1
30,p3,1
31,p3,2
32,p2,2
33,p4,1
34,p3,1
35,p1,2
36,p2,2
37,p2,1
38,p1,1
39,p4,1
40,p3,2
41,p4,2
42,p3,1
43,p2,1
44,p3,2
45,p2,2
46,p3,1
47,p2,1
48,p1,2
49,p4,2
50,p3,1
51,p3,2
52,p4,1
53,p2,2
54,p3,1
55,p3,2
56,p4,1
57,p2,2
58,p2,1
59,p1,1
60,p3,2
61,p4,2
62,p1,1
63,p2,1
64,p4,2
65,p3,2
66,p1,1
67,p1,2
68,p4,1
69,p2,2
70,p3,1
71,p1,2
72,p2,1
73,p1,1
74,p2,2
75,p1,2
76,p2,1
77,p1,1
78,p4,2
79,p3,2
80,p4,1
81,p3,1
82,p2,2
83,p2,1
84,p1,1
85,p1,2
86,p2,2
87,p1,1
88,p2,1
89,p1,2
90,p4,2
91,p3,1
92,p4,1
93,p3,2
94,p1,2
95,p2,2
96,p1,2
97,p2,2
98,p4,2
99,p3,2
