,0,1
0,p4,1
1,p1,1
2,p1,1
3,p1,2
4,p1,1
5,p1,2
6,p4,1
7,p4,2
8,p3,1
9,p1,2
10,p2,1
11,p4,2
12,p3,1
13,p3,2
14,p4,1
15,p2,2
16,p4,1
17,p4,2
18,p1,1
19,p3,2
20,p1,1
21,p1,2
22,p4,1
23,p3,1
24,p4,2
25,p1,2
26,p4,1
27,p4,2
28,p2,1
29,p1,1
30,p4,2
31,p1,1
32,p4,1
33,p3,2
34,p1,2
35,p1,1
36,p4,1
37,p2,2
38,p1,2
39,p4,2
40,p1,1
41,p2,1
42,p1,2
43,p4,2
44,p3,1
45,p2,1
46,p1,2
47,p2,1
48,p2,2
49,p1,1
50,p2,1
51,p2,2
52,p3,1
53,p3,2
54,p4,1
55,p2,2
56,p3,1
57,p1,2
58,p2,2
59,p2,1
60,p3,1
61,p3,2
62,p4,2
63,p2,1
64,p3,1
65,p3,2
66,p4,1
67,p2,2
68,p1,1
69,p3,2
70,p3,1
71,p4,1
72,p2,2
73,p3,1
74,p3,2
75,p1,2
76,p4,2
77,p1,1
78,p3,2
79,p3,2
80,p4,1
81,p4,2
82,p2,1
83,p4,2
84,p1,2
85,p2,1
86,p2,2
87,p2,1
88,p2,2
89,p4,1
90,p2,2
91,p4,1
92,p4,2
93,p4,1
94,p4,2
95,p4,1
96,p4,2
97,p2,1
98,p4,2
99,p2,2
