,0,1
0,p2,1
1,p1,1
2,p4,1
3,p2,2
4,p2,1
5,p4,2
6,p1,1
7,p2,1
8,p1,2
9,p2,2
10,p3,1
11,p1,2
12,p1,1
13,p3,2
14,p4,1
15,p2,1
16,p2,2
17,p1,1
18,p4,2
19,p4,1
20,p1,2
21,p2,2
22,p1,1
23,p2,1
24,p1,2
25,p4,2
26,p4,1
27,p2,2
28,p3,1
29,p1,2
30,p2,1
31,p4,2
32,p1,1
33,p3,2
34,p4,1
35,p1,1
36,p2,2
37,p4,1
38,p1,1
39,p1,2
40,p2,1
41,p4,2
42,p1,2
43,p3,1
44,p4,2
45,p4,1
46,p1,2
47,p2,1
48,p2,2
49,p1,1
50,p4,2
51,p2,1
52,p3,2
53,p2,2
54,p3,1
55,p4,1
56,p1,2
57,p2,2
58,p2,1
59,p4,2
60,p1,1
61,p3,2
62,p4,1
63,p2,2
64,p3,1
65,p1,2
66,p4,1
67,p4,2
68,p2,1
69,p4,2
70,p3,1
71,p3,2
72,p4,1
73,p2,2
74,p3,1
75,p3,2
76,p2,1
77,p4,2
78,p1,1
79,p3,2
80,p3,1
81,p1,2
82,p2,1
83,p2,2
84,p3,1
85,p3,2
86,p4,1
87,p2,2
88,p2,1
89,p3,1
90,p4,2
91,p2,1
92,p3,2
93,p3,1
94,p2,1
95,p2,2
96,p3,2
97,p2,2
98,p2,2
99,p3,2
