,0,1
0,p4,1
1,p1,1
2,p1,1
3,p1,2
4,p4,1
5,p4,2
6,p3,1
7,p4,1
8,p1,2
9,p4,2
10,p2,1
11,p3,1
12,p4,2
13,p3,2
14,p4,1
15,p2,2
16,p1,1
17,p3,2
18,p4,1
19,p4,2
20,p1,1
21,p1,2
22,p4,1
23,p4,2
24,p3,1
25,p2,1
26,p1,2
27,p4,2
28,p1,1
29,p3,2
30,p4,1
31,p2,1
32,p2,2
33,p3,1
34,p4,2
35,p1,1
36,p1,2
37,p3,2
38,p2,1
39,p3,1
40,p2,2
41,p2,1
42,p1,2
43,p1,1
44,p2,2
45,p2,1
46,p3,1
47,p3,2
48,p2,2
49,p3,1
50,p2,1
51,p1,2
52,p3,1
53,p4,1
54,p3,2
55,p3,1
56,p2,2
57,p4,1
58,p3,2
59,p1,1
60,p2,2
61,p3,2
62,p1,1
63,p4,1
64,p4,2
65,p1,1
66,p2,1
67,p3,2
68,p3,1
69,p2,1
70,p1,2
71,p4,2
72,p3,1
73,p1,2
74,p2,1
75,p3,1
76,p4,2
77,p1,2
78,p2,1
79,p2,2
80,p1,1
81,p3,2
82,p2,1
83,p1,1
84,p2,2
85,p3,2
86,p4,1
87,p2,2
88,p4,1
89,p3,2
90,p2,1
91,p2,2
92,p1,2
93,p4,1
94,p2,2
95,p1,2
96,p4,2
97,p4,2
98,p2,2
99,p4,2
