,0,1
0,p1,1
1,p4,1
2,p4,1
3,p4,2
4,p1,1
5,p1,2
6,p1,1
7,p1,2
8,p1,1
9,p1,2
10,p2,1
11,p4,2
12,p1,1
13,p1,2
14,p2,1
15,p2,2
16,p1,1
17,p4,1
18,p1,2
19,p2,2
20,p4,1
21,p4,2
22,p4,1
23,p1,1
24,p4,2
25,p2,1
26,p1,2
27,p1,1
28,p4,1
29,p4,2
30,p3,1
31,p1,2
32,p2,1
33,p2,2
34,p3,1
35,p4,1
36,p1,2
37,p4,2
38,p3,1
39,p3,2
40,p2,2
41,p2,1
42,p1,1
43,p3,2
44,p2,1
45,p3,1
46,p4,2
47,p4,1
48,p3,2
49,p3,1
50,p2,2
51,p4,1
52,p1,2
53,p2,2
54,p1,1
55,p3,2
56,p4,1
57,p4,2
58,p3,2
59,p1,1
60,p2,1
61,p4,2
62,p1,2
63,p4,1
64,p4,2
65,p2,2
66,p1,1
67,p1,2
68,p4,1
69,p3,1
70,p4,2
71,p2,1
72,p1,2
73,p4,2
74,p1,1
75,p3,2
76,p4,1
77,p2,2
78,p3,1
79,p1,2
80,p4,1
81,p4,2
82,p3,1
83,p3,2
84,p1,1
85,p2,1
86,p3,2
87,p4,1
88,p4,2
89,p1,2
90,p2,1
91,p2,2
92,p4,2
93,p2,1
94,p2,2
95,p4,1
96,p2,2
97,p4,1
98,p4,2
99,p4,2
