,0,1
0,p1,1
1,p2,1
2,p1,1
3,p1,2
4,p4,1
5,p2,2
6,p1,1
7,p1,2
8,p2,1
9,p4,2
10,p3,1
11,p4,1
12,p1,2
13,p2,2
14,p1,1
15,p2,1
16,p3,2
17,p4,2
18,p1,1
19,p2,1
20,p1,2
21,p2,2
22,p1,1
23,p1,2
24,p2,1
25,p2,2
26,p1,1
27,p1,2
28,p4,1
29,p2,2
30,p3,1
31,p1,2
32,p1,1
33,p3,2
34,p2,1
35,p4,2
36,p1,1
37,p2,1
38,p1,2
39,p2,2
40,p1,1
41,p2,1
42,p1,2
43,p2,2
44,p4,1
45,p2,2
46,p3,1
47,p1,2
48,p2,1
49,p4,2
50,p3,1
51,p3,2
52,p2,1
53,p2,2
54,p1,1
55,p3,2
56,p2,1
57,p3,1
58,p2,2
59,p1,2
60,p3,1
61,p3,2
62,p2,1
63,p2,2
64,p1,1
65,p3,2
66,p1,1
67,p1,2
68,p2,1
69,p2,2
70,p3,1
71,p1,2
72,p3,1
73,p3,2
74,p4,1
75,p2,2
76,p4,1
77,p4,2
78,p1,1
79,p3,2
80,p4,1
81,p4,2
82,p1,1
83,p1,2
84,p2,1
85,p3,1
86,p4,2
87,p1,1
88,p1,2
89,p4,1
90,p3,2
91,p4,1
92,p2,2
93,p1,2
94,p4,1
95,p4,2
96,p4,2
97,p4,1
98,p4,2
99,p4,2
