,0,1
0,p3,1
1,p4,1
2,p2,1
3,p4,2
4,p3,1
5,p4,1
6,p3,2
7,p2,2
8,p1,1
9,p4,1
10,p3,2
11,p3,1
12,p4,1
13,p4,2
14,p1,1
15,p1,2
16,p3,1
17,p4,2
18,p2,1
19,p3,2
20,p1,1
21,p4,1
22,p1,2
23,p3,1
24,p4,2
25,p4,1
26,p1,1
27,p3,2
28,p4,1
29,p2,2
30,p1,1
31,p1,2
32,p4,1
33,p4,2
34,p1,1
35,p3,2
36,p4,2
37,p2,1
38,p1,2
39,p3,1
40,p4,2
41,p4,1
42,p1,1
43,p1,2
44,p4,2
45,p2,1
46,p1,2
47,p1,1
48,p2,2
49,p2,1
50,p3,2
51,p1,1
52,p2,1
53,p4,2
54,p1,1
55,p1,2
56,p2,1
57,p1,1
58,p2,2
59,p1,2
60,p4,1
61,p2,2
62,p3,1
63,p4,1
64,p1,2
65,p2,1
66,p2,2
67,p1,1
68,p1,2
69,p2,1
70,p2,2
71,p3,1
72,p1,2
73,p4,2
74,p1,1
75,p4,1
76,p4,2
77,p3,1
78,p3,2
79,p2,1
80,p2,2
81,p1,2
82,p1,1
83,p4,1
84,p3,2
85,p2,2
86,p1,1
87,p1,2
88,p2,1
89,p4,2
90,p3,1
91,p3,2
92,p3,1
93,p2,2
94,p1,2
95,p4,2
96,p1,2
97,p2,2
98,p3,2
99,p3,2
