,0,1
0,p1,1
1,p4,1
2,p1,1
3,p1,2
4,p2,1
5,p4,2
6,p3,1
7,p4,1
8,p1,2
9,p1,1
10,p2,2
11,p3,2
12,p4,1
13,p4,2
14,p3,1
15,p1,2
16,p2,1
17,p1,1
18,p4,2
19,p3,2
20,p4,1
21,p2,2
22,p3,1
23,p1,2
24,p1,1
25,p3,2
26,p1,1
27,p1,2
28,p4,1
29,p1,1
30,p4,2
31,p2,1
32,p1,2
33,p4,2
34,p3,1
35,p4,1
36,p1,2
37,p3,1
38,p4,1
39,p2,2
40,p1,1
41,p3,2
42,p2,1
43,p4,2
44,p2,1
45,p3,2
46,p4,2
47,p4,1
48,p1,1
49,p2,2
50,p2,2
51,p4,1
52,p1,1
53,p4,1
54,p1,2
55,p4,2
56,p4,1
57,p1,2
58,p4,2
59,p1,1
60,p4,2
61,p4,1
62,p3,1
63,p1,2
64,p2,1
65,p4,2
66,p1,2
67,p1,1
68,p4,2
69,p2,1
70,p3,2
71,p2,2
72,p4,1
73,p2,2
74,p3,1
75,p1,2
76,p1,1
77,p3,2
78,p4,1
79,p4,2
80,p1,1
81,p1,2
82,p2,1
83,p4,2
84,p1,1
85,p1,2
86,p4,1
87,p2,2
88,p1,1
89,p1,2
90,p2,1
91,p4,2
92,p2,1
93,p1,2
94,p2,1
95,p2,2
96,p2,2
97,p2,1
98,p2,2
99,p2,2
